# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_gap_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN0-5515"	"CDPDIGLYSYN-MONOMER[i]"	1.33548e-11
"GSAAMINOTRANS-RXN"	"GSAAMINOTRANS-CPLX[c]"	27502.3
"PHOSGLYPHOS-RXN"	"PGK[c]"	738.223
"PHOSGLYPHOS-RXN (reverse)"	"PGK[c]"	117869.0
"BIOTIN-CARBOXYL-RXN"	"BIOTIN-CARBOXYL-CPLX[c]"	340436.0
"RXN-11475"	"EG10119-MONOMER[c]"	589.512
"RIBOFLAVIN-SYN-RXN"	"CPLX0-3952[c]"	246.441
"ASPCARBTRANS-RXN"	"ASPCARBTRANS-CPLX[c]"	11537.3
"2.5.1.19-RXN"	"AROA-MONOMER[c]"	1791.33
"2.5.1.19-RXN (reverse)"	"AROA-MONOMER[c]"	695.504
"ERYTHRON4PDEHYDROG-RXN"	"CPLX0-8212[c]"	188.14
"LUMAZINESYN-RXN"	"LUMAZINESYN-CPLX[c]"	13634.8
"LIPIDXSYNTHESIS-RXN"	"EG12666-MONOMER[m]"	108072.0
"DIAMINOPIMDECARB-RXN"	"DIAMINOPIMDECARB-CPLX[c]"	3940.06
"TRIPHOSPHATASE-RXN[CCO-CYTOSOL]-P3I/WATER//PPI/Pi/PROTON.38.__CPLX0-243"	"CPLX0-243[c]"	95.222
"KDOTRANS-RXN"	"KDOTRANS-MONOMER[m]"	126084.0
"KDOTRANS2-RXN"	"KDOTRANS-MONOMER[m]"	126084.0
"DUTP-PYROP-RXN__DUTP-PYROP-CPLX"	"DUTP-PYROP-CPLX[c]"	197.889
"UDPACYLGLCNACDEACETYL-RXN"	"UDPACYLGLCNACDEACETYL-MONOMER[c]"	19512.1
"RXN-12002"	"UMPKI-CPLX[c]"	487915.0
"RXN-8992"	"CPLX0-7426[c]"	7650.6
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76."	"FABA-CPLX[c]"	22219.1
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60."	"FABA-CPLX[c]"	18666.6
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76."	"FABA-CPLX[c]"	22219.1
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63."	"FABA-CPLX[c]"	4.40409e-11
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53."	"FABA-CPLX[c]"	4.40409e-11
"4.2.1.59-RXN"	"FABA-CPLX[c]"	9165.99
"4.2.1.61-RXN"	"FABA-CPLX[c]"	8696.51
"5.3.3.14-RXN"	"FABA-CPLX[c]"	1.70178e-12
"5.3.3.14-RXN (reverse)"	"FABA-CPLX[c]"	9.66675e-13
"RXN-9520"	"FABA-CPLX[c]"	22219.1
"RXN-9533"	"FABA-CPLX[c]"	22219.1
"RXN-9537"	"FABA-CPLX[c]"	19258.7
"RXN-9655"	"FABA-CPLX[c]"	22219.1
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER[c]"	4122.72
"RXN-21483-PROTOPORPHYRINOGEN/UBIQUINONE-8//PROTOPORPHYRIN_IX/CPD-9956.60."	"CPLX0-7811[i]"	332.908
"RXN0-6259-PROTOPORPHYRIN_IX/REDUCED-MENAQUINONE//PROTOPORPHYRINOGEN/CPD-9728.67. (reverse)"	"CPLX0-7811[i]"	3240.64
"GLUTSEMIALDEHYDROG-RXN (reverse)"	"GLUTSEMIALDEHYDROG-CPLX[c]"	2967.76
"SEDOBISALDOL-RXN"	"FRUCBISALD-CLASSII[c]"	56946.5
"SEDOBISALDOL-RXN (reverse)"	"FRUCBISALD-CLASSII[c]"	8.39597e-17
"F16ALDOLASE-RXN__FRUCBISALD-CLASSII"	"FRUCBISALD-CLASSII[c]"	273.486
"RXN-15131__CYSTATHIONINE-BETA-LYASE-CPLX"	"CYSTATHIONINE-BETA-LYASE-CPLX[c]"	434.647
"OROTPDECARB-RXN"	"OROTPDECARB-CPLX[c]"	66312.5
"RXN-8675"	"SIROHEMESYN-CPLX[c]"	6617.47
"UROPORIIIMETHYLTRANSA-RXN"	"SIROHEMESYN-CPLX[c]"	6617.47
"PRPPSYN-RXN"	"CPLX0-8299[c]"	30628.0
"PRPPSYN-RXN-CPD-15318/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	33517.0
"PRPPSYN-RXN-CPD-15895/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	15706.5
"PRPPSYN-RXN-CPD-16551/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	11818.5
"PSERTRANSAM-RXN"	"PSERTRANSAM-CPLX[c]"	4.25286
"PSERTRANSAMPYR-RXN"	"PSERTRANSAM-CPLX[c]"	0.822314
"PSERTRANSAMPYR-RXN (reverse)"	"PSERTRANSAM-CPLX[c]"	6.15391
"RXN-13179"	"CPLX0-7847[c]"	1147.5
"ADENYL-KIN-RXN"	"ADENYL-KIN-MONOMER[c]"	8684.75
"RXN-14074"	"ADENYL-KIN-MONOMER[c]"	2717.36
"LIPIDADISACCHARIDESYNTH-RXN"	"CPLX0-7415[c]"	5841.6
"1.3.1.9-RXN (reverse)"	"CPLX0-8006[c]"	1.89787e-12
"ENOYL-ACP-REDUCT-NADH-RXN-Arachidoyl-ACPs/NAD//trans-delta2-arachidoyl-ACPs/NADH/PROTON.62. (reverse)"	"CPLX0-8006[c]"	1.02274e-12
"ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse)"	"CPLX0-8006[c]"	22571.8
"ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse)"	"CPLX0-8006[c]"	22571.8
"ENOYL-ACP-REDUCT-NADH-RXN-Stearoyl-ACPs/NAD//Octadec-2-enoyl-ACPs/NADH/PROTON.52. (reverse)"	"CPLX0-8006[c]"	5.53882e-11
"ENOYL-ACP-REDUCT-NADPH-RXN-Butanoyl-ACPs/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/PROTON.71. (reverse)"	"CPLX0-8006[c]"	22043.9
"ENOYL-ACP-REDUCT-NADPH-RXN-Decanoyl-ACPs/NADP//NADPH/Trans-D2-decenoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	17811.0
"ENOYL-ACP-REDUCT-NADPH-RXN-Dodecanoyl-ACPs/NADP//NADPH/Dodec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	22571.8
"ENOYL-ACP-REDUCT-NADPH-RXN-Hexanoyl-ACPs/NADP//NADPH/Hex-2-enoyl-ACPs/PROTON.50. (reverse)"	"CPLX0-8006[c]"	22043.9
"ENOYL-ACP-REDUCT-NADPH-RXN-Myristoyl-ACPs/NADP//NADPH/Tetradec-2-enoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	15451.3
"ENOYL-ACP-REDUCT-NADPH-RXN-Palmitoyl-ACPs/NADP//NADPH/2-Hexadecenoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	18962.9
"ENOYL-ACP-REDUCT-NADPH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/PROTON.102. (reverse)"	"CPLX0-8006[c]"	22043.9
"ENOYL-ACP-REDUCT-NADPH-RXN-Stearoyl-ACPs/NADP//NADPH/Octadec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	1.02274e-12
"RXN-10657 (reverse)"	"CPLX0-8006[c]"	1.29347e-12
"RXN-10661 (reverse)"	"CPLX0-8006[c]"	1.29347e-12
"RXN-9558 (reverse)"	"CPLX0-8006[c]"	8.44357e-13
"RXN-9658 (reverse)"	"CPLX0-8006[c]"	22571.8
"RXN-9659 (reverse)"	"CPLX0-8006[c]"	9976.78
"RXN-9660 (reverse)"	"CPLX0-8006[c]"	22571.8
"RXN-9661 (reverse)"	"CPLX0-8006[c]"	22043.9
"RXN-9662 (reverse)"	"CPLX0-8006[c]"	19564.4
"RXN-9663 (reverse)"	"CPLX0-8006[c]"	16482.2
"RXN0-2145 (reverse)"	"CPLX0-8006[c]"	1.30309e-12
"GLUTAMINESYN-RXN"	"GLUTAMINESYN-OLIGOMER[c]"	46146.3
