# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_drop_top_20_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44."	"DIHYDROOROTOX-MONOMER[c]"	7191.84
"RXN0-6491-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44."	"DIHYDROOROTOX-MONOMER[c]"	3898.4
"RXN0-6554-DI-H-OROTATE/CPD-9728//OROTATE/REDUCED-MENAQUINONE.51."	"DIHYDROOROTOX-MONOMER[c]"	3062.44
"CPM-KDOSYNTH-RXN"	"CPM-KDOSYNTH-MONOMER[c]"	1496.52
"MALONYL-COA-ACP-TRANSACYL-RXN"	"MALONYL-COA-ACP-TRANSACYL-MONOMER[c]"	48933.4
"RXN0-743"	"PURE-CPLX[c]"	10635.0
"PHOSPHASERSYN-RXN-CPD-12814/SER//CMP/CPD-12816/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	1.54205e-16
"PHOSPHASERSYN-RXN-CPD-12815/SER//CMP/CPD-12817/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	23769.2
"PHOSPHASERSYN-RXN-CPD-18355/SER//CMP/CPD-18366/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	2.57627e-12
"PHOSPHASERSYN-RXN-CPD-18356/SER//CMP/CPD-18365/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	2.27694e-13
"PHOSPHASERSYN-RXN-CPD-18357/SER//CMP/CPD-18364/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	2.07957e-12
"PHOSPHASERSYN-RXN-CPD-18358/SER//CMP/CPD-18363/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	7.43098e-13
"PHOSPHASERSYN-RXN-CPD-18387/SER//CMP/CPD-18402/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	3.42809e-13
"PHOSPHASERSYN-RXN-CPD-18388/SER//CMP/CPD-18401/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	1.0024e-13
"PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	16991.7
"ISOCITDEH-RXN"	"ISOCITHASE-CPLX[c]"	692.496
"RXN-8642"	"ISOCITHASE-CPLX[c]"	56.9056
"RXN-8642 (reverse)"	"ISOCITHASE-CPLX[c]"	664.337
"RXN-9951"	"ISOCITHASE-CPLX[c]"	56.9056
"RXN-9951 (reverse)"	"ISOCITHASE-CPLX[c]"	664.337
"FADSYN-RXN"	"RIBF-MONOMER[c]"	93.6114
"RIBOFLAVINKIN-RXN"	"RIBF-MONOMER[c]"	132.669
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX[c]"	15.8291
"GTP-CYCLOHYDRO-I-RXN"	"FOLE-CPLX[c]"	57.9746
"DTMPKI-RXN"	"CPLX0-8260[c]"	367.458
"HOLO-ACP-SYNTH-RXN__HOLO-ACP-SYNTH-CPLX"	"HOLO-ACP-SYNTH-CPLX[c]"	11.0768
"GLUTRNAREDUCT-RXN (reverse)"	"CPLX0-3741[c]"	110091.0
"DXPREDISOM-RXN"	"DXPREDISOM-CPLX[i]"	358.769
"MALONYL-ACPDECARBOX-RXN"	"FABB-CPLX[c]"	4.21119
"RXN-10654"	"FABB-CPLX[c]"	2.30202e-12
"RXN-10658"	"FABB-CPLX[c]"	2.28447e-12
"RXN0-2141"	"FABB-CPLX[c]"	2.30202e-12
"RXN-9535__FABB-CPLX"	"FABB-CPLX[c]"	1.04849
"QUINOPRIBOTRANS-RXN (reverse)"	"QUINOPRIBOTRANS-CPLX[c]"	214.323
"RXN-22438-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44."	"METHYLENETHFREDUCT-CPLX[c]"	7.48091
"RXN-22438-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44. (reverse)"	"METHYLENETHFREDUCT-CPLX[c]"	472255.0
