,Protein ID,Gene names ,UniProt id,UniProt gene name,Monomer ID
1870,sp|P46122|YAJI_ECOLI,yajI,P46122,YAJI_ECOLI,EG12874-MONOMER
1871,sp|P46125|YEDI_ECOLI,yedI,P46125,YEDI_ECOLI,EG12709-MONOMER
1872,sp|P46130|YBHC_ECOLI,ybhC,P46130,YBHC_ECOLI,EG12875-MONOMER
1873,sp|P46144|YEDJ_ECOLI,yedJ,P46144,YEDJ_ECOLI,EG12710-MONOMER
1874,sp|P46474|YHDP_ECOLI,yhdP,P46474,YHDP_ECOLI,G7690-MONOMER
1875,sp|P46482|AAEA_ECOLI,aaeA,P46482,AAEA_ECOLI,G7686-MONOMER
1876,sp|P46837|YHGF_ECOLI,yhgF,P46837,YHGF_ECOLI,G7746-MONOMER
1877,sp|P46849|RTCA_ECOLI,rtcA,P46849,RTCA_ECOLI,G7750-MONOMER
1878,sp|P46850|RTCB_ECOLI,rtcB,P46850,RTCB_ECOLI,G7751-MONOMER
1879,sp|P46852|YHHW_ECOLI,yhhW,P46852,YHHW_ECOLI,G7756-MONOMER
1880,sp|P46853|YHHX_ECOLI,yhhX,P46853,YHHX_ECOLI,G7757-MONOMER
1881,sp|P46854|AAAT_ECOLI,aaaT,P46854,AAAT_ECOLI,G7758-MONOMER
1882,sp|P46859|GNTK_ECOLI,gntK,P46859,GNTK_ECOLI,GLUCONOKINII-MONOMER
1883,sp|P46888|USPC_ECOLI,uspC,P46888,USPC_ECOLI,G7031-MONOMER
1884,sp|P46889|FTSK_ECOLI,ftsK,P46889,FTSK_ECOLI,G6464-MONOMER
1885,sp|P46923|TORZ_ECOLI,torZ,P46923,TORZ_ECOLI,G7022-MONOMER
1886,sp|P50456|MLC_ECOLI,mlc,P50456,MLC_ECOLI,PD01896
1887,sp|P50457|PUUE_ECOLI,puuE,P50457,PUUE_ECOLI,G6646-MONOMER
1888,sp|P50465|END8_ECOLI,nei,P50465,END8_ECOLI,G6383-MONOMER
1889,sp|P50466|AER_ECOLI,aer,P50466,AER_ECOLI,G7595-MONOMER
1890,sp|P51024|YAIL_ECOLI,yaiL,P51024,YAIL_ECOLI,G6207-MONOMER
1891,sp|P51025|SFGH1_ECOLI,frmB,P51025,SFGH1_ECOLI,G6208-MONOMER
1892,sp|P51981|AEEP_ECOLI,ycjG,P51981,AEEP_ECOLI,G6661-MONOMER
1893,sp|P52007|YECM_ECOLI,yecM,P52007,YECM_ECOLI,G7025-MONOMER
1894,sp|P52037|YGFF_ECOLI,ygfF,P52037,YGFF_ECOLI,G7514-MONOMER
1895,sp|P52060|YGGU_ECOLI,yggU,P52060,YGGU_ECOLI,G7529-MONOMER
1896,sp|P52061|IXTPA_ECOLI,rdgB,P52061,IXTPA_ECOLI,G7530-MONOMER
1897,sp|P52062|YGGW_ECOLI,yggW,P52062,YGGW_ECOLI,G7531-MONOMER
1898,sp|P52076|QSEB_ECOLI,qseB,P52076,QSEB_ECOLI,G7575-MONOMER
1899,sp|P52094|HISQ_ECOLI,hisQ,P52094,HISQ_ECOLI,HISQ-MONOMER
1900,sp|P52096|YAER_ECOLI,yaeR,P52096,YAER_ECOLI,G6095-MONOMER
1901,sp|P52097|TILS_ECOLI,tilS,P52097,TILS_ECOLI,G6096-MONOMER
1902,sp|P52101|GLRK_ECOLI,glrK,P52101,GLRK_ECOLI,G7345-MONOMER
1903,sp|P52108|RSTA_ECOLI,rstA,P52108,RSTA_ECOLI,RSTA-MONOMER
1904,sp|P52119|RATB_ECOLI,ratB,P52119,RATB_ECOLI,G7357-MONOMER
1905,sp|P52129|RNLA_ECOLI,rnlA,P52129,RNLA_ECOLI,G7365-MONOMER
1906,sp|P52135|YFJT_ECOLI,yfjT,P52135,YFJT_ECOLI,G7372-MONOMER
1907,sp|P52138|YFJW_ECOLI,yfjW,P52138,YFJW_ECOLI,G7377-MONOMER
1908,sp|P52598|YGBI_ECOLI,ygbI,P52598,YGBI_ECOLI,G7416-MONOMER
1909,sp|P52612|FLII_ECOLI,fliI,P52612,FLII_ECOLI,G377-MONOMER
1910,sp|P52643|LDHD_ECOLI,ldhA,P52643,LDHD_ECOLI,DLACTDEHYDROGNAD-MONOMER
1911,sp|P52644|HSLJ_ECOLI,hslJ,P52644,HSLJ_ECOLI,G6702-MONOMER
1912,sp|P52645|YDBH_ECOLI,ydbH,P52645,YDBH_ECOLI,G6703-MONOMER
1913,sp|P52647|NIFJ_ECOLI,ydbK,P52647,NIFJ_ECOLI,G6701-MONOMER
1914,sp|P52697|6PGL_ECOLI,pgl,P52697,6PGL_ECOLI,6PGLUCONOLACT-MONOMER
1915,sp|P55135|RLMD_ECOLI,rlmD,P55135,RLMD_ECOLI,EG11247-MONOMER
