"transcription_units"	"monomers_to_remove"
["EG11001", "EG10506", "EG11231", "EG10881", "EG11272", "EG10709", "EG10710", "EG10440"]	["EG11001", "EG11231", "EG10709", "EG10710"]
["EG10835", "EG10571", "EG11249"]	["EG10571", "EG11249"]
["EG12802", "G7662"]	["EG12802", "G7662"]
["G7663", "G7664", "G7665", "EG11680"]	["G7663", "G7664", "G7665", "EG11680"]
["G7665", "EG11680"]	["G7665", "EG11680"]
["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]	["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]
["G7423", "EG11816"]	["G7423", "EG11816"]
["EG11981", "EG11982"]	["EG11981", "EG11982"]
["EG11983", "EG11984", "EG11985"]	["EG11983", "EG11984", "EG11985"]
["G7365", "G7366"]	[]
["G6092", "EG10139"]	["G6092"]
["EG12385", "EG10821"]	["EG12385"]
["G0-10441", "EG12395"]	["G0-10441", "EG12395"]
["EG10176", "EG10175"]	["EG10176", "EG10175"]
["EG10492", "EG10548", "EG11080", "EG11081"]	["EG10492", "EG10548", "EG11080", "EG11081"]
["EG10208", "G0-10463"]	["EG10208", "G0-10463"]
["EG12124", "EG12125", "EG10007", "EG10452"]	["EG12124", "EG12125", "EG10007", "EG10452"]
["EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10342", "EG10339", "EG10347", "EG10265"]	["EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10339"]
["EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10342", "EG10339", "EG10347", "EG10265"]	["EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10339"]
["G7107", "G7106", "G7105"]	["G7107", "G7106", "G7105"]
["EG12279", "EG12280", "EG12281", "EG12282", "EG12283", "EG12284", "EG12285", "EG12286", "EG12287"]	["EG12279", "EG12280", "EG12281", "EG12282", "EG12283", "EG12284", "EG12285", "EG12286", "EG12287"]
["EG11629", "EG11630", "EG11631", "EG11632"]	["EG11629", "EG11630", "EG11631", "EG11632"]
["EG11322", "EG10666", "G6234", "EG10704"]	["EG11322", "EG10666", "G6234", "EG10704"]
["EG11592", "EG11591"]	[]
["G6637", "EG12691", "EG10809", "EG11128"]	["G6637", "EG12691", "EG10809", "EG11128"]
["G6659", "EG12870", "EG11042"]	["G6659", "EG12870"]
["EG11413", "EG11067"]	[]
["G7530", "G7531"]	["G7530", "G7531"]
["EG10526", "EG10524"]	["EG10526", "EG10524"]
["EG11978", "EG11979", "EG11980"]	["EG11978", "EG11979", "EG11980"]
["EG11426", "EG11423"]	["EG11426", "EG11423"]
