TUs	TU_Genes	Gene_Names
metK	metK	metK
uxuR	uxuR	uxuR
ycaO	ycaO	ycaO
ybaQ	ybaQ	ybaQ
mtfA	mtfA	mtfA
narK	narK	narK
yhaH	yhaH	yhaH
rpoH	rpoH	rpoH
rne	rne	rne
tar-tap-cheRBYZ	cheZ // cheY // cheB // cheR // tap // tar	cheZ // cheY // cheB // cheR // tap // tar
hdeD	hdeD	hdeD
ybjH	ybjH	ybjH
rpmE	rpmE	rpmE
yedF // yedE	yedF // yedE	yedF // yedE
glnALG	glnG // glnL // glnA	glnG // glnL // glnA
folB	folB	folB
mngR	mngR	mngR
ymdF	ymdF	ymdF
pfkA	pfkA	pfkA
znuA	znuA	znuA
hcxB	hcxB	hcxB
pepT	pepT	pepT
yebG	yebG	yebG
bioA	bioA	bioA
ygiS	ygiS	ygiS
csgDEFG	csgG // csgF // csgE // csgD	csgG // csgF // csgE // csgD
ftsZ	ftsZ	ftsZ
actP	actP	actP
garD	garD	garD
tppB	dtpA	dtpA
rlmA	rlmA	rlmA
sohB	sohB	sohB
yghJ	yghJ	yghJ
dsdA	dsdA	dsdA
yjjP	yjjP	yjjP
lgoT	lgoT	lgoT
citCDEFXG	citG // citX // citF // citE // citD // citC	citG // citX // citF // citE // citD // citC
rplU-rpmA-yhbE-obgE	obgE // yhbE // rpmA // rplU	obgE // yhbE // rpmA // rplU
treF	treF	treF
ybeZ // ybeY	ybeZ // ybeY	ybeZ // ybeY
yeaK	yeaK	yeaK
lit	lit	lit
ydjA-selD-topB	topB // ydjA // selD	topB // ydjA // selD
yqfE	yqfE	yqfE
sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR
sibE	sibE	sibE
gltI-sroC-gltJKL	gltL // gltK // gltJ // sroC // gltI	gltL // gltK // gltJ // sroC // gltI
fliE	fliE	fliE
cspE	cspE	cspE
ydjO	ydjO	ydjO
insH-10	insH10	insH10
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN
yqeC	yqeC	yqeC
lptG // lptF	lptG // lptF	lptG // lptF
yfaXWVU	yfaU // yfaV // rhmD // yfaX	yfaU // yfaV // rhmD // yfaX
araE-ygeA	ygeA // araE	ygeA // araE
tfaX	tfaX	tfaX
ydiK	ydiK	ydiK
norR	norR	norR
pntAB	pntB // pntA	pntB // pntA
ygeG	ygeG	ygeG
ytfF	ytfF	ytfF
yjdC	yjdC	yjdC
ghoST	ghoT // ghoS	ghoT // ghoS
sfmA	sfmA	sfmA
yebB	yebB	yebB
gstA	gstA	gstA
fimZ	fimZ	fimZ
ptrA-recBD	ptrA // recB // recD	ptrA // recB // recD
napFDAGHBC-ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF
yjeJ	yjeJ	yjeJ
yfGM	yfgM	yfgM
rhoL	rhoL	rhoL
ybaN	ybaN	ybaN
ansP	ansP	ansP
ynfB-speG	speG // ynfB	speG // ynfB
crcB	crcB	crcB
queD	queD	queD
hsdMS	hsdS // hsdM	hsdS // hsdM
yjcF	yjcF	yjcF
yeiL	yeiL	yeiL
pykF	pykF	pykF
dksA-gluQ	gluQ // dksA	gluQ // dksA
tig	tig	tig
mglAC	mglC // mglA	mglC // mglA
gnsB	gnsB	gnsB
ygiZ	ygiZ	ygiZ
ygaP // ygaV	ygaP // ygaV	ygaP // ygaV
feoABC	feoC // feoA // feoB	feoC // feoA // feoB
yjbB	yjbB	yjbB
rsd	rsd	rsd
dctA	dctA	dctA
pka	patZ	patZ
insE2 // insF2 // insEF2	insE2 // insF2 // insEF2	insE2 // insF2 // insEF2
yfdX	yfdE // yfdV // oxc // frc // yfdX	yfdE // yfdV // oxc // frc // yfdX
dgcF	dgcF	dgcF
yfiE	yfiE	yfiE
abpA // abpB	abpA // abpB	abpA // abpB
creABCD	creA // creB // creC // creD	creA // creB // creC // creD
yiiR	yiiR	yiiR
xylR	xylR	xylR
yibA	yibA	yibA
appY	appY	appY
yahC	yahC	yahC
sthA	sthA	sthA
adhP	adhP	adhP
yegJ	yegJ	yegJ
yfiM	yfiM	yfiM
ampDE	ampD // ampE	ampD // ampE
yihP // yihO	yihP // yihO	yihP // yihO
rnb	rnb	rnb
mreCD	mreD // mreC	mreD // mreC
hemA	hemA	hemA
yagP	yagP	yagP
hcaR	hcaR	hcaR
ortT	ortT	ortT
ydgJ	ydgJ	ydgJ
sseB	sseB	sseB
lysU	lysU	lysU
rhtC	rhtC	rhtC
relA-mazEF	mazF // mazE // relA	mazF // mazE // relA
cadA	cadA	cadA
ydeNM	ydeM // ydeN	ydeM // ydeN
yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI	yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI	yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI
tsr	tsr	tsr
cybB	cybB	cybB
ychO	ychO	ychO
ypfG	ypfG	ypfG
speAB	speB // speA	speB // speA
ravA-viaA	ravA // viaA	ravA // viaA
fabG-acpP	acpP // fabG	acpP // fabG
rdgB-yggW	hemW // rdgB	hemW // rdgB
yaiY	yaiY	yaiY
dnaQ	dnaQ	dnaQ
cstA	cstA	cstA
pinR	pinR	pinR
ycaN	ycaN	ycaN
zipA	zipA	zipA
fpr	fpr	fpr
yidK // yidJ	yidK // yidJ	yidK // yidJ
cutA	cutA	cutA
phoPQ	phoQ // phoP	phoQ // phoP
acs-yjcHG	actP // yjcH // acs	actP // yjcH // acs
yaeH	yaeH	yaeH
dnaQ	dnaQ	dnaQ
ynaJ	ynaJ	ynaJ
yqhA	yqhA	yqhA
yfdPQ	yfdQ // yfdP	yfdQ // yfdP
glnHPQ	glnQ // glnP // glnH	glnQ // glnP // glnH
gor	gor	gor
xapAB	xapB // xapA	xapB // xapA
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL
ssrS	ssrS	ssrS
lpxC	lpxC	lpxC
ansB	ansB	ansB
yciW	yciW	yciW
ynfC	ynfC	ynfC
yfcF	yfcF	yfcF
narXL	narL // narX	narL // narX
avtA	avtA	avtA
ompR-envZ	envZ // ompR	envZ // ompR
eno	eno	eno
glnD	glnD	glnD
satP	satP	satP
rep	rep	rep
ychS	ychS	ychS
yjhD	yjhD	yjhD
elaB	elaB	elaB
hns	hns	hns
yhjC	yhjC	yhjC
pdhR-aceEF-lpdA	pdhR // aceE // aceF // lpd	pdhR // aceE // aceF // lpd
mreB	mreB	mreB
bamE	bamE	bamE
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD
pgi	pgi	pgi
ymgF	ymgF	ymgF
yigE	yigE	yigE
rsuA	rsuA	rsuA
malK-lamB-malM	malK // lamB // malM	malK // lamB // malM
rhsB	rhsB	rhsB
leuX	leuX	leuX
yebA	mepM	mepM
xdhABC	xdhB // xdhC // xdhA	xdhB // xdhC // xdhA
dmsABC	dmsC // dmsB // dmsA	dmsC // dmsB // dmsA
ytfJ	ytfJ	ytfJ
ymfH // xisE // intE	ymfH // xisE // intE	ymfH // xisE // intE
yhjB	yhjB	yhjB
yeiS // sanA	yeiS // sanA	yeiS // sanA
icd	icd	icd
hslO	hslO	hslO
thrW	thrW	thrW
yceH	yceH	yceH
narU	narU	narU
bglA	bglA	bglA
glnA	glnA	glnA
grxB	grxB	grxB
tsaD	tsaD	tsaD
ilvC	ilvC	ilvC
yhdN-zntR	yhdN // zntR	yhdN // zntR
glnB	glnB	glnB
tpke11	tpke11	tpke11
treR	treR	treR
fliFGHIJK	fliK // fliJ // fliI // fliH // fliG // fliF	fliK // fliJ // fliI // fliH // fliG // fliF
yggX-mltC-nupG	nupG // mltC // yggX	nupG // mltC // yggX
wrbA-yccJ	wrbA // yccJ	wrbA // yccJ
yaiZ	yaiZ	yaiZ
sibB	sibB	sibB
ahpCF	ahpC // ahpF	ahpC // ahpF
nanR	nanR	nanR
soxR	soxR	soxR
ispDF	ispF // ispD	ispF // ispD
recN	recN	recN
qseBC	qseC // qseB	qseC // qseB
pdxA-rsmA-apaGH	apaH // apaG // rsmA // pdxA	apaH // apaG // rsmA // pdxA
ycbZ	ycbZ	ycbZ
yaaI	yaaI	yaaI
yeeA	yeeA	yeeA
purMN	purM // purN	purM // purN
yhbW	yhbW	yhbW
upp-uraA	uraA // upp	uraA // upp
CsiR	glaR	glaR
osmC	osmC	osmC
ibpB	ibpB	ibpB
ycaD	ycaD	ycaD
srmB	srmB	srmB
hiuH	hiuH	hiuH
metH	metH	metH
yqjK // yqjE // yqjD // yqjC	yqjK // yqjE // yqjD // yqjC	yqjK // yqjE // yqjD // yqjC
hscBA-fdx-iscX	iscX // fdx // hscA // hscB	iscX // fdx // hscA // hscB
rraA	rraA	rraA
flgMN	flgN // flgM	flgN // flgM
gabDTP	gabP // gabT // gabD	gabP // gabT // gabD
bssR	bssR	bssR
ybiT	ybiT	ybiT
pgsA	pgsA	pgsA
galETKM	galM // galK // galT // galE	galM // galK // galT // galE
sibD	sibD	sibD
htgA	mbiA	mbiA
yncJ	yncJ	yncJ
hemL	hemL	hemL
znuCB	znuB // znuC	znuB // znuC
ybhM	ybhM	ybhM
pdxK	pdxK	pdxK
ptrB	ptrB	ptrB
aroH	aroH	aroH
ftsP	ftsP	ftsP
osmB	osmB	osmB
qorA	qorA	qorA
nikABCDER	nikE // nikR // nikD // nikC // nikB // nikA	nikE // nikR // nikD // nikC // nikB // nikA
nagE	nagE	nagE
fbaB	fbaB	fbaB
lysZ	lysZ	lysZ
yobD	yobD	yobD
yceA	trhO	trhO
yghE // yghD	yghE // yghD	yghE // yghD
uxaB	uxaB	uxaB
pepD	pepD	pepD
yggM	yggM	yggM
ubiCA	ubiC // ubiA	ubiC // ubiA
yjiV	yjiV	yjiV
mdh	mdh	mdh
sdsN	sdsN	sdsN
mutM	mutM	mutM
rihA	rihA	rihA
mipA	mipA	mipA
ldrC	ldrC	ldrC
ruvAB	ruvB // ruvA	ruvB // ruvA
ygfB-pepP-ubiHI	ygfB // pepP // ubiH // ubiI	ygfB // pepP // ubiH // ubiI
yjhU	yjhU	yjhU
relA	relA	relA
barA	barA	barA
citT	citT	citT
yniA	yniA	yniA
insA-7	insA7	insA7
rph-pyrE	pyrE // rph	pyrE // rph
hyuA	hyuA	hyuA
tabA	tabA	tabA
nemRA	nemA // nemR	nemA // nemR
dcuA	dcuA	dcuA
ybcW	ybcW	ybcW
lolB-ispE-prs	prs // ispE // lolB	prs // ispE // lolB
ldtE	ldtE	ldtE
ompW	ompW	ompW
pcnB-folK	folK // pcnB	folK // pcnB
yqeH	yqeH	yqeH
ulaR	ulaR	ulaR
tpiA	tpiA	tpiA
ydbK-ompN	ompN // ydbK	ompN // ydbK
ppiB // lpxH	ppiB // lpxH	ppiB // lpxH
yebC-ruvC	ruvC // yebC	ruvC // yebC
add	add	add
fadE	fadE	fadE
csdE // csdA	csdE // csdA	csdE // csdA
moeAB	moeB // moeA	moeB // moeA
dtpC	dtpC	dtpC
rpe-gph-trpS	trpS // gph // rpe	trpS // gph // rpe
bepA-yfgD	yfgD // bepA	yfgD // bepA
bglG	bglG	bglG
tomB-hha	tomB // hha	tomB // hha
talA-tktB	tktB // talA	tktB // talA
ynfP	ynfP	ynfP
bisC	bisC	bisC
ygbE	ygbE	ygbE
hemCDXY	hemY // hemX // hemD // hemC	hemY // hemX // hemD // hemC
yjbQR	yjbR // yjbQ	yjbR // yjbQ
yjeFE-amiB-mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr
acnA	acnA	acnA
yhjX	yhjX	yhjX
yajR	yajR	yajR
rpsT	rpsT	rpsT
yntF-ydfK	ynfT // ydfK	ynfT // ydfK
ygiD	ygiD	ygiD
ygaQ	ygaQ	ygaQ
fabHDG	fabH // fabD // fabG	fabH // fabD // fabG
yjaG	yjaG	yjaG
cedA	cedA	cedA
lpxC	lpxC	lpxC
cbrA	cbrA	cbrA
yaiP	yaiP	yaiP
ydeO	ydeO	ydeO
lsrRK	lsrK // lsrR	lsrK // lsrR
yfgF	pdeF	pdeF
alpA	alpA	alpA
chpSB	chpS // chpB	chpS // chpB
fieF	fieF	fieF
phoPQ	phoQ // phoP	phoQ // phoP
tdcBCDEFG	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB
yffO-yffP	yffP // yffO	yffP // yffO
ykgH	ykgH	ykgH
galU	galU	galU
yddL // yddK // yddJ	yddL // yddK // yddJ	yddL // yddK // yddJ
yegE	dgcE	dgcE
yfhL	yfhL	yfhL
acrEF	acrE // acrF	acrE // acrF
yihM // yihL	yihM // yihL	yihM // yihL
rpsA-ihfB	ihfB // rpsA	ihfB // rpsA
caiCDE	caiE // caiD // caiC	caiE // caiD // caiC
yggN	yggN	yggN
yagM // yagL	yagM // yagL	yagM // yagL
waaA	waaA	waaA
hicAB	hicB // hicA	hicB // hicA
ydeE	ydeE	ydeE
yfhM-pbpC	yfhM // pbpC	yfhM // pbpC
metF	metF	metF
yigI	yigI	yigI
feaR	feaR	feaR
rrfG	rrfG	rrfG
gadC terminator // gadC	gadC	gadC
cspI	cspI	cspI
ynbABCD	ynbD // ynbC // ynbB // ynbA	ynbD // ynbC // ynbB // ynbA
pliG	pliG	pliG
eutN // eutE // eutJ // eutG	eutN // eutE // eutJ // eutG	eutN // eutE // eutJ // eutG
phnCDEEFGHIJKLMNOP	phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE // phnD // phnC	phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE // phnD // phnC
bglH // yieL // yieK	bglH // yieL // yieK	bglH // yieL // yieK
hydN-hypF	hypF // hydN	hypF // hydN
hepA	rapA	rapA
mdoGH	opgH // opgG	opgH // opgG
yafDE	yafE // yafD	yafE // yafD
uvrYC	uvrC // uvrY	uvrC // uvrY
ydaY // ynaK	ydaY // ynaK	ydaY // ynaK
ybjK	rcdA	rcdA
insL3	insL3	insL3
lysA	lysA	lysA
adeQ	adeQ	adeQ
putA	putA	putA
ileS-lspA-fkpB-ispH	ispH // fkpB // lspA // ileS	ispH // fkpB // lspA // ileS
cbpAM	cbpM // cbpA	cbpM // cbpA
clcA	clcA	clcA
atpBEFHAGDC	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB
pgrR	pgrR	pgrR
yqeK	yqeK	yqeK
yfdI // yfdH // yfdG	yfdI // yfdH // yfdG	yfdI // yfdH // yfdG
gatYZABCD	gatD // gatC // gatB // gatA // gatZ // gatY	gatD // gatC // gatB // gatA // gatZ // gatY
yibN	yibN	yibN
eda	eda	eda
dcuR	dcuR	dcuR
phoU	phoU	phoU
sgrST-setA	sgrT // setA // sgrS	sgrT // setA // sgrS
proS	proS	proS
ymiA-yciX	yciX // ymiA	yciX // ymiA
ynaI	ynaI	ynaI
yfcC	yfcC	yfcC
hycABCDEFGHI	hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA	hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA
ysaB	ysaB	ysaB
fixABCX	fixX // fixC // fixB // fixA	fixX // fixC // fixB // fixA
hypF	hypF	hypF
yeaGH	yeaH // yeaG	yeaH // yeaG
yaaA	yaaA	yaaA
lacI	lacI	lacI
ycgY	ycgY	ycgY
yjgM	yjgM	yjgM
yfaZ	yfaZ	yfaZ
flhDC	flhC // flhD	flhC // flhD
yhiD	yhiD	yhiD
proK	proK	proK
mreBCD	mreD // mreC // mreB	mreD // mreC // mreB
ygaC	ygaC	ygaC
rrsH-ileV-alaV-rrlH-rrfH	rrfH // rrlH // alaV // ileV // rrsH	rrfH // rrlH // alaV // ileV // rrsH
alaS	alaS	alaS
ariR // ymgA	ariR // ymgA	ariR // ymgA
yieG	adeP	adeP
yejF // yejE // yejB // yejA	yejF // yejE // yejB // yejA	yejF // yejE // yejB // yejA
cpdB	cpdB	cpdB
dcrB	dcrB	dcrB
argX-hisR-leuT-proM	argX // hisR // leuT // proM	argX // hisR // leuT // proM
ybcH	ybcH	ybcH
glsA-ybaT	ybaT // glsA	ybaT // glsA
fkpA	fkpA	fkpA
btuB-murI	murI // btuB	murI // btuB
roxA	roxA	roxA
yhhS	yhhS	yhhS
fumA	fumA	fumA
hofMNOP	hofM // hofN // hofO // hofP	hofM // hofN // hofO // hofP
rpoN-hpf-ptsN-yhbJ-npr	rpoN // hpf // ptsN // rapZ // npr	rpoN // hpf // ptsN // rapZ // npr
eptA	eptA	eptA
sufABCDSE	sufE // sufS // sufD // sufC // sufB // sufA	sufE // sufS // sufD // sufC // sufB // sufA
yicJI	yicI // yicJ	yicI // yicJ
menBCE	menE // menC // menB	menE // menC // menB
solA-yceO	solA // yceO	solA // yceO
ybiA	ybiA	ybiA
yehE	yehE	yehE
tyrB	tyrB	tyrB
trkA	trkA	trkA
fliAZY	tcyJ // fliZ // fliA	tcyJ // fliZ // fliA
rnlAB	rnlB // rnlA	rnlB // rnlA
mhpR-lacI	lacI // mhpR	lacI // mhpR
flhBAE	flhE // flhA // flhB	flhE // flhA // flhB
rpmBG-mutM	mutM // rpmG // rpmB	mutM // rpmG // rpmB
yccM	yccM	yccM
yaiY	yaiY	yaiY
asmA	asmA	asmA
uvrD	uvrD	uvrD
yhcE // yhcD // yhcA	yhcE // yhcD // yhcA	yhcE // yhcD // yhcA
endA	endA	endA
yhfK	yhfK	yhfK
glcDEFGBA	glcA // glcB // glcG // glcF // glcE // glcD	glcA // glcB // glcG // glcF // glcE // glcD
yfeKS	yfeS // yfeK	yfeS // yfeK
usg-truA-dedA	dedA // truA // usg	dedA // truA // usg
ycbF // ycbV // ycbU // elfG // elfC // elfD	ycbF // ycbV // ycbU // elfG // elfC // elfD	ycbF // ycbV // ycbU // elfG // elfC // elfD
uspC	uspC	uspC
yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	yeeW // cbtA // cbeA // yeeT // yeeS // yeeR
purC	purC	purC
yraR	yraR	yraR
rpoD	rpoD	rpoD
kdsC-lptCAB	lptB // lptA // lptC // kdsC	lptB // lptA // lptC // kdsC
ribA	ribA	ribA
gntP	gntP	gntP
trxB	trxB	trxB
arcZ	arcZ	arcZ
malPQ	malQ // malP	malQ // malP
alx	alx	alx
clpPX	clpP // clpX	clpP // clpX
norR	norR	norR
flxA	flxA	flxA
crr	crr	crr
ybiY // ybiW	ybiY // ybiW	ybiY // ybiW
rhlE	rhlE	rhlE
isrB	isrB	isrB
frdABCD	frdD // frdC // frdB // frdA	frdD // frdC // frdB // frdA
ygiL	ygiL	ygiL
htpG	htpG	htpG
ftsZ	ftsZ	ftsZ
rdcAB	rdcB // rdcA	rdcB // rdcA
recAX	recX // recA	recX // recA
ybhC	ybhC	ybhC
napFDAGHBC	napC // napB // napH // napG // napA // napD // napF	napC // napB // napH // napG // napA // napD // napF
yobA // yebZ // yebY	yobA // yebZ // yebY	yobA // yebZ // yebY
argR	argR	argR
yqhG	yqhG	yqhG
bolA	bolA	bolA
serB	serB	serB
glmY	glmY	glmY
kch	kch	kch
ydgK-rsxABCDGE-nth	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK
ybgQ // ybgP // ybgO	ybgQ // ybgP // ybgO	ybgQ // ybgP // ybgO
yoaC	yoaC	yoaC
ybfL	ybfL	ybfL
tsaB-yeaY	tsaB // yeaY	tsaB // yeaY
yjjB-dnaTC	dnaC // dnaT // yjjB	dnaC // dnaT // yjjB
gshB // rsmE	gshB // rsmE	gshB // rsmE
thrS-infC	infC // thrS	infC // thrS
rpnD	rpnD	rpnD
pepA	pepA	pepA
exuR	exuR	exuR
bssS	bssS	bssS
djlB // ybeR	djlB // ybeR	djlB // ybeR
msrB	msrB	msrB
kptA	kptA	kptA
rpsMKD-rpoA-rplQ	rplQ // rpoA // rpsD // rpsK // rpsM	rplQ // rpoA // rpsD // rpsK // rpsM
yqfA	yqfA	yqfA
insM // insI3	insM // insI3	insM // insI3
tolC-ygiBC	ygiC // ygiB // tolC	ygiC // ygiB // tolC
galETK	galK // galT // galE	galK // galT // galE
ldtB	ldtB	ldtB
dsbGp // dsbG	dsbG	dsbG
arpB	arpB	arpB
mdoC	opgC	opgC
rfbBDACX	rfbX // rfbC // rfbA // rfbD // rfbB	rfbX // rfbC // rfbA // rfbD // rfbB
ygeW	ygeW	ygeW
yjgH	yjgH	yjgH
dksA-yadB	gluQ // dksA	gluQ // dksA
bglG	bglG	bglG
ybcQ	ybcQ	ybcQ
ackA-pta	pta // ackA	pta // ackA
ydhX // ydhU // ydhT	ydhX // ydhU // ydhT	ydhX // ydhU // ydhT
hokA	hokA	hokA
otsBA	otsA // otsB	otsA // otsB
kduI	kduI	kduI
yjfKLMC	yjfC // yjfM // yjfL // yjfK	yjfC // yjfM // yjfL // yjfK
kup	kup	kup
ydcSTUV-patD	patD // ydcV // ydcU // ydcT // ydcS	patD // ydcV // ydcU // ydcT // ydcS
ybbD // ylbH // ybbC // rhsD	ybbD // ylbH // ybbC // rhsD	ybbD // ylbH // ybbC // rhsD
metE	metE	metE
tus	tus	tus
eco	eco	eco
queF	queF	queF
minCDE	minE // minD // minC	minE // minD // minC
yjdF	yjdF	yjdF
damX-dam-rpe-gph-trpS	trpS // gph // rpe // dam // damX	trpS // gph // rpe // dam // damX
cysK	cysK	cysK
gntK	gntK	gntK
pdeB	pdeB	pdeB
aspS	aspS	aspS
ydfABC	ydfC // ydfB // ydfA	ydfC // ydfB // ydfA
ampH	ampH	ampH
ygbK // ygbJ	ygbK // ygbJ	ygbK // ygbJ
glmUS	glmS // glmU	glmS // glmU
dnaB	dnaB	dnaB
acnB	acnB	acnB
clsC	clsC	clsC
esrE	esrE	esrE
yajI	yajI	yajI
ybjG	ybjG	ybjG
ydfZ	ydfZ	ydfZ
yghT	yghT	yghT
ypjB	ypjB	ypjB
yadV-htrE	htrE // yadV	htrE // yadV
birA // murB	birA // murB	birA // murB
grxA	grxA	grxA
secG-leuU	leuU // secG	leuU // secG
sdiA	sdiA	sdiA
yaiX_2 // yaiO	yaiO	yaiO
fhuF	fhuF	fhuF
yfeH	yfeH	yfeH
ratA // yfjF	ratA // yfjF	ratA // yfjF
caiTABCDE	caiE // caiD // caiC // caiB // caiA // caiT	caiE // caiD // caiC // caiB // caiA // caiT
frvA // frvB // frvX // frvR	frvA // frvB // frvX // frvR	frvA // frvB // frvX // frvR
dcuA	dcuA	dcuA
hfq-hflXKC	hflC // hflK // hflX // hfq	hflC // hflK // hflX // hfq
yjhC // yjhB	yjhC // yjhB	yjhC // yjhB
rclABC	rclC // rclB // rclA	rclC // rclB // rclA
ves	ves	ves
ydcC	ydcC	ydcC
yedD	yedD	yedD
glmY	glmY	glmY
accBC	accB // accC	accB // accC
yihF	yihF	yihF
adhE	adhE	adhE
rfaZ-waaU	waaU // waaZ	waaU // waaZ
fadD-sroD	sroD // fadD	sroD // fadD
xynR	xynR	xynR
rirA-rfaQGPSBIJYZ-waaU	rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ
yncK	yncK	yncK
ydcO	ydcO	ydcO
yfgJ	yfgJ	yfgJ
araBAD	araD // araA // araB	araD // araA // araB
yifL-dapF-yigA-xerC-yigB	yigB // xerC // yigA // dapF // yifL	yigB // xerC // yigA // dapF // yifL
hupB	hupB	hupB
aceK	aceK	aceK
mpaA	mpaA	mpaA
dinB-yafNOP	yafP // yafO // yafN // dinB	yafP // yafO // yafN // dinB
talA-tktB	tktB // talA	tktB // talA
ycfR	bhsA	bhsA
yffR // yffQ	yffR // yffQ	yffR // yffQ
adhE	adhE	adhE
yieH	yieH	yieH
glpR	glpR	glpR
rnlA	rnlA	rnlA
csiD-ygaF-gabDTP	gabP // gabT // gabD // lhgD // glaH	gabP // gabT // gabD // lhgD // glaH
rcsF // trmO	rcsF // trmO	rcsF // trmO
ruvAB	ruvB // ruvA	ruvB // ruvA
rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	rzpR // ydaW // ydaV // ydaU // ydaT // ydaS	rzpR // ydaW // ydaV // ydaU // ydaT // ydaS
zupT	zupT	zupT
fryB // fryC // ypdF // ypdE // fryA	fryB // fryC // ypdF // ypdE // fryA	fryB // fryC // ypdF // ypdE // fryA
gltBDF	gltB // gltD // gltF	gltB // gltD // gltF
yicL	yicL	yicL
arcA	arcA	arcA
rpoD	rpoD	rpoD
ydcSTUV-patD	patD // ydcV // ydcU // ydcT // ydcS	patD // ydcV // ydcU // ydcT // ydcS
hrpB	hrpB	hrpB
ytjB-lplA	lplA // ytjB	lplA // ytjB
ycjF // ycjX	ycjF // ycjX	ycjF // ycjX
yohD	yohD	yohD
yfdF	yfdF	yfdF
entCEBA-ybdB	entC // entE // entB // entA // entH	entC // entE // entB // entA // entH
trmL	trmL	trmL
smtA-mukFEB	mukB // mukE // mukF // cmoM	mukB // mukE // mukF // cmoM
ryjB	ryjB	ryjB
glgAP	glgP // glgA	glgP // glgA
yabQ // yabP	yabQ // yabP	yabQ // yabP
pepD	pepD	pepD
yciVOQ	yciQ // yciO // yciV	yciQ // yciO // yciV
rimO	rimO	rimO
yfbS	yfbS	yfbS
exuT	exuT	exuT
yiaC // tag	yiaC // tag	yiaC // tag
putP	putP	putP
dapE-ypfN	ypfN // dapE	ypfN // dapE
asnW	asnW	asnW
yjjY	yjjY	yjjY
hemN	hemN	hemN
cvrA	cvrA	cvrA
yjgA	yjgA	yjgA
yfaV // yfaU	yfaV // yfaU	yfaV // yfaU
srlAEBD-gutM-srlR-gutQ	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	srlA // srlE // srlB // srlD // gutM // srlR // gutQ
rlmJ	rlmJ	rlmJ
glyU	glyU	glyU
relBE-hokD	hokD // relE // relB	hokD // relE // relB
rrsB-gltT-rrlB-rrfB	rrfB // rrlB // gltT // rrsB	rrfB // rrlB // gltT // rrsB
rrsE-gltV-rrlE-rrfE	rrfE // rrlE // gltV // rrsE	rrfE // rrlE // gltV // rrsE
rimL	rimL	rimL
bluR	bluR	bluR
yidR	yidR	yidR
lpxT // yeiR	lpxT // yeiR	lpxT // yeiR
bioBFCD	bioB // bioF // bioC // bioD	bioB // bioF // bioC // bioD
yhhL // rsmD	yhhL // rsmD	yhhL // rsmD
argW	argW	argW
insH-7	insH7	insH7
trxA	trxA	trxA
cpxPQ	cpxQ // cpxP	cpxQ // cpxP
gcvB	gcvB	gcvB
