TUs	TU_Genes	Gene_Names
nanCMS	nanS // nanM // nanC	nanS // nanM // nanC
folD-ybcJ	folD // ybcJ	folD // ybcJ
nudB-yebC-ruvC	ruvC // yebC // nudB	ruvC // yebC // nudB
cnu	cnu	cnu
feaB	feaB	feaB
mltA	mltA	mltA
mreBCD	mreD // mreC // mreB	mreD // mreC // mreB
yjeI	yjeI	yjeI
yfgM	yfgM	yfgM
ilvL	ilvL	ilvL
priC // ybaM	priC // ybaM	priC // ybaM
ytfK	ytfK	ytfK
ynfA	ynfA	ynfA
chaA	chaA	chaA
cas3	cas3	cas3
hisLGDCBHAFI	hisL // hisG // hisD // hisC // hisB // hisH // hisA // hisF // hisI	hisL // hisG // hisD // hisC // hisB // hisH // hisA // hisF // hisI
yjcE	yjcE	yjcE
cdd	cdd	cdd
tyrS-pdxY	pdxY // tyrS	pdxY // tyrS
ibaG-murA	murA // ibaG	murA // ibaG
yajG	yajG	yajG
mdtABCD-baeSR	baeR // baeS // mdtD // mdtC // mdtB // mdtA	baeR // baeS // mdtD // mdtC // mdtB // mdtA
ydfO // ynfO	ydfO // ynfO	ydfO // ynfO
ttdR	ttdR	ttdR
yqaE	yqaE	yqaE
fdoGHI-fdhE	fdhE // fdoI // fdoH // fdoG	fdhE // fdoI // fdoH // fdoG
arpA	arpA	arpA
zraSR	zraR // zraS	zraR // zraS
uppS-cdsA	cdsA // uppS	cdsA // uppS
metH	metH	metH
ykiB	ykiB	ykiB
frc	frc	frc
yneE	yneE	yneE
yfiC	yfiC	yfiC
yfjJ	yfjJ	yfjJ
cobUST	cobT // cobS // cobU	cobT // cobS // cobU
yiiQ	yiiQ	yiiQ
xylAB	xylB // xylA	xylB // xylA
glnW-metU-glnVX	glnX // glnV // metU // glnW	glnX // glnV // metU // glnW
ppk-ppx	ppx // ppk	ppx // ppk
yahB	yahB	yahB
bglX	bglX	bglX
yddM	yddM	yddM
yegI	yegI	yegI
pssA	pssA	pssA
yjeFE-amiB-mutL-miaA-hfq-hflXKC	tsaE // nnr // amiB // mutL // miaA // hfq // hflX // hflK // hflC	tsaE // nnr // amiB // mutL // miaA // hfq // hflX // hflK // hflC
ompL	ompL	ompL
hlyE	hlyE	hlyE
nuoMN	nuoN // nuoM	nuoN // nuoM
hemA-prfA-prmC	prmC // prfA // hemA	prmC // prfA // hemA
intF	intF	intF
istR-1	istR	istR
patD	patD	patD
ydgC	ydgC	ydgC
ryfA	ryfA	ryfA
trpR	trpR	trpR
recQ	recQ	recQ
cfa	cfa	cfa
argQ	argQ	argQ
gadC terminator // gadC	gadC	gadC
cspG	cspG	cspG
ydcF	ydcF	ydcF
ychN	ychN	ychN
maeB	maeB	maeB
prs	prs	prs
mioC	mioC	mioC
fabDG-acpP	acpP // fabG // fabD	acpP // fabG // fabD
clpPX	clpX // clpP	clpX // clpP
gloB	gloB	gloB
sdhDAB	sdhB // sdhA // sdhD	sdhB // sdhA // sdhD
tfaR // stfR // lomR_2	tfaR // stfR	tfaR // stfR
ycaK	ycaK	ycaK
ligA-ypeB	ligA // ypeB	ligA // ypeB
malI	malI	malI
yidH // yidG // yidF	yidH // yidG // yidF	yidH // yidG // yidF
cydAB	cydB // cydA	cydB // cydA
glnS	glnS	glnS
acs-yjcHG	actP // yjcH // acs	actP // yjcH // acs
dgt	dgt	dgt
deoBD	deoD // deoB	deoD // deoB
insH4	insH4	insH4
yqgD	yqgD	yqgD
yfdO // yfdN // yfdM // yfdL // yfdK	yfdO // yfdN // yfdM // yfdL // yfdK	yfdO // yfdN // yfdM // yfdL // yfdK
gcvA	gcvA	gcvA
yibD	waaH	waaH
trpCBA	trpA // trpB // trpC	trpA // trpB // trpC
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH
ssrS	ssrS	ssrS
cra	cra	cra
ssb	ssb	ssb
lapAB	lapB // lapA	lapB // lapA
yncE	yncE	yncE
yfcE	yfcE	yfcE
proP	proP	proP
yiaB	yiaB	yiaB
ompR-envZ	envZ // ompR	envZ // ompR
fliLMNOPQR	fliR // fliQ // fliP // fliO // fliN // fliM // fliL	fliR // fliQ // fliP // fliO // fliN // fliM // fliL
ddpXABCDF	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX
mog	mog	mog
ppc	ppc	ppc
dauA	dauA	dauA
yjgZ	yjgZ	yjgZ
pmrD	pmrD	pmrD
aldB	aldB	aldB
yhjA	ccp	ccp
leuQPV	leuV // leuP // leuQ	leuV // leuP // leuQ
mreB	mreB	mreB
ybaB-recR	recR // ybaB	recR // ybaB
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD
dapD	dapD	dapD
pdeG	pdeG	pdeG
yifE	maoP	maoP
bcr	bcr	bcr
glgCAP	glgP // glgA // glgC	glgP // glgA // glgC
acpT	acpT	acpT
glyVXY	glyV // glyX // glyY	glyV // glyX // glyY
ybiB	ybiB	ybiB
chiA	chiA	chiA
aqpZ	aqpZ	aqpZ
yraP	yraP	yraP
ymfE // ymfD	ymfE // ymfD	ymfE // ymfD
yhiN	yhiN	yhiN
yohJK	yohK // yohJ	yohK // yohJ
gltA	gltA	gltA
yrfG-hslR	hslR // yrfG	hslR // yrfG
aspV	aspV	aspV
yfgA	rodZ	rodZ
narU	narU	narU
ftnB	ftnB	ftnB
glnA	glnA	glnA
yceB terminator // yceB	yceB	yceB
ybiP	opgE	opgE
metG	metG	metG
glnB	glnB	glnB
arfA	arfA	arfA
glnB	glnB	glnB
C0299	C0299	C0299
mgtA	mgtL // mgtA	mgtL // mgtA
fliE	fliE	fliE
mutY-yggX-mltC-nupG	nupG // mltC // yggX // mutY	nupG // mltC // yggX // mutY
yccE	yccE	yccE
ybaZ	atl	atl
sibA	sibA	sibA
alkB	alkB	alkB
yhcG	yhcG	yhcG
corA	corA	corA
ftsB	ftsB	ftsB
osmY	osmY	osmY
bamB-der	der // bamB	der // bamB
rsmA-apaGH	apaH // apaG // rsmA	apaH // apaG // rsmA
rmf	rmf	rmf
mlaA	mlaA	mlaA
yeeX	yeeX	yeeX
purL	purL	purL
ubiV // ubiU	ubiV // ubiU	ubiV // ubiU
rpoD	rpoD	rpoD
alsK	alsK	alsK
osmC	osmC	osmC
plsX-fabHDG	fabG // fabD // fabH // plsX	fabG // fabD // fabH // plsX
serS	serS	serS
ryjA	ryjA	ryjA
hprR // hprS	hprR // hprS	hprR // hprS
metA	metA	metA
ygjV	ygjV	ygjV
clpB	clpB	clpB
asnC-mioC-mnmG	mnmG // mioC // asnC	mnmG // mioC // asnC
tsr	tsr	tsr
csrC	csrC	csrC
dgcI // pdeI	dgcI // pdeI	dgcI // pdeI
nsrR-rnr-rlmB-yjfI	yjfI // rlmB // rnr // nsrR	yjfI // rlmB // rnr // nsrR
yecA	yecA	yecA
galETKM	galM // galK // galT // galE	galM // galK // galT // galE
yqiK // yqiJ	yqiK // yqiJ	yqiK // yqiJ
