Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU721	EG10417	[grxA 890,496 &larr; 890,753]	258	-
TU0-13130	EG12688	[grxB 1,123,407 &larr; 1,124,054]	648	-
TU0-13996	EG12294	[TU0-13996 3,784,191 &larr; 3,784,442]	252	-
TU0-8805	EG12181	[grxD 1,733,754 &larr; 1,734,101]	348	-
TU0-13714	EG10418	[TU0-13714 2,814,883 &larr; 2,816,439]	1557	-
TU0-8806	EG11102	[gsk 500,125 &rarr; 501,429]	1305	+
TU0-14375	EG11263 // G7701	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
TU-8433	EG11263 // G7701	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
TU0-14376	EG11263 // G7701	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
TU0-14377	EG11263 // G7701	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
TU0-13913	EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
TU0-14373	EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
TU0-14374	EG11359 // G7702 // G7705 // G7708 // G7711 // G7704 // G7707 // G7710 // EG12173 // G7703 // G7706 // G7709	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
TU0-13819	EG12882	[gss 3,136,663 &larr; 3,138,522]	1860	-
TU0-13353	G6878	[gstA 1,714,377 &rarr; 1,714,982]	606	+
TU0-8633	G6438	[gstB 879,854 &larr; 880,480]	627	-
TU00205	EG10421 // EG10420	[guaBA 2,630,958 &larr; 2,634,070]	3113	-
TU0-8807	EG10422	[guaC 113,444 &rarr; 114,487]	1044	+
TU0-4462	G7447 // G7446 // G7445	[gudPXD 2,918,045 &larr; 2,922,100]	4056	-
TU00140	EG10423	[gyrA 2,336,793 &larr; 2,339,420]	2628	-
TU0-2603	EG10424	[gyrB 3,877,705 &larr; 3,880,119]	2415	-
TU0-7202	G7336 // M009 // G7335 // G7334 // M015	[hcaEFCBD 2,669,032 &rarr; 2,673,249]	4218	+
TU0-7201	G7331	[hcaR 2,668,006 &larr; 2,668,896]	891	-
TU0-13660	G7330	[TU0-13660 2,666,707 &larr; 2,667,846]	1140	-
TU0-14416	G7055	[hchA 2,035,835 &rarr; 2,036,686]	852	+
TU0-13466	G7055	[hchA 2,035,835 &rarr; 2,036,686]	852	+
TU0-7021	G6457 // G6456	[hcp-hcr 911,182 &larr; 913,814]	2633	-
TU0-14451	G6457 // G6456	[hcp-hcr 911,182 &larr; 913,814]	2633	-
TU0-42650	G6457 // EG10754 // G6456	[hcp-hcr-poxB 909,331 &larr; 913,814]	4484	-
TU0-13051	EG11581	[TU0-13051 836,351 &rarr; 837,436]	1086	+
TU0-13646	G7313	[hda 2,618,075 &larr; 2,618,776]	702	-
TU00282	EG11398 // EG11399 // EG11400	[hdeAB-yhiD 3,655,255 &larr; 3,656,740]	1486	-
TU0-4903	EG11495	[hdeD 3,656,995 &rarr; 3,657,567]	573	+
TU0-8808	EG11449	[hdfR 3,947,128 &larr; 3,947,967]	840	-
TU0-13349	EG10425	[hdhA 1,697,273 &larr; 1,698,040]	768	-
TU0-8809	EG10426	[helD 1,024,471 &rarr; 1,026,525]	2055	+
TU0-4202	EG10427	[hemA 1,263,714 &rarr; 1,264,970]	1257	+
TU0-4201	EG10761 // EG12424 // EG10427	[hemA-prfA-prmC 1,263,714 &rarr; 1,266,927]	3214	+
TU0-12908	EG10428	[hemB 388,753 &larr; 389,727]	975	-
TU00283	EG10433 // EG10430 // EG10429 // EG10434	[hemCDXY 3,986,686 &larr; 3,990,766]	4081	-
TU0-2742	EG12189	[hemF 2,553,225 &rarr; 2,554,124]	900	+
TU0-12951	EG10431	[hemH 498,055 &rarr; 499,017]	963	+
TU0-14805	EG10432	[hemL 173,602 &larr; 174,882]	1281	-
TU0-14806	EG10432	[hemL 173,602 &larr; 174,882]	1281	-
TU0-7806	EG10432	[hemL 173,602 &larr; 174,882]	1281	-
TU0-6505	EG11836	[hemN 4,052,045 &rarr; 4,053,418]	1374	+
TU0-14488	EG11083	[hepA 60,358 &larr; 63,264]	2907	-
TU00054	EG11314 // EG11345	[hflD-purB 1,190,616 &larr; 1,192,631]	2016	-
TU0-14548	EG10438 // EG10437 // EG10435 // EG10436	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
TU0-14567	EG10438 // EG10437 // EG10435 // EG10436	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
TU0-14568	EG10438 // EG10437 // EG10435 // EG10436	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
TU0-13266	G0-10451 // G6749	[hicAB 1,509,286 &rarr; 1,509,924]	639	+
TU0-45145	G0-10451 // G6749	[hicAB 1,509,286 &rarr; 1,509,924]	639	+
TU0-13854	G7601 // G7602	[higBA 3,233,728 &larr; 3,234,455]	728	-
TU0-13136	G6567 // G6564 // G6566 // G6565 // G6568 // EG12172	[TU0-13136 1,161,885 &rarr; 1,165,685]	3801	+
TU00284	EG10442 // EG10443	[hipBA 1,590,854 &larr; 1,592,442]	1589	-
TU0-6650	EG10445 // EG10448 // EG10451 // EG10444 // EG10450	[hisBHAFI 2,093,468 &rarr; 2,097,225]	3758	+
TU0-14415	EG10452 // EG12125 // EG10007 // EG12124	[hisJQMP 2,423,736 &larr; 2,426,788]	3053	-
TU0-42511	EG11269	[hisL 2,089,996 &rarr; 2,090,046]	51	+
TU00285	EG10445 // EG10448 // EG10451 // EG10444 // EG10447 // EG10450 // EG11269 // EG10446 // EG10449	[hisLGDCBHAFI 2,089,996 &rarr; 2,097,225]	7230	+
TU0-6506	EG10453	[hisS 2,639,301 &larr; 2,640,575]	1275	-
TU0-13468	G7058	[hiuH 2,038,956 &rarr; 2,039,369]	414	+
TU0-13846	G7590	[TU0-13846 3,195,320 &larr; 3,196,753]	1434	-
TU0-4146	EG10455 // EG11284 // EG10316 // EG10545	[hlpA-lpxD-fabZ-lpxA 200,482 &rarr; 203,348]	2867	+
TU581	G6619	[hlyE 1,229,483 &larr; 1,230,394]	912	-
TU681	EG10456	[hmp 2,685,835 &rarr; 2,687,025]	1191	+
TU00139	EG10457	[hns 1,292,509 &larr; 1,292,922]	414	-
TU0-13927	G7738 // G7737 // G7736 // G7739	[hofMNOP 3,520,615 &larr; 3,522,751]	2137	-
TU0-13926	EG12113	[TU0-13926 3,519,465 &larr; 3,520,703]	1239	-
TU0-8810	G0-9613	[hokA 3,720,448 &larr; 3,720,600]	153	-
TU0-13255	G0-9610	[TU0-13255 1,491,922 &larr; 1,492,071]	150	-
TU0-13324	EG11130	[TU0-13324 1,645,119 &larr; 1,645,274]	156	-
TU0-8266	G0-9582	[hokE 607,836 &rarr; 607,988]	153	+
TU0-14322	EG11413	[holC 4,483,837 &larr; 4,484,280]	444	-
TU0-14474	EG11413 // EG11067	[holC-valS 4,480,982 &larr; 4,484,280]	3299	-
TU0-14216	EG12115 // EG11414 // EG10850	[holD-rimI-yjjG 4,607,803 &rarr; 4,609,323]	1521	+
TU0-13433	EG11505	[TU0-13433 1,925,108 &rarr; 1,925,338]	231	+
TU0-13467	G7057 // G7056	[TU0-13467 2,036,794 &larr; 2,038,823]	2030	-
TU0-2041	EG20098	[hpt 141,431 &rarr; 141,967]	537	+
TU0-13251	G6732	[TU0-13251 1,483,061 &rarr; 1,486,963]	3903	+
TU0-12819	EG12329	[TU0-12819 162,105 &rarr; 164,534]	2430	+
TU00423	EG12311 // EG12130 // EG11328 // EG12131	[hscBA-fdx-iscX 2,656,536 &larr; 2,659,467]	2932	-
TU0-13013	G6357	[TU0-13013 681,723 &larr; 683,393]	1671	-
TU00286	EG10458 // EG10460	[hsdMS 4,580,068 &larr; 4,583,048]	2981	-
TU0-14319	EG10458 // EG10460 // EG10459	[hsdRMS 4,580,068 &larr; 4,586,761]	6694	-
TU0-13241	G6702	[hslJ 1,441,321 &larr; 1,441,743]	423	-
TU0-13930	G7744	[TU0-13930 3,529,774 &rarr; 3,530,652]	879	+
TU0-14479	G7744 // G7743	[hslR-hslO 3,529,348 &rarr; 3,530,652]	1305	+
TU00287	EG11881 // EG11676	[hslVU 4,120,416 &larr; 4,122,287]	1872	-
TU0-13102	G6500	[hspQ 1,028,404 &larr; 1,028,721]	318	-
TU00405	EG11509	[htgA 10,830 &rarr; 11,315]	486	+
TU00406	EG11509	[htgA 10,830 &rarr; 11,315]	486	+
TU00402	EG10461	[htpG 495,120 &rarr; 496,994]	1875	+
TU0-14784	EG10461	[htpG 495,120 &rarr; 496,994]	1875	+
TU00401	EG10461	[htpG 495,120 &rarr; 496,994]	1875	+
TU00400	EG10462	[htpX 1,911,695 &larr; 1,912,576]	882	-
TU0-4192	EG12434	[htrG 3,201,207 &rarr; 3,201,827]	621	+
TU-8393	EG10136 // EG12434	[htrG-cca 3,201,207 &rarr; 3,203,129]	1923	+
TU0-14000	EG11188	[TU0-14000 3,792,826 &larr; 3,793,683]	858	-
TU486	EG10466	[hupA 4,200,281 &rarr; 4,200,553]	273	+
TU490	EG10467	[hupB 461,451 &rarr; 461,723]	273	+
TU487	EG10467	[hupB 461,451 &rarr; 461,723]	273	+
TU488	EG10467	[hupB 461,451 &rarr; 461,723]	273	+
TU489	EG10467	[hupB 461,451 &rarr; 461,723]	273	+
TU0-13383	G6932	[hxpB 1,809,380 &rarr; 1,810,048]	669	+
TU00288	EG10470 // EG10473 // EG10469 // EG10472 // EG10468 // EG10471	[hyaABCDEF 1,032,139 &rarr; 1,037,606]	5468	+
TU00289	EG11803 // EG11802 // EG11801 // EG11805 // G7554 // EG11800 // EG11804 // EG11799	[hybOABCDEFG 3,139,716 &larr; 3,146,261]	6546	-
TU00153	G7414 // EG10480 // EG10476 // EG10479 // EG10475 // EG10478 // EG10481 // EG10474 // EG10477	[hycABCDEFGHI 2,842,573 &larr; 2,850,435]	7863	-
TU424	EG11552 // EG11551	[hydN-hypF 2,835,173 &larr; 2,838,105]	2933	-
TU686	G7309 // G7300 // G7303 // G7306 // G7302 // EG11282 // G7305 // EG11150 // G7301 // G7304 // G7308 // G7307	[hyfABCDEFGHIJR-focB 2,601,201 &rarr; 2,614,782]	13582	+
TU00154	EG10484 // EG10483 // EG10487 // EG10486 // EG10485	[hypABCDE 2,850,647 &rarr; 2,854,264]	3618	+
TU0-8344	EG10301 // EG10484 // EG10483 // EG10487 // EG10486 // EG10485	[hypABCDE-fhlA 2,850,647 &rarr; 2,856,416]	5770	+
TU00424	EG10484 // EG10487 // EG10486 // EG10485	[hypBCDE 2,851,001 &rarr; 2,854,264]	3264	+
TU0-8345	EG10301 // EG10484 // EG10487 // EG10486 // EG10485	[hypBCDE-fhlA 2,851,001 &rarr; 2,856,416]	5416	+
TU0-14406	EG11551	[hypF 2,835,173 &larr; 2,837,425]	2253	-
TU0-14407	EG11551	[hypF 2,835,173 &larr; 2,837,425]	2253	-
TU0-14405	EG11551	[hypF 2,835,173 &larr; 2,837,425]	2253	-
TU0-14198	G7924	[TU0-14198 4,557,378 &larr; 4,558,289]	912	-
TU0-13776	G7492	[TU0-13776 3,010,028 &rarr; 3,011,413]	1386	+
TU0-13063	EG12407 // G6429 // G6432 // G6430 // G6431	[iaaA-gsiABCD 866,568 &rarr; 872,801]	6234	+
TU0-8811	EG10488	[iap 2,876,581 &rarr; 2,877,618]	1038	+
TU0-13888	G7657	[ibaG 3,336,549 &larr; 3,336,803]	255	-
TU0-42495	EG11358 // G7657	[ibaG-murA 3,335,235 &larr; 3,336,803]	1569	-
TU00407	EG11534 // EG11535	[ibpAB 3,866,469 &larr; 3,867,422]	954	-
TU0-5001	EG11535	[ibpB 3,866,469 &larr; 3,866,897]	429	-
TU00107	EG10489	[icd 1,195,123 &rarr; 1,196,373]	1251	+
TU00425	EG10489	[icd 1,195,123 &rarr; 1,196,373]	1251	+
TU0-13155	G0-10556	[TU0-13155 1,211,413 &rarr; 1,211,577]	165	+
TU0-4288	EG10491	[iclR 4,222,804 &larr; 4,223,628]	825	-
TU0-13786	G7508	[TU0-13786 3,033,065 &rarr; 3,033,613]	549	+
TU0-4682	G7892 // G7891 // G7893 // EG12539	[idnDOTR 4,490,141 &larr; 4,494,406]	4266	-
TU0-4681	EG12152	[idnK 4,494,623 &rarr; 4,495,186]	564	+
TU0-4924	G7891	[idnR 4,490,141 &larr; 4,491,139]	999	-
TU0-13928	G7741	[TU0-13928 3,526,469 &rarr; 3,528,604]	2136	+
TU00174	EG10440	[ihfA 1,795,253 &larr; 1,795,552]	300	-
TU00175	EG10441	[ihfB 963,828 &rarr; 964,112]	285	+
TU0-14394	EG10492 // EG11080 // EG10548 // EG11081	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
TU0-14465	EG10492 // EG11080 // EG10548 // EG11081	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
TU0-14395	EG10492 // EG11080 // EG10548 // EG11081	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
TU00502	EG30046	[ileX 3,215,598 &rarr; 3,215,673]	76	+
TU0-13704	G7387	[TU0-13704 2,785,762 &larr; 2,785,837]	76	-
TU0-6651	EG10493	[ilvA 3,955,331 &rarr; 3,956,875]	1545	+
TU00090	EG10495	[ilvC 3,957,970 &rarr; 3,959,445]	1476	+
TU526	EG10497 // EG10493 // EG10496	[ilvEDA 3,952,484 &rarr; 3,956,875]	4392	+
TU0-6882	EG10500 // EG10499	[ilvIH 85,630 &rarr; 87,848]	2219	+
TU00081	EG10500 // EG10499	[ilvIH 85,630 &rarr; 87,848]	2219	+
TU0-6861	EG10500 // EG10499	[ilvIH 85,630 &rarr; 87,848]	2219	+
TU0-6881	EG10500 // EG10499	[ilvIH 85,630 &rarr; 87,848]	2219	+
TU0-42516	EG11270	[ilvL 3,950,322 &rarr; 3,950,420]	99	+
TU0-42517	EG11270	[ilvL 3,950,322 &rarr; 3,950,420]	99	+
TU524	G8221 // EG10497 // EG10493 // EG11270 // EG10496 // EG10501 // G0-10641	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]	6554	+
TU525	G8221 // EG10497 // EG10493 // EG11270 // EG10496 // EG10501 // G0-10641	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]	6554	+
TU00033	EG10503	[ilvY 3,956,927 &larr; 3,957,820]	894	-
TU0-4285	EG11569	[imp 54,755 &larr; 57,109]	2355	-
TU0-4284	EG11569	[imp 54,755 &larr; 57,109]	2355	-
TU0-4287	EG11569 // EG10985 // EG10691	[imp-surA-pdxA 52,427 &larr; 57,109]	4683	-
TU0-1841	EG11422	[inaA 2,348,822 &larr; 2,349,472]	651	-
TU-8389	EG10504	[infA 926,225 &larr; 926,443]	219	-
TU-8390	EG10504	[infA 926,225 &larr; 926,443]	219	-
TU0-42662	EG30096 // EG10504	[infA-serW 925,884 &larr; 926,443]	560	-
TU0-44225	EG10505	[infB 3,313,342 &larr; 3,316,014]	2673	-
TU0-3304	EG10506	[infC 1,800,096 &larr; 1,800,638]	543	-
TU0-3305	EG10881 // EG10506 // EG11231	[infC-rpmI-rplT 1,799,393 &larr; 1,800,638]	1246	-
TU0-8829	G7908	[insA-7 4,518,527 &rarr; 4,518,802]	276	+
TU0-12796	G6086 // G0-10535 // G6085	[TU0-12796 19,811 &larr; 20,508]	698	-
TU0-12865	EG12340 // G6139 // G0-10537 // G6138 // G6137	[TU0-12865 277,756 &larr; 279,875]	2120	-
TU0-12870	G6145 // G0-10538 // G6146	[TU0-12870 290,649 &larr; 291,346]	698	-
TU0-13109	G0-10536 // G6509 // G0-10430	[TU0-13109 1,049,833 &rarr; 1,050,530]	698	+
TU0-13446	G7030 // G0-10539 // G7029	[insA5B5AB5 1,978,518 &larr; 1,979,215]	698	-
TU0-14189	G0-10569	[TU0-14189 4,518,721 &rarr; 4,519,224]	504	+
TU0-12904	G6212 // G0-10541 // G6213	[TU0-12904 381,351 &rarr; 382,579]	1229	+
TU0-13245	G6724 // G0-10542 // G6723	[TU0-13245 1,467,921 &larr; 1,469,149]	1229	-
TU0-13480	G7077 // G7076 // G0-10543	[TU0-13480 2,068,952 &larr; 2,070,180]	1229	-
TU0-13767	G7481 // G7480 // G0-10544 // G7478 // G7479	[TU0-13767 2,995,314 &larr; 2,997,600]	2287	-
TU0-13843	G7586 // G7584 // G0-10545 // G7583 // G7585 // G7587			+
TU0-14179	G0-10546 // G7895 // G7894	[TU0-14179 4,498,272 &rarr; 4,499,500]	1229	+
TU0-12910	G6224 // G0-10529 // G6223	[TU0-12910 391,739 &larr; 392,901]	1163	-
TU0-12971	G0-10530 // G6297 // G6296	[TU0-12971 566,842 &rarr; 568,004]	1163	+
TU0-13117	G6534 // G0-10531 // G6533	[TU0-13117 1,094,275 &larr; 1,095,437]	1163	-
TU0-13507	G7126 // G7125 // G0-10528	[TU0-13507 2,170,236 &rarr; 2,171,398]	1163	+
TU0-8830	G7900	[insG 4,502,103 &larr; 4,503,431]	1329	-
TU0-8831	G6134	[insH-1 274,101 &larr; 275,081]	981	-
TU0-8832	G7672	[insH-10 3,365,702 &larr; 3,366,682]	981	-
TU0-8833	G7769	[insH-11 3,652,182 &larr; 3,653,162]	981	-
TU0-14363	G6308	[insH-2 574,737 &larr; 575,717]	981	-
TU0-8834	G6693	[insH-5 1,427,746 &larr; 1,428,726]	981	-
TU0-14362	G7092	[insH-7 2,101,895 &larr; 2,102,875]	981	-
TU0-8835	G7150	[insH-8 2,289,065 &larr; 2,290,045]	981	-
TU0-8836	G7548	[insH-9 3,130,214 &rarr; 3,131,194]	981	+
TU0-13015	G6360	[TU0-13015 687,997 &larr; 688,977]	981	-
TU0-13219	G6667	[TU0-13219 1,396,112 &rarr; 1,397,092]	981	+
TU0-13479	G7074	[TU0-13479 2,066,305 &larr; 2,067,285]	981	-
TU0-13246	G6725	[TU0-13246 1,469,358 &rarr; 1,470,509]	1152	+
TU0-14385	G7776	[insJ 3,720,680 &rarr; 3,721,201]	522	+
TU0-8262	G7777	[insK 3,721,198 &rarr; 3,722,049]	852	+
TU0-12793	G6083	[TU0-12793 15,445 &rarr; 16,557]	1113	+
TU0-12990	G6327	[TU0-12990 608,065 &rarr; 609,177]	1113	+
TU0-13617	G7255	[TU0-13617 2,514,331 &rarr; 2,515,443]	1113	+
TU0-14186	G7905 // G0-10567	[TU0-14186 4,507,466 &larr; 4,508,942]	1477	-
TU0-14185	G7904	[insN-2 NIL &rarr; NIL]		+
TU0-12862	G6131 // G6130			+
TU0-14243	G6743	[TU0-14243 1,503,717 &rarr; 1,504,865]	1149	+
TU0-13184	G6632	[TU0-13184 1,294,426 &larr; 1,295,322]	897	-
TU0-13688	EG11783	[TU0-13688 2,756,159 &rarr; 2,757,400]	1242	+
TU0-14178	EG12364	[TU0-14178 4,496,750 &rarr; 4,497,940]	1191	+
TU0-8837	EG10507	[intD 564,815 &larr; 565,978]	1164	-
TU0-12874	G6152	[TU0-12874 295,696 &larr; 297,096]	1401	-
TU0-8838	G7044	[intG 2,012,502 &rarr; 2,012,780]	279	+
TU0-13600	G7218	[intS 2,466,545 &rarr; 2,467,702]	1158	+
TU0-13628	G7272	[TU0-13628 2,558,858 &rarr; 2,560,066]	1209	+
TU0-12912	G6226	[TU0-12912 394,506 &rarr; 395,129]	624	+
TU0-8625	G0-16685 // G7923	[iraD 4,556,913 &rarr; 4,557,385]	473	+
TU0-14766	G0-16686 // G0-16685 // G7923 // G0-16687	[iraD 4,556,574 &rarr; 4,557,385]	812	+
TU0-36425	G6600	[iraM 1,211,680 &larr; 1,212,003]	324	-
TU0-13156	G6600	[iraM 1,211,680 &larr; 1,212,003]	324	-
TU0-14613	EG11256	[iraP 401,386 &rarr; 401,646]	261	+
TU0-12913	EG11256	[iraP 401,386 &rarr; 401,646]	261	+
TU0-13653	G0-8908	[TU0-13653 2,653,515 &rarr; 2,653,723]	209	+
TU0-1881	G7324 // G7326 // G7325 // EG12132	[iscRSUA 2,659,563 &larr; 2,662,131]	2569	-
TU0-13885	EG10017	[TU0-13885 3,333,710 &rarr; 3,334,681]	972	+
TU0-14313	EG11816 // G7423	[ispDF 2,871,301 &larr; 2,872,490]	1190	-
TU0-14336	G0-9385 // EG10370	[ispG-sroE 2,640,595 &larr; 2,641,804]	1210	-
TU0-13448	G0-8904	[TU0-13448 1,987,839 &larr; 1,987,998]	160	-
TU0-14334	G0-8905	[isrC 2,071,317 &rarr; 2,071,511]	195	+
TU0-7182	G0-10201	[istR-1 3,853,118 &larr; 3,853,257]	140	-
TU0-7181	G0-10201	[istR-2 3,853,118 &larr; 3,853,257]	140	-
TU0-42513	EG11275	[ivbL 3,852,890 &larr; 3,852,988]	99	-
TU00032	EG10502 // EG10494 // EG11275	[ivbL-ilvBN 3,850,802 &larr; 3,852,988]	2187	-
TU0-14764	EG11052 // EG11051 // EG11053 // EG10502 // EG10494 // EG11275	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]	5684	-
TU0-8840	G6104	[ivy 240,343 &rarr; 240,816]	474	+
TU0-6507	EG10509	[katE 1,813,867 &rarr; 1,816,128]	2262	+
TU00034	EG10511	[katG 4,133,835 &rarr; 4,136,015]	2181	+
TU0-6581	G7631 // G7633 // EG12766 // G7632	[kbaZ-agaVWA 3,278,914 &rarr; 3,281,625]	2712	+
TU00225	EG10993 // EG10512	[kbl-tdh 3,790,320 &larr; 3,792,551]	2232	-
TU0-13708	G7395	[kbp 2,796,337 &larr; 2,796,786]	450	-
TU0-4403	EG11606	[kch 1,309,016 &larr; 1,310,269]	1254	-
TU0-7301	EG12253	[kdgK 3,679,419 &rarr; 3,680,348]	930	+
TU0-8841	G7003	[kdgR 1,909,308 &larr; 1,910,099]	792	-
TU0-14076	EG11869	[TU0-14076 4,101,690 &rarr; 4,102,673]	984	+
TU00292	EG10517 // EG10516	[kdpDE 721,056 &larr; 724,414]	3359	-
TU00035	EG10515 // G0-10439 // EG10514 // EG10513	[kdpFABC 724,407 &larr; 728,821]	4415	-
TU306	EG10518	[kdsA 1,268,165 &rarr; 1,269,019]	855	+
TU0-14291	G7663 // EG11680 // G7664 // G7665	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
TU0-36431	G7663 // EG11680 // G7664 // G7665	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
TU0-36432	G7663 // EG11680 // G7664 // G7665	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
TU00293	EG11190 // EG10520	[kdtA-coaD 3,808,540 &rarr; 3,810,304]	1765	+
TU0-13755	EG12361	[TU0-13755 2,982,497 &larr; 2,983,258]	762	-
TU0-13756	G7463	[TU0-13756 2,983,288 &larr; 2,984,124]	837	-
TU0-12800	EG10521 // EG11568	[TU0-12800 47,246 &rarr; 49,631]	2386	+
TU0-13918	EG20110 // G0-10466 // G7717	[TU0-13918 3,478,592 &larr; 3,481,161]	2570	-
TU0-13674	EG10522	[TU0-13674 2,724,448 &larr; 2,725,746]	1299	-
TU0-13228	EG12155 // G0-9081	[TU0-13228 1,417,838 &larr; 1,418,229]	392	-
TU0-8842	G7928	[kptA 4,560,930 &rarr; 4,561,484]	555	+
TU0-14662	EG11541	[kup 3,931,316 &rarr; 3,933,184]	1869	+
TU0-14663	EG11541	[kup 3,931,316 &rarr; 3,933,184]	1869	+
TU0-14032	EG11541	[kup 3,931,316 &rarr; 3,933,184]	1869	+
TU0-6508	EG10525	[lacI 366,428 &larr; 367,510]	1083	-
TU0-14521	EG10526 // EG10524	[lacYA 361,249 &larr; 363,179]	1931	-
TU00036	EG10526 // EG10524 // EG10527	[lacZYA 361,249 &larr; 366,305]	5057	-
TU0-4701	EG10526 // EG10524 // EG10527	[lacZYA 361,249 &larr; 366,305]	5057	-
TU0-4702	EG10526 // EG10524 // EG10527	[lacZYA 361,249 &larr; 366,305]	5057	-
TU0-4703	EG10526 // EG10524 // EG10527	[lacZYA 361,249 &larr; 366,305]	5057	-
TU0-12852	G6114	[TU0-12852 250,072 &rarr; 250,827]	756	+
TU0-42573	G6637 // EG12691	[lapAB 1,340,243 &rarr; 1,341,727]	1485	+
TU0-13200	G6637 // EG12691	[lapAB 1,340,243 &rarr; 1,341,727]	1485	+
TU0-13175	G6621	[TU0-13175 1,242,166 &larr; 1,243,080]	915	-
TU0-1161	G6094	[ldcC 209,679 &rarr; 211,820]	2142	+
TU0-8353	G592	[ldhA 1,441,854 &larr; 1,442,843]	990	-
TU0-8843	G0-9602	[ldrA 1,269,168 &larr; 1,269,275]	108	-
TU0-8844	G0-9605	[ldrB 1,269,703 &larr; 1,269,810]	108	-
TU0-8845	G0-9607	[ldrC 1,270,238 &larr; 1,270,345]	108	-
TU0-8846	G0-9041	[ldrD 3,699,980 &larr; 3,700,087]	108	-
TU0-13478	G7073	[TU0-13478 2,062,391 &larr; 2,063,323]	933	-
TU0-8334	G6422	[ldtB 854,824 &larr; 855,744]	921	-
TU0-13138	G6571	[ldtC 1,169,412 &larr; 1,170,374]	963	-
TU0-13090	EG11253	[ldtD 981,047 &rarr; 982,894]	1848	+
TU0-13366	G6904	[TU0-13366 1,757,721 &larr; 1,758,725]	1005	-
TU0-12848	G6108	[TU0-12848 245,065 &larr; 245,805]	741	-
TU0-6942	EG10529 // EG10530	[lepAB 2,704,335 &larr; 2,707,124]	2790	-
TU0-42526	G6984	[leuE 1,880,121 &larr; 1,880,759]	639	-
TU0-42508	EG11280	[leuL 83,622 &larr; 83,708]	87	-
TU00179	EG11575 // EG11280 // EG11577 // EG11226 // EG11576	[leuLABCD 78,848 &larr; 83,708]	4861	-
TU0-42478	EG11575 // EG11280 // EG11577 // EG11226 // EG11576	[leuLABCD 78,848 &larr; 83,708]	4861	-
TU0-12807	EG10531	[leuO 84,368 &rarr; 85,312]	945	+
TU0-42656	EG10531	[leuO 84,368 &rarr; 85,312]	945	+
TU0-42475	EG10531	[leuO 84,368 &rarr; 85,312]	945	+
TU0-42477	EG10531	[leuO 84,368 &rarr; 85,312]	945	+
TU00521	EG30048 // EG30051 // EG30047	[leuQPV 4,606,079 &larr; 4,606,401]	323	-
TU0-13010	EG10855 // EG11412 // EG10532 // G6349 // G6350	[TU0-13010 669,296 &larr; 674,783]	5488	-
TU00518	EG30050	[leuU 3,322,072 &larr; 3,322,158]	87	-
TU0-42652	EG30051	[leuV 4,606,079 &larr; 4,606,165]	87	-
TU00506	EG30053	[leuX 4,496,405 &rarr; 4,496,489]	85	+
TU00037	EG10533 // EG11491	[lexA-dinF 4,257,115 &rarr; 4,259,121]	2007	+
TU0-14247	G6113	[TU0-14247 248,358 &larr; 250,070]	1713	-
TU0-14211	G7944	[lgoR 4,594,937 &larr; 4,595,851]	915	-
TU0-14210	EG12587	[TU0-14210 4,593,361 &larr; 4,594,722]	1362	-
TU0-42614	EG12128	[lgt 2,965,162 &larr; 2,966,037]	876	-
TU00295	EG12128 // EG11002	[lgt-thyA 2,964,361 &larr; 2,966,037]	1677	-
TU-8430	EG11548	[lhr 1,729,087 &rarr; 1,733,703]	4617	+
TU0-13620	EG10534 // G0-10462	[ligA-ypeB 2,527,941 &larr; 2,530,176]	2236	-
TU0-8847	EG11334	[ligB 3,819,488 &larr; 3,821,170]	1683	-
TU0-14344	EG12330	[ligT 161,501 &larr; 162,031]	531	-
TU0-13004	EG11306	[lipA 659,251 &larr; 660,216]	966	-
TU0-13006	EG11591	[TU0-13006 661,637 &larr; 662,278]	642	-
