Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU00009	EG10079	[aroG 785,633 &rarr; 786,685]	1053	+
TU00010	EG10080	[aroH 1,788,435 &rarr; 1,789,481]	1047	+
TU0-14254	EG10080	[aroH 1,788,435 &rarr; 1,789,481]	1047	+
TU872	EG10204 // EG11871 // EG11030 // EG11183 // M004 // EG10074 // EG10081	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]	6431	-
TU873	EG10204 // EG11871 // EG11030 // EG11183 // M004 // EG10074 // EG10081	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]	6431	-
TU0-42568	EG10082 // EG11093 // EG10083	[aroL-yaiA-aroM 406,405 &rarr; 408,105]	1701	+
TU00011	EG10082 // EG11093 // EG10083	[aroL-yaiA-aroM 406,405 &rarr; 408,105]	1701	+
TU0-44218	EG10083	[aroM 407,428 &rarr; 408,105]	678	+
TU641	EG10084	[aroP 120,178 &larr; 121,551]	1374	-
TU00012	EG10084	[aroP 120,178 &larr; 121,551]	1374	-
TU0-14106	EG11208	[TU0-14106 4,220,301 &larr; 4,222,487]	2187	-
TU0-13379	G6926	[TU0-13379 1,803,094 &rarr; 1,804,993]	1900	+
TU0-36438	G0-10694	[arrS 3,657,986 &larr; 3,658,054]	69	-
TU00239	EG12235 // EG12236 // EG12237	[arsRBC 3,648,528 &rarr; 3,650,662]	2135	+
TU0-8161	EG11628	[artJ 899,844 &larr; 900,575]	732	-
TU00240	EG11627 // EG11625 // EG11626 // EG11624	[artPIQM 900,866 &larr; 903,734]	2869	-
TU0-14677	EG11627 // EG11625 // EG11626 // EG11624	[artPIQM 900,866 &larr; 903,734]	2869	-
TU0-14678	EG11627 // EG11625 // EG11626 // EG11624	[artPIQM 900,866 &larr; 903,734]	2869	-
TU0-14676	EG11627 // EG11625 // EG11626 // EG11624	[artPIQM 900,866 &larr; 903,734]	2869	-
TU0-42599	EG10085	[ascB 2,840,990 &rarr; 2,842,414]	1425	+
TU00241	EG10086 // EG10085	[ascFB 2,839,524 &rarr; 2,842,414]	2891	+
TU00242	EG10087	[ascG 2,838,254 &larr; 2,839,264]	1011	-
TU0-13935	EG10088	[TU0-13935 3,573,775 &larr; 3,574,878]	1104	-
TU0-8769	EG10089	[aslA 3,984,352 &larr; 3,986,007]	1656	-
TU0-8863	EG10090	[aslB 3,982,958 &rarr; 3,984,193]	1236	+
TU0-13500	EG11361	[TU0-13500 2,139,759 &larr; 2,141,612]	1854	-
TU00112	EG10091	[asnA 3,927,155 &rarr; 3,928,147]	993	+
TU0-4929	EG10092	[asnB 697,513 &larr; 699,177]	1665	-
TU00113	EG10093	[asnC 3,926,545 &larr; 3,927,003]	459	-
TU0-14262	EG10093 // EG11199	[asnC-mioC 3,926,012 &larr; 3,927,003]	992	-
TU0-14263	EG10375 // EG10093 // EG11199	[asnC-mioC-mnmG 3,923,744 &larr; 3,927,003]	3260	-
TU0-13093	EG10094	[asnS 987,585 &larr; 988,985]	1401	-
TU00497	EG30020	[asnT 2,044,549 &rarr; 2,044,624]	76	+
TU00498	EG30021	[asnU 2,059,851 &rarr; 2,059,926]	76	+
TU00499	EG30022	[asnV 2,062,260 &rarr; 2,062,335]	76	+
TU0-3561	G7069	[asnW 2,058,027 &larr; 2,058,102]	76	-
TU00160	EG10095	[aspA 4,366,891 &larr; 4,368,327]	1437	-
TU0-6021	EG11225 // EG10095	[aspA-dcuA 4,365,472 &larr; 4,368,327]	2856	-
TU0-6482	EG10096	[aspC 984,519 &larr; 985,709]	1191	-
TU0-8084	EG10097	[aspS 1,948,750 &larr; 1,950,522]	1773	-
TU0-14634	EG10097	[aspS 1,948,750 &larr; 1,950,522]	1773	-
TU0-14370	EG30023	[aspT 3,946,872 &rarr; 3,946,948]	77	+
TU0-14372	EG30024	[aspU 228,928 &rarr; 229,004]	77	+
TU00489	EG30025	[aspV 236,931 &rarr; 237,007]	77	+
TU0-1701	G6855	[asr 1,671,376 &rarr; 1,671,684]	309	+
TU0-1002	G6944 // G6941 // G6940 // G6943 // G6942	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
TU0-1003	G6944 // G6941 // G6940 // G6943 // G6942	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
TU0-1004	G6944 // G6941 // G6940 // G6943 // G6942	[astCADBE 1,825,955 &larr; 1,831,982]	6028	-
TU00114	EG11670 // EG11669 // EG11672 // EG11671	[atoDAEB 2,323,447 &rarr; 2,327,293]	3847	+
TU0-13562	EG11667 // EG11668	[TU0-13562 2,320,043 &rarr; 2,323,251]	3209	+
TU0-6635	EG10100 // EG10103 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]	6499	-
TU0-6636	EG10100 // EG10103 // EG10099 // EG10102 // EG10105 // EG10098 // EG10101 // EG10104	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]	6499	-
