Protein ID	half_life (units.min)	notes	assignment
sp|P06961|CCA_ECOLI	531.2000859	consistent	C-lim12_1
sp|P06971|FHUA_ECOLI	906.670356	consistent	C-lim12_1
sp|P06986|HIS8_ECOLI	646.467288	consistent	C-lim12_1
sp|P06988|HISX_ECOLI	691.6866306	consistent	C-lim12_1
sp|P06993|MALT_ECOLI	90.17622816	consistent	C-lim12_1
sp|P06996|OMPC_ECOLI	782.4824292000001	consistent	C-lim12_1
sp|P06999|PFKB_ECOLI	688.1202023999999	consistent	C-lim12_1
sp|P07012|RF2_ECOLI	518.1609001200001	consistent	C-lim12_1
sp|P07017|MCP2_ECOLI	359.92212576	consistent	C-lim12_1
sp|P07018|MCP4_ECOLI	278.10747036000004	consistent	C-lim12_1
sp|P07023|TYRA_ECOLI	476.79860232	consistent	C-lim12_1
sp|P07109|HISP_ECOLI	707.9632104	consistent	C-lim12_1
sp|P07118|SYV_ECOLI	641.5997712000001	consistent	C-lim12_1
sp|P07395|SYFB_ECOLI	775.7866434	consistent	C-lim12_1
sp|P07604|TYRR_ECOLI	516.48902256	consistent	C-lim12_1
sp|P07623|METAS_ECOLI	317.24108106	consistent	C-lim12_1
sp|P07639|AROB_ECOLI	545.92776882	consistent	C-lim12_1
sp|P07654|PSTA_ECOLI	780.5048814	consistent	C-lim12_1
sp|P07813|SYL_ECOLI	676.5733158	consistent	C-lim12_1
sp|P08142|ILVB_ECOLI	342.91565844	consistent	C-lim12_1
sp|P08192|FOLC_ECOLI	618.2358522000001	consistent	C-lim12_1
sp|P08200|IDH_ECOLI	631.4550924	consistent	C-lim12_1
sp|P08202|ARAA_ECOLI	630.3134304	consistent	C-lim12_1
sp|P08244|PYRF_ECOLI	589.5724686	consistent	C-lim12_1
sp|P08245|YCIH_ECOLI	339.03986106	consistent	C-lim12_1
sp|P08331|CPDB_ECOLI	866.1631758000001	consistent	C-lim12_1
sp|P08373|MURB_ECOLI	603.6915822	consistent	C-lim12_1
sp|P08506|DACC_ECOLI	764.7408066	consistent	C-lim12_1
