transcription_units,monomers_to_remove
"['EG11565', 'EG11564', 'EG11563', 'EG11562']","['EG11565', 'EG11564', 'EG11563', 'EG11562']"
"['G358', 'G359', 'G360', 'G361', 'G362', 'G363', 'G364', 'G365', 'G366']","['G358', 'G359', 'G360', 'G361', 'G362', 'G363', 'G364', 'G365', 'G366']"
"['EG11545', 'EG11967']","['EG11545', 'EG11967']"
"['G6562', 'G369']","['G6562', 'G369']"
"['G6562', 'G369', 'G357']","['G6562', 'G369', 'G357']"
"['EG10319', 'EG10320']","['EG10319', 'EG10320']"
"['G7027', 'G370', 'G7028']","['G7027', 'G370', 'G7028']"
"['EG10841', 'EG11388', 'EG11389']","['EG10841', 'EG11388', 'EG11389']"
"['EG11347', 'EG11654', 'EG11656', 'G377', 'G378', 'G379']","['EG11347', 'EG11654', 'EG11656', 'G377', 'G378', 'G379']"
"['G379', 'G378', 'G377', 'EG11656', 'EG11654', 'EG11347']","['G379', 'G378', 'G377', 'EG11656', 'EG11654', 'EG11347']"
"['EG10322', 'EG10323', 'EG10324', 'EG11224', 'EG11975', 'EG11976', 'EG11977']","['EG10322', 'EG10323', 'EG10324', 'EG11224', 'EG11975', 'EG11976', 'EG11977']"
"['EG11977', 'EG11976', 'EG11975', 'EG11224', 'EG10324', 'EG10323', 'EG10322']","['EG11977', 'EG11976', 'EG11975', 'EG11224', 'EG10324', 'EG10323', 'EG10322']"
"['EG11389', 'EG11388', 'EG10841']","['EG11389', 'EG11388', 'EG10841']"
"['EG10325', 'G0-10677']","['EG10325', 'G0-10677']"
"['G7309', 'G7308', 'G7307', 'G7306', 'G7305', 'G7304', 'G7303', 'G7302', 'G7301', 'G7300', 'EG11282', 'EG11150']","['G7309', 'G7308', 'G7307', 'G7306', 'G7305', 'G7304', 'G7303', 'G7302', 'G7301', 'G7300', 'EG11282', 'EG11150']"
"['EG10327', 'EG10218']","['EG10327', 'EG10218']"
"['EG10328', 'EG12879']","['EG10328', 'EG12879']"
"['EG11375', 'EG11290']","['EG11375', 'EG11290']"
"['EG11374', 'EG10690']","['EG11374', 'EG10690']"
"['EG11374', 'EG10690']","['EG11374', 'EG10690']"
"['G6862', 'G6861']","['G6862', 'G6861']"
"['EG50011', 'EG11553']","['EG50011', 'EG11553']"
"['EG10628', 'G7990']","['EG10628', 'G7990']"
"['EG10333', 'EG10332', 'EG10331', 'EG10330']","['EG10333', 'EG10332', 'EG10331', 'EG10330']"
"['G7727', 'G7726', 'G7724', 'G7723', 'EG12908']","['G7727', 'G7726', 'G7724', 'G7723', 'EG12908']"
"['G6209', 'EG50010', 'G6208']","['G6209', 'EG50010', 'G6208']"
"['EG10336', 'EG10337', 'G7990']","['EG10336', 'EG10337', 'G7990']"
"['EG11864', 'EG11863', 'EG11862', 'EG11861']","['EG11864', 'EG11863', 'EG11862', 'EG11861']"
"['EG11909', 'EG11908']","['EG11909', 'EG11908']"
"['G7250', 'G7249', 'G7248', 'G7247', 'G7246']","['G7250', 'G7249', 'G7248', 'G7247', 'G7246']"
"['EG10334', 'G6256', 'EG10456']","['EG10334', 'G6256', 'EG10456']"
"['G7424', 'EG10661']","['G7424', 'EG10661']"
"['EG11506', 'EG11507']","['EG11506', 'EG11507']"
"['EG10342', 'EG10339', 'EG10347']","['EG10342', 'EG10339', 'EG10347']"
"['EG10345', 'EG10340', 'EG10346']","['EG10345', 'EG10340', 'EG10346']"
"['EG10347', 'EG10339']","['EG10347', 'EG10339']"
"['EG10351', 'EG10348']","['EG10351', 'EG10348']"
"['EG10352', 'EG10349', 'EG10350', 'EG10355', 'EG10353']","['EG10352', 'EG10349', 'EG10350', 'EG10355', 'EG10353']"
"['EG10357', 'EG10006']","['EG10357', 'EG10006']"
"['EG10358', 'EG10356']","['EG10358', 'EG10356']"
"['EG11330', 'EG10361', 'EG11329']","['EG11330', 'EG10361', 'EG11329']"
"['EG11330', 'EG10361', 'EG11329', 'EG12387', 'G7394']","['EG11330', 'EG10361', 'EG11329', 'EG12387', 'G7394']"
"['G6786', 'EG11490']","['G6786', 'EG11490']"
"['G0-16680', 'EG11544']","['G0-16680', 'EG11544']"
"['G0-16680', 'EG12241', 'EG12240', 'EG11544']","['G0-16680', 'EG12241', 'EG12240', 'EG11544']"
"['G0-16680', 'EG12241', 'EG12240', 'EG11544']","['G0-16680', 'EG12241', 'EG12240', 'EG11544']"
"['EG12242', 'EG12243']","['EG12242', 'EG12243']"
"['EG12243', 'EG50009']","['EG12243', 'EG50009']"
"['EG10363', 'EG10366', 'EG10362']","['EG10363', 'EG10366', 'EG10362']"
"['EG11698', 'EG10363', 'EG10366', 'EG10362']","['EG11698', 'EG10363', 'EG10366', 'EG10362']"
"['EG10366', 'EG10362']","['EG10366', 'EG10362']"
"['EG12414', 'G6679', 'EG12415', 'EG12416', 'EG12417', 'G7128']","['EG12414', 'G6679', 'EG12415', 'EG12416', 'EG12417', 'G7128']"
"['EG12417', 'EG12416', 'EG12415', 'EG12414', 'G6679', 'G7128', 'EG12419']","['EG12417', 'EG12416', 'EG12415', 'EG12414', 'G6679', 'G7128', 'EG12419']"
"['G8207', 'EG12162']","['G8207', 'EG12162']"
"['EG11810', 'EG10371', 'EG11442']","['EG11810', 'EG10371', 'EG11442']"
"['G6507', 'G6506', 'G6505']","['G6507', 'G6506', 'G6505']"
"['G6504', 'G6503', 'EG11826']","['G6504', 'G6503', 'EG11826']"
"['G0-10472', 'G7830']","['G0-10472', 'G7830']"
"['G0-10472', 'G7830']","['G0-10472', 'G7830']"
