set#,sigma,alpha,kh,lambdaA,lambdaT,kt,n
85,1.55,2.0,2.125,2.005,0.01,1.3250000000000002,1.15
86,1.55,2.0,2.125,2.005,0.01,1.3250000000000002,1.5
87,1.55,2.0,2.125,3.0025,0.01,0.1,0.7999999999999999
88,1.55,2.0,2.125,3.0025,0.01,1.3250000000000002,1.15
89,1.55,2.0,2.125,3.0025,0.01,1.3250000000000002,1.5
90,1.55,2.0,2.125,4.0,0.01,0.1,0.7999999999999999
91,1.55,2.0,2.125,4.0,0.01,1.3250000000000002,1.5
92,1.55,2.0,3.0625,0.01,0.01,0.1,1.15
93,1.55,2.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
94,1.55,2.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
95,1.55,2.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
96,1.55,2.0,3.0625,2.005,0.01,0.1,0.7999999999999999
97,1.55,2.0,3.0625,2.005,0.01,1.3250000000000002,1.15
98,1.55,2.0,3.0625,2.005,0.01,1.3250000000000002,1.5
99,1.55,2.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
100,1.55,2.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
101,1.55,2.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
102,1.55,2.0,3.0625,4.0,0.01,0.1,0.7999999999999999
103,1.55,2.0,3.0625,4.0,0.01,1.3250000000000002,1.5
104,1.55,2.0,4.0,0.01,0.01,0.1,1.15
105,1.55,2.0,4.0,1.0075,0.01,0.1,0.7999999999999999
106,1.55,2.0,4.0,1.0075,0.01,1.3250000000000002,1.15
107,1.55,2.0,4.0,2.005,0.01,0.1,0.7999999999999999
108,1.55,2.0,4.0,2.005,0.01,1.3250000000000002,1.15
109,1.55,2.0,4.0,2.005,0.01,1.3250000000000002,1.5
110,1.55,2.0,4.0,3.0025,0.01,0.1,0.7999999999999999
111,1.55,2.0,4.0,3.0025,0.01,1.3250000000000002,1.5
112,1.55,2.0,4.0,4.0,0.01,0.1,0.7999999999999999
113,1.55,2.0,4.0,4.0,0.01,1.3250000000000002,1.5
114,1.55,3.0,0.25,0.01,0.01,0.1,1.5
115,1.55,3.0,0.25,1.0075,0.01,0.1,0.7999999999999999
116,1.55,3.0,0.25,1.0075,0.01,1.3250000000000002,1.5
117,1.55,3.0,0.25,2.005,0.01,0.1,0.7999999999999999
118,1.55,3.0,0.25,2.005,0.01,1.3250000000000002,1.5
119,1.55,3.0,0.25,3.0025,0.01,0.1,0.7999999999999999
120,1.55,3.0,0.25,3.0025,0.01,1.3250000000000002,1.5
121,1.55,3.0,0.25,4.0,0.01,0.1,0.7999999999999999
122,1.55,3.0,0.25,4.0,0.01,1.3250000000000002,1.15
123,1.55,3.0,0.25,4.0,0.01,1.3250000000000002,1.5
124,1.55,3.0,1.1875,0.01,0.01,0.1,1.15
125,1.55,3.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
126,1.55,3.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
127,1.55,3.0,1.1875,2.005,0.01,0.1,0.7999999999999999
128,1.55,3.0,1.1875,2.005,0.01,1.3250000000000002,1.15
129,1.55,3.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
130,1.55,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
131,1.55,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
132,1.55,3.0,1.1875,4.0,0.01,0.1,0.7999999999999999
133,1.55,3.0,1.1875,4.0,0.01,1.3250000000000002,1.15
134,1.55,3.0,1.1875,4.0,0.01,1.3250000000000002,1.5
135,1.55,3.0,2.125,0.01,0.01,0.1,1.15
136,1.55,3.0,2.125,1.0075,0.01,0.1,0.7999999999999999
137,1.55,3.0,2.125,1.0075,0.01,1.3250000000000002,1.5
138,1.55,3.0,2.125,2.005,0.01,0.1,0.7999999999999999
139,1.55,3.0,2.125,2.005,0.01,1.3250000000000002,1.15
140,1.55,3.0,2.125,2.005,0.01,1.3250000000000002,1.5
141,1.55,3.0,2.125,3.0025,0.01,0.1,0.7999999999999999
142,1.55,3.0,2.125,3.0025,0.01,1.3250000000000002,1.15
143,1.55,3.0,2.125,3.0025,0.01,1.3250000000000002,1.5
144,1.55,3.0,2.125,4.0,0.01,0.1,0.7999999999999999
145,1.55,3.0,2.125,4.0,0.01,1.3250000000000002,1.5
146,1.55,3.0,3.0625,0.01,0.01,0.1,1.15
147,1.55,3.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
148,1.55,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
149,1.55,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
150,1.55,3.0,3.0625,2.005,0.01,0.1,0.7999999999999999
151,1.55,3.0,3.0625,2.005,0.01,1.3250000000000002,1.15
152,1.55,3.0,3.0625,2.005,0.01,1.3250000000000002,1.5
153,1.55,3.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
154,1.55,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
155,1.55,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
156,1.55,3.0,3.0625,4.0,0.01,0.1,0.7999999999999999
157,1.55,3.0,3.0625,4.0,0.01,1.3250000000000002,1.5
158,1.55,3.0,4.0,0.01,0.01,0.1,1.15
159,1.55,3.0,4.0,1.0075,0.01,0.1,0.7999999999999999
160,1.55,3.0,4.0,1.0075,0.01,1.3250000000000002,1.15
161,1.55,3.0,4.0,2.005,0.01,0.1,0.7999999999999999
162,1.55,3.0,4.0,2.005,0.01,1.3250000000000002,1.15
163,1.55,3.0,4.0,2.005,0.01,1.3250000000000002,1.5
164,1.55,3.0,4.0,3.0025,0.01,0.1,0.7999999999999999
165,1.55,3.0,4.0,3.0025,0.01,1.3250000000000002,1.5
166,1.55,3.0,4.0,4.0,0.01,0.1,0.7999999999999999
167,1.55,3.0,4.0,4.0,0.01,1.3250000000000002,1.5
168,1.55,4.0,0.25,0.01,0.01,0.1,1.5
169,1.55,4.0,0.25,1.0075,0.01,0.1,0.7999999999999999
170,1.55,4.0,0.25,1.0075,0.01,1.3250000000000002,1.5
171,1.55,4.0,0.25,2.005,0.01,0.1,0.7999999999999999
172,1.55,4.0,0.25,2.005,0.01,1.3250000000000002,1.5
173,1.55,4.0,0.25,3.0025,0.01,0.1,0.7999999999999999
174,1.55,4.0,0.25,3.0025,0.01,1.3250000000000002,1.5
175,1.55,4.0,0.25,4.0,0.01,0.1,0.7999999999999999
176,1.55,4.0,0.25,4.0,0.01,1.3250000000000002,1.15
177,1.55,4.0,0.25,4.0,0.01,1.3250000000000002,1.5
178,1.55,4.0,1.1875,0.01,0.01,0.1,1.15
179,1.55,4.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
180,1.55,4.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
181,1.55,4.0,1.1875,2.005,0.01,0.1,0.7999999999999999
182,1.55,4.0,1.1875,2.005,0.01,1.3250000000000002,1.15
183,1.55,4.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
184,1.55,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
185,1.55,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
186,1.55,4.0,1.1875,4.0,0.01,0.1,0.7999999999999999
187,1.55,4.0,1.1875,4.0,0.01,1.3250000000000002,1.15
188,1.55,4.0,1.1875,4.0,0.01,1.3250000000000002,1.5
189,1.55,4.0,2.125,0.01,0.01,0.1,1.15
190,1.55,4.0,2.125,1.0075,0.01,0.1,0.7999999999999999
191,1.55,4.0,2.125,1.0075,0.01,1.3250000000000002,1.5
192,1.55,4.0,2.125,2.005,0.01,0.1,0.7999999999999999
193,1.55,4.0,2.125,2.005,0.01,1.3250000000000002,1.15
194,1.55,4.0,2.125,2.005,0.01,1.3250000000000002,1.5
195,1.55,4.0,2.125,3.0025,0.01,0.1,0.7999999999999999
196,1.55,4.0,2.125,3.0025,0.01,1.3250000000000002,1.15
197,1.55,4.0,2.125,3.0025,0.01,1.3250000000000002,1.5
198,1.55,4.0,2.125,4.0,0.01,0.1,0.7999999999999999
199,1.55,4.0,2.125,4.0,0.01,1.3250000000000002,1.5
200,1.55,4.0,3.0625,0.01,0.01,0.1,1.15
201,1.55,4.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
202,1.55,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
203,1.55,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
204,1.55,4.0,3.0625,2.005,0.01,0.1,0.7999999999999999
205,1.55,4.0,3.0625,2.005,0.01,1.3250000000000002,1.15
206,1.55,4.0,3.0625,2.005,0.01,1.3250000000000002,1.5
207,1.55,4.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
208,1.55,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
209,1.55,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
210,1.55,4.0,3.0625,4.0,0.01,0.1,0.7999999999999999
211,1.55,4.0,3.0625,4.0,0.01,1.3250000000000002,1.5
212,1.55,4.0,4.0,0.01,0.01,0.1,1.15
213,1.55,4.0,4.0,1.0075,0.01,0.1,0.7999999999999999
214,1.55,4.0,4.0,1.0075,0.01,1.3250000000000002,1.15
215,1.55,4.0,4.0,2.005,0.01,0.1,0.7999999999999999
216,1.55,4.0,4.0,2.005,0.01,1.3250000000000002,1.15
217,1.55,4.0,4.0,2.005,0.01,1.3250000000000002,1.5
218,1.55,4.0,4.0,3.0025,0.01,0.1,0.7999999999999999
219,1.55,4.0,4.0,3.0025,0.01,1.3250000000000002,1.5
220,1.55,4.0,4.0,4.0,0.01,0.1,0.7999999999999999
221,1.55,4.0,4.0,4.0,0.01,1.3250000000000002,1.5
222,1.55,5.0,0.25,0.01,0.01,0.1,1.5
223,1.55,5.0,0.25,1.0075,0.01,0.1,0.7999999999999999
224,1.55,5.0,0.25,1.0075,0.01,1.3250000000000002,1.5
225,1.55,5.0,0.25,2.005,0.01,0.1,0.7999999999999999
226,1.55,5.0,0.25,2.005,0.01,1.3250000000000002,1.5
227,1.55,5.0,0.25,3.0025,0.01,0.1,0.7999999999999999
228,1.55,5.0,0.25,3.0025,0.01,1.3250000000000002,1.5
229,1.55,5.0,0.25,4.0,0.01,0.1,0.7999999999999999
230,1.55,5.0,0.25,4.0,0.01,1.3250000000000002,1.15
231,1.55,5.0,0.25,4.0,0.01,1.3250000000000002,1.5
232,1.55,5.0,1.1875,0.01,0.01,0.1,1.15
233,1.55,5.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
234,1.55,5.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
235,1.55,5.0,1.1875,2.005,0.01,0.1,0.7999999999999999
236,1.55,5.0,1.1875,2.005,0.01,1.3250000000000002,1.15
237,1.55,5.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
238,1.55,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
239,1.55,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
240,1.55,5.0,1.1875,4.0,0.01,0.1,0.7999999999999999
241,1.55,5.0,1.1875,4.0,0.01,1.3250000000000002,1.15
242,1.55,5.0,1.1875,4.0,0.01,1.3250000000000002,1.5
243,1.55,5.0,2.125,0.01,0.01,0.1,1.15
244,1.55,5.0,2.125,1.0075,0.01,0.1,0.7999999999999999
245,1.55,5.0,2.125,1.0075,0.01,1.3250000000000002,1.5
246,1.55,5.0,2.125,2.005,0.01,0.1,0.7999999999999999
247,1.55,5.0,2.125,2.005,0.01,1.3250000000000002,1.15
248,1.55,5.0,2.125,2.005,0.01,1.3250000000000002,1.5
249,1.55,5.0,2.125,3.0025,0.01,0.1,0.7999999999999999
250,1.55,5.0,2.125,3.0025,0.01,1.3250000000000002,1.15
251,1.55,5.0,2.125,3.0025,0.01,1.3250000000000002,1.5
252,1.55,5.0,2.125,4.0,0.01,0.1,0.7999999999999999
253,1.55,5.0,2.125,4.0,0.01,1.3250000000000002,1.5
254,1.55,5.0,3.0625,0.01,0.01,0.1,1.15
255,1.55,5.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
256,1.55,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
257,1.55,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
258,1.55,5.0,3.0625,2.005,0.01,0.1,0.7999999999999999
259,1.55,5.0,3.0625,2.005,0.01,1.3250000000000002,1.15
260,1.55,5.0,3.0625,2.005,0.01,1.3250000000000002,1.5
261,1.55,5.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
262,1.55,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
263,1.55,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
264,1.55,5.0,3.0625,4.0,0.01,0.1,0.7999999999999999
265,1.55,5.0,3.0625,4.0,0.01,1.3250000000000002,1.5
266,1.55,5.0,4.0,0.01,0.01,0.1,1.15
267,1.55,5.0,4.0,1.0075,0.01,0.1,0.7999999999999999
268,1.55,5.0,4.0,1.0075,0.01,1.3250000000000002,1.15
269,1.55,5.0,4.0,2.005,0.01,0.1,0.7999999999999999
270,1.55,5.0,4.0,2.005,0.01,1.3250000000000002,1.15
271,1.55,5.0,4.0,2.005,0.01,1.3250000000000002,1.5
272,1.55,5.0,4.0,3.0025,0.01,0.1,0.7999999999999999
273,1.55,5.0,4.0,3.0025,0.01,1.3250000000000002,1.5
274,1.55,5.0,4.0,4.0,0.01,0.1,0.7999999999999999
275,1.55,5.0,4.0,4.0,0.01,1.3250000000000002,1.5
276,2.275,1.0,0.25,0.01,0.01,0.1,1.5
277,2.275,1.0,0.25,1.0075,0.01,0.1,0.7999999999999999
278,2.275,1.0,0.25,1.0075,0.01,1.3250000000000002,1.5
279,2.275,1.0,0.25,2.005,0.01,0.1,0.7999999999999999
280,2.275,1.0,0.25,2.005,0.01,1.3250000000000002,1.15
281,2.275,1.0,0.25,2.005,0.01,1.3250000000000002,1.5
282,2.275,1.0,0.25,3.0025,0.01,0.1,0.7999999999999999
283,2.275,1.0,0.25,3.0025,0.01,1.3250000000000002,1.15
284,2.275,1.0,0.25,3.0025,0.01,1.3250000000000002,1.5
285,2.275,1.0,0.25,4.0,0.01,0.1,0.7999999999999999
286,2.275,1.0,0.25,4.0,0.01,1.3250000000000002,1.15
287,2.275,1.0,0.25,4.0,0.01,1.3250000000000002,1.5
288,2.275,1.0,0.25,4.0,0.01,2.5500000000000003,1.5
289,2.275,1.0,1.1875,0.01,0.01,0.1,1.15
290,2.275,1.0,1.1875,0.01,0.01,0.1,1.5
291,2.275,1.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
292,2.275,1.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
293,2.275,1.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
294,2.275,1.0,1.1875,2.005,0.01,0.1,0.7999999999999999
295,2.275,1.0,1.1875,2.005,0.01,1.3250000000000002,1.15
296,2.275,1.0,1.1875,2.005,0.01,1.3250000000000002,1.5
297,2.275,1.0,1.1875,2.005,0.01,2.5500000000000003,1.5
298,2.275,1.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
299,2.275,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
300,2.275,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
301,2.275,1.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
302,2.275,1.0,1.1875,4.0,0.01,0.1,0.7999999999999999
303,2.275,1.0,1.1875,4.0,0.01,1.3250000000000002,1.15
304,2.275,1.0,1.1875,4.0,0.01,1.3250000000000002,1.5
305,2.275,1.0,1.1875,4.0,0.01,2.5500000000000003,1.5
306,2.275,1.0,2.125,0.01,0.01,0.1,1.15
307,2.275,1.0,2.125,0.01,0.01,0.1,1.5
308,2.275,1.0,2.125,1.0075,0.01,0.1,0.7999999999999999
309,2.275,1.0,2.125,1.0075,0.01,1.3250000000000002,1.15
310,2.275,1.0,2.125,1.0075,0.01,1.3250000000000002,1.5
311,2.275,1.0,2.125,2.005,0.01,0.1,0.7999999999999999
312,2.275,1.0,2.125,2.005,0.01,1.3250000000000002,1.15
313,2.275,1.0,2.125,2.005,0.01,1.3250000000000002,1.5
314,2.275,1.0,2.125,2.005,0.01,2.5500000000000003,1.5
315,2.275,1.0,2.125,3.0025,0.01,0.1,0.7999999999999999
316,2.275,1.0,2.125,3.0025,0.01,1.3250000000000002,1.15
317,2.275,1.0,2.125,3.0025,0.01,1.3250000000000002,1.5
318,2.275,1.0,2.125,3.0025,0.01,2.5500000000000003,1.5
319,2.275,1.0,2.125,4.0,0.01,0.1,0.7999999999999999
320,2.275,1.0,2.125,4.0,0.01,1.3250000000000002,1.15
321,2.275,1.0,2.125,4.0,0.01,1.3250000000000002,1.5
322,2.275,1.0,2.125,4.0,0.01,2.5500000000000003,1.5
323,2.275,1.0,3.0625,0.01,0.01,0.1,1.15
324,2.275,1.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
325,2.275,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
326,2.275,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
327,2.275,1.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
328,2.275,1.0,3.0625,2.005,0.01,0.1,0.7999999999999999
329,2.275,1.0,3.0625,2.005,0.01,1.3250000000000002,1.15
330,2.275,1.0,3.0625,2.005,0.01,1.3250000000000002,1.5
331,2.275,1.0,3.0625,2.005,0.01,2.5500000000000003,1.5
332,2.275,1.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
333,2.275,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
334,2.275,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
335,2.275,1.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
336,2.275,1.0,3.0625,4.0,0.01,0.1,0.7999999999999999
337,2.275,1.0,3.0625,4.0,0.01,1.3250000000000002,1.15
338,2.275,1.0,3.0625,4.0,0.01,1.3250000000000002,1.5
339,2.275,1.0,3.0625,4.0,0.01,2.5500000000000003,1.5
340,2.275,1.0,4.0,0.01,0.01,0.1,1.15
341,2.275,1.0,4.0,1.0075,0.01,0.1,0.7999999999999999
342,2.275,1.0,4.0,1.0075,0.01,1.3250000000000002,1.15
343,2.275,1.0,4.0,1.0075,0.01,1.3250000000000002,1.5
344,2.275,1.0,4.0,1.0075,0.01,2.5500000000000003,1.5
345,2.275,1.0,4.0,2.005,0.01,0.1,0.7999999999999999
346,2.275,1.0,4.0,2.005,0.01,1.3250000000000002,1.15
347,2.275,1.0,4.0,2.005,0.01,1.3250000000000002,1.5
348,2.275,1.0,4.0,2.005,0.01,2.5500000000000003,1.5
349,2.275,1.0,4.0,3.0025,0.01,0.1,0.7999999999999999
350,2.275,1.0,4.0,3.0025,0.01,1.3250000000000002,1.15
351,2.275,1.0,4.0,3.0025,0.01,1.3250000000000002,1.5
352,2.275,1.0,4.0,3.0025,0.01,2.5500000000000003,1.5
353,2.275,1.0,4.0,4.0,0.01,0.1,0.7999999999999999
354,2.275,1.0,4.0,4.0,0.01,1.3250000000000002,1.15
355,2.275,1.0,4.0,4.0,0.01,1.3250000000000002,1.5
356,2.275,1.0,4.0,4.0,0.01,2.5500000000000003,1.5
357,2.275,2.0,0.25,0.01,0.01,0.1,1.5
358,2.275,2.0,0.25,1.0075,0.01,0.1,0.7999999999999999
359,2.275,2.0,0.25,1.0075,0.01,1.3250000000000002,1.5
360,2.275,2.0,0.25,2.005,0.01,0.1,0.7999999999999999
361,2.275,2.0,0.25,2.005,0.01,1.3250000000000002,1.15
362,2.275,2.0,0.25,2.005,0.01,1.3250000000000002,1.5
363,2.275,2.0,0.25,3.0025,0.01,0.1,0.7999999999999999
364,2.275,2.0,0.25,3.0025,0.01,1.3250000000000002,1.15
365,2.275,2.0,0.25,3.0025,0.01,1.3250000000000002,1.5
366,2.275,2.0,0.25,4.0,0.01,0.1,0.7999999999999999
367,2.275,2.0,0.25,4.0,0.01,1.3250000000000002,1.15
368,2.275,2.0,0.25,4.0,0.01,1.3250000000000002,1.5
369,2.275,2.0,0.25,4.0,0.01,2.5500000000000003,1.5
370,2.275,2.0,1.1875,0.01,0.01,0.1,1.15
371,2.275,2.0,1.1875,0.01,0.01,0.1,1.5
372,2.275,2.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
373,2.275,2.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
374,2.275,2.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
375,2.275,2.0,1.1875,2.005,0.01,0.1,0.7999999999999999
376,2.275,2.0,1.1875,2.005,0.01,1.3250000000000002,1.15
377,2.275,2.0,1.1875,2.005,0.01,1.3250000000000002,1.5
378,2.275,2.0,1.1875,2.005,0.01,2.5500000000000003,1.5
379,2.275,2.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
380,2.275,2.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
381,2.275,2.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
382,2.275,2.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
383,2.275,2.0,1.1875,4.0,0.01,0.1,0.7999999999999999
384,2.275,2.0,1.1875,4.0,0.01,1.3250000000000002,1.15
385,2.275,2.0,1.1875,4.0,0.01,1.3250000000000002,1.5
386,2.275,2.0,1.1875,4.0,0.01,2.5500000000000003,1.5
387,2.275,2.0,2.125,0.01,0.01,0.1,1.15
388,2.275,2.0,2.125,0.01,0.01,0.1,1.5
389,2.275,2.0,2.125,1.0075,0.01,0.1,0.7999999999999999
390,2.275,2.0,2.125,1.0075,0.01,1.3250000000000002,1.15
391,2.275,2.0,2.125,1.0075,0.01,1.3250000000000002,1.5
392,2.275,2.0,2.125,2.005,0.01,0.1,0.7999999999999999
393,2.275,2.0,2.125,2.005,0.01,1.3250000000000002,1.15
394,2.275,2.0,2.125,2.005,0.01,1.3250000000000002,1.5
