"transcription_units"	"monomers_to_remove"
["EG12172", "G6564", "G6565", "G6566", "G6567", "G6568"]	["EG12172", "G6564", "G6565", "G6566", "G6567", "G6568"]
["G6573", "G6574", "G6575"]	["G6573", "G6574", "G6575"]
["G6576", "G6577"]	["G6576", "G6577"]
["G6579", "G6578"]	["G6579", "G6578"]
["G6581", "G6580"]	["G6581", "G6580"]
["G6583", "G6582"]	["G6583", "G6582"]
["G6586", "G6585", "EG12370"]	["G6586", "G6585", "EG12370"]
["G6590", "G6591", "G6592", "G6593", "G6594", "G6595", "G6596", "G6597", "EG12877", "G6598"]	["G6590", "G6591", "G6592", "G6593", "G6594", "G6595", "G6596", "G6597", "EG12877", "G6598"]
["G6599", "EG11120"]	["G6599", "EG11120"]
["G6605", "G6606"]	["G6605"]
["G6612", "G6611"]	["G6612", "G6611"]
["EG11123", "EG11122"]	["EG11123", "EG11122"]
["EG11127", "EG11126", "EG11125"]	["EG11126"]
["G6634", "G6635", "G6636"]	["G6634", "G6635", "G6636"]
["EG11759", "EG10130"]	["EG11759", "EG10130"]
["G0-10512", "G0-10513"]	["G0-10512", "G0-10513"]
["G6637", "EG12691"]	["G6637", "EG12691"]
["G2002", "G2001", "G2000", "EG12304", "EG12305"]	["G2002", "G2001", "G2000", "EG12304", "EG12305"]
["G6645", "EG12431", "EG10036", "EG11822", "G6646"]	["G6645", "EG12431", "EG10036", "EG11822", "G6646"]
["EG10036", "EG11822", "G6646"]	["EG10036", "EG11822", "G6646"]
["G6647", "G6648", "G6649", "G6650", "G6651", "G6652", "G6653", "G6654", "G6655", "G6656", "G0-10445", "G6657"]	["G6647", "G6648", "G6649", "G6650", "G6651", "G6652", "G6653", "G6654", "G6655", "G6656", "G0-10445"]
["G6659", "EG12870"]	["G6659", "EG12870"]
["G0-10446", "G6662"]	["G0-10446"]
["G6670", "G6669", "EG12853", "EG10668"]	["G6670", "G6669", "EG12853"]
["EG10827", "EG11899", "EG11900", "EG11901", "G6677", "G6676"]	["EG10827", "EG11899", "EG11900", "EG11901", "G6677", "G6676"]
["EG12155", "G0-9081"]	["EG12155", "G0-9081"]
["G6679", "G0-10448"]	["G6679", "G0-10448"]
["G6681", "G6682", "G6683", "G6684", "G6685", "G6686"]	["G6681", "G6682", "G6683", "G6684", "G6685", "G6686"]
["G6688", "G6689"]	["G6688", "G6689"]
["G6691", "G6692"]	["G6691", "G6692"]
["G6695", "G6696"]	["G6695", "G6696"]
["G6703", "G6704", "G6705"]	["G6703", "G6704", "G6705"]
["G6727", "G6728", "G6729", "G6730"]	["G6727", "G6728", "G6729", "G6730"]
["G0-10451", "G6749"]	["G0-10451", "G6749"]
["G6759", "G6758"]	["G6759", "G6758"]
["EG10010", "EG11760"]	["EG10010", "EG11760"]
["G6773", "G6772", "G6771"]	["G6773", "G6772", "G6771"]
["EG11742", "EG11743"]	["EG11742", "EG11743"]
["G6795", "G6794", "G6793"]	["G6795", "G6794", "G6793"]
["G6799", "G6798"]	["G6799"]
["G6810", "G6809"]	["G6810", "G6809"]
["G0-10452", "G6822"]	["G0-10452", "G6822"]
["G6829", "G6828", "G6827", "G6826"]	["G6829", "G6828", "G6827", "G6826"]
["G6831", "G6830"]	["G6831", "G6830"]
["EG10836", "EG11131"]	["EG10836", "EG11131"]
["EG10228", "G6835", "G6834"]	["EG10228", "G6835", "G6834"]
["EG11300", "EG11301", "EG11302"]	["EG11300", "EG11301", "EG11302"]
["EG10227", "EG11303", "EG11304", "G6836", "G6837"]	["EG10227", "EG11303", "EG11304", "G6836", "G6837"]
["G6839", "G6838"]	["G6839", "G6838"]
["G6841", "G6842"]	["G6841", "G6842"]
["G6858", "G6857"]	["G6858", "G6857"]
["G6861", "G6862"]	["G6861", "G6862"]
["G6899", "G6898", "G6897"]	["G6899", "G6898", "G6897"]
["G6902", "G6901", "G6900"]	["G6902", "G6901", "G6900"]
["G6913", "G6912", "G6911"]	["G6913", "G6912", "G6911"]
["G6917", "EG11234", "EG10076"]	["G6917", "EG11234"]
["EG12432", "G6918"]	["EG12432", "G6918"]
["G6945", "G6946", "G6947", "G6948", "G6949", "G6950", "G6951"]	["G6945", "G6946", "G6947", "G6948", "G6949", "G6950", "G6951"]
["G6963", "G6962", "G6961", "G6960", "G6959", "G6958"]	["G6963", "G6962", "G6961", "G6960", "G6959", "G6958"]
["G6983", "G6982"]	["G6983", "G6982"]
["G6987", "G6988"]	["G6987", "G6988"]
["G6991", "G6990"]	["G6991"]
["EG10683", "EG12693"]	["EG10683", "EG12693"]
["G7000", "EG12204"]	["G7000", "EG12204"]
["EG12866", "EG10760"]	["EG12866", "EG10760"]
["G7006", "G7007"]	["G7006", "G7007"]
["G7014", "G7013", "G7012"]	["G7014", "G7013", "G7012"]
["G7015", "G7016"]	["G7015", "G7016"]
["EG12378", "EG12379"]	["EG12378", "EG12379"]
["G7019", "G7020", "G7021"]	["G7019", "G7020", "G7021"]
["G7038", "G7037", "EG12347"]	["G7038", "G7037", "EG12347"]
["EG11660", "EG11661"]	["EG11660", "EG11661"]
["G7051", "EG12710"]	["G7051", "EG12710"]
["G7057", "G7056"]	["G7057", "G7056"]
["G7059", "G7060"]	["G7059", "G7060"]
["G7081", "G7082", "G7083", "G7084", "G7085", "G7086"]	["G7081", "G7082", "G7083", "G7084", "G7085", "G7086"]
["EG11895", "EG11894"]	["EG11895", "EG11894"]
["EG12844", "G0-9121"]	["EG12844", "G0-9121"]
["G7096", "G7095", "G7094"]	["G7096", "G7095", "G7094"]
["G7102", "G7101", "G7100", "G7099", "EG11787", "EG11788", "EG11789", "EG11790", "EG10161", "EG10162", "G7098", "G7097"]	["G7102", "G7101", "G7100", "G7099", "EG11787", "EG11788", "EG11789", "EG11790", "EG10161", "EG10162", "G7098", "G7097"]
["G7112", "G7111"]	["G7112", "G7111"]
["G7130", "G7131", "G7132"]	["G7130", "G7131", "G7132"]
["M007", "G7135"]	["M007", "G7135"]
["G7138", "G7139"]	["G7138"]
["EG11990", "EG11989", "EG11988", "EG11987"]	["EG11990", "EG11989", "EG11988", "EG11987"]
["G8208", "EG11995"]	["G8208", "EG11995"]
["EG11998", "EG11999", "EG12002", "EG12003"]	["EG11998", "EG11999", "EG12002", "EG12003"]
["EG12007", "EG12006"]	["EG12007", "EG12006"]
["EG12023", "EG12024"]	["EG12023", "EG12024"]
["EG12025", "G7144"]	["EG12025", "G7144"]
["G7145", "EG11289"]	["G7145", "EG11289"]
["EG11375", "EG11290"]	["EG11375", "EG11290"]
["EG11646", "EG12033"]	["EG11646", "EG12033"]
["EG12104", "G7146"]	["EG12104"]
["EG12037", "EG12038", "EG12040", "EG12041"]	["EG12037", "EG12038", "EG12040", "EG12041"]
["EG12043", "EG12049"]	["EG12043", "EG12049"]
["EG11667", "EG11668"]	["EG11667", "EG11668"]
