Protein ID,Rate Constant,HL Source
DALADALALIGB-MONOMER,1.6045073624072808e-05,Clim0
DALADEHYDROGA-MONOMER,0.0001912657783002,Clim0
DAPASYN-MONOMER,3.2377951259339743e-05,Clim0
DCTA-MONOMER,3.443354101142301e-05,Clim0
DCTP-DEAM-MONOMER,4.001542434822453e-05,Clim0
DCUS-MONOMER,3.272649577714567e-05,Clim0
DCYSDESULF-MONOMER,1.6045073624072808e-05,Clim0
DEOA-MONOMER,1.6045073624072808e-05,Clim0
DEOD-MONOMER,1.6045073624072808e-05,Clim0
DEOXYGLUCONOKIN-MONOMER,3.232359543741584e-05,Clim0
DEOXYRIBOSE-P-ALD-MONOMER,1.6045073624072808e-05,Clim0
DGTPTRIPHYDRO-MONOMER,1.655079227698055e-05,Clim0
DHHB-METHYLTRANSFER-MONOMER,3.8831774821285455e-05,Clim0
DIACYLGLYKIN-MONOMER,1.6045073624072808e-05,Clim0
DIAMINOPIMDECARB-MONOMER,4.0421459094935e-05,Clim0
DIAMINOPIMEPIM-MONOMER,3.250549524291621e-05,Clim0
DIENOYLCOAREDUCT-MONOMER,3.898904154347763e-05,Clim0
DIHYDRODIPICSYN-MONOMER,3.523163467316994e-05,Clim0
DIHYDROFOLATEREDUCT-MONOMER,1.665098444700551e-05,Clim0
DIHYDROOROT-MONOMER,3.412836930378854e-05,Clim0
DIHYDROOROTOX-MONOMER,1.6045073624072808e-05,Clim0
DIHYDROPICRED-MONOMER,1.6069624439188235e-05,Clim0
DIHYDROPTERIREDUCT-MONOMER,5.693668314111592e-05,Clim0
DIHYDROXYACIDDEHYDRAT-MONOMER,3.628282980317972e-05,Clim0
DIOHBUTANONEPSYN-MONOMER,0.0001604507362407,Clim0
DISULFOXRED-MONOMER,3.620323725895462e-05,Clim0
DLACTDEHYDROGFAD-MONOMER,4.498618773104525e-05,Clim0
DLACTDEHYDROGNAD-MONOMER,3.225140426949308e-05,Clim0
DMBPPRIBOSYLTRANS-MONOMER,4.158550399327725e-05,Clim0
DPPA-MONOMER,1.6045073624072808e-05,Clim0
DPPB-MONOMER,1.6045073624072808e-05,Clim0
DPPD-MONOMER,1.607633316077431e-05,Clim0
DPPF-MONOMER,1.6593583753709307e-05,Clim0
DSBC-MONOMER,3.3788982185821656e-05,Clim0
DSBD-MONOMER,1.6045073624072808e-05,Clim0
DSBG-MONOMER,1.709195592444507e-05,Clim0
DSERDEAM-MONOMER,1.9247672458068014e-05,Clim0
DTDPGLUCDEHYDRAT2-MONOMER,1.64564857682798e-05,Clim0
DTDPGLUCOSEPP2-MONOMER,1.801692609066192e-05,Clim0
DTMPKI-MONOMER,3.766694818823744e-05,Clim0
DUTP-PYROP-MONOMER,1.6045073624072808e-05,Clim0
DXPREDISOM-MONOMER,3.615791239227675e-05,Clim0
DXS-MONOMER,1.7952529929032513e-05,Clim0
E1O-MONOMER,3.750796431601436e-05,Clim0
E1P-MONOMER,1.6045073624072808e-05,Clim0
E2O-MONOMER,3.3769228323099734e-05,Clim0
E2P-MONOMER,3.3321179721178025e-05,Clim0
E3-MONOMER,1.6045073624072808e-05,Clim0
EG10011-MONOMER,5.400866297023105e-05,Clim0
EG10015-MONOMER,3.385830307541742e-05,Clim0
EG10018-MONOMER,1.6045073624072808e-05,Clim0
EG10021-MONOMER,3.745931585386648e-05,Clim0
EG10040-MONOMER,3.230551736390498e-05,Clim0
EG10041-MONOMER,4.68279408566373e-05,Clim0
EG10042-MONOMER,1.6045073624072808e-05,Clim0
EG10043-MONOMER,3.381865635050475e-05,Clim0
EG10044-MONOMER,1.8445558054179185e-05,Clim0
EG10048-MONOMER,4.080696930177471e-05,Clim0
EG10087-MONOMER,3.92273446836415e-05,Clim0
EG10108-MONOMER,3.5910640377160154e-05,Clim0
EG10113-MONOMER,1.695897388334178e-05,Clim0
EG10122-MONOMER,1.6045073624072808e-05,Clim0
EG10124-MONOMER,4.2162237260337306e-05,Clim0
EG10126-MONOMER,1.6045073624072808e-05,Clim0
EG10136-MONOMER,3.8051558001753695e-05,Clim0
EG10144-MONOMER,1.9347601757381374e-05,Clim0
EG10153-MONOMER,3.879265617640168e-05,Clim0
EG10154-MONOMER,1.697641882341282e-05,Clim0
EG10155-MONOMER,1.6045073624072808e-05,Clim0
EG10156-MONOMER,0.000240676104361,Clim0
EG10158-MONOMER,1.7196268248485297e-05,Clim0
EG10159-MONOMER,0.0001309801928495,Clim0
EG10167-MONOMER,3.6022616181267294e-05,Clim0
EG10168-MONOMER,1.6045073624072808e-05,Clim0
EG10201-MONOMER,1.6049531827358185e-05,Clim0
EG10202-MONOMER,1.6045073624072808e-05,Clim0
EG10203-MONOMER,1.6045073624072808e-05,Clim0
EG10204-MONOMER,3.408808795908062e-05,Clim0
EG10211-MONOMER,5.793607326646149e-05,Clim0
EG10212-MONOMER,3.394784898422692e-05,Clim0
EG10215-MONOMER,0.0001373656719302,Clim0
EG10216-MONOMER,3.830388928823747e-05,Clim0
EG10218-MONOMER,5.572818624858862e-05,Clim0
EG10226-MONOMER,3.668610037895339e-05,Clim0
EG10230-MONOMER,5.885100870775558e-05,Clim0
EG10236-MONOMER,3.468163617331859e-05,Clim0
EG10237-MONOMER,4.122931123958752e-05,Clim0
EG10238-MONOMER,3.994624138773313e-05,Clim0
EG10239-MONOMER,4.597076406419587e-05,Clim0
EG10240-MONOMER,3.87536162674687e-05,Clim0
EG10241-MONOMER,3.292235112377436e-05,Clim0
EG10242-MONOMER,3.2188501001204855e-05,Clim0
EG10243-MONOMER,0.0002274104923096,Clim0
EG10252-MONOMER,1.6045073624072808e-05,Clim0
EG10270-MONOMER,4.613599444621573e-05,Clim0
EG10272-MONOMER,0.0001435087330351,Clim0
EG10280-MONOMER,1.759167505608713e-05,Clim0
EG10284-MONOMER,5.530135475984883e-05,Clim0
EG10293-MONOMER,1.6045073624072808e-05,Clim0
EG10300-MONOMER,3.9307427728249136e-05,Clim0
EG10302-MONOMER,1.6045073624072808e-05,Clim0
EG10306-MONOMER,1.6045073624072808e-05,Clim0
EG10307-MONOMER,1.896954517131761e-05,Clim0
EG10321-MONOMER,0.0002686616978914,Clim0
EG10322-MONOMER,0.0001122687367282,Clim0
EG10329-MONOMER,1.6045073624072808e-05,Clim0
EG10335-MONOMER,3.982231302768845e-05,Clim0
EG10339-MONOMER,3.355345050633872e-05,Clim0
EG10341-MONOMER,0.0001100233619936,Clim0
EG10343-MONOMER,3.457783001895367e-05,Clim0
EG10346-MONOMER,3.299758071788752e-05,Clim0
EG10347-MONOMER,0.000154238357935,Clim0
EG10355-MONOMER,1.6045073624072808e-05,Clim0
EG10360-MONOMER,1.7805877018083268e-05,Clim0
EG10370-MONOMER,4.109730704138179e-05,Clim0
EG10374-MONOMER,1.6045073624072808e-05,Clim0
EG10375-MONOMER,0.0001360712957518,Clim0
EG10376-MONOMER,1.833140750449448e-05,Clim0
EG10381-MONOMER,3.51887085267512e-05,Clim0
EG10415-MONOMER,4.297787577876645e-05,Clim0
EG10416-MONOMER,3.548050678541899e-05,Clim0
EG10423-MONOMER,3.8291193269249e-05,Clim0
EG10424-MONOMER,3.274504821239349e-05,Clim0
EG10426-MONOMER,3.8076641428254525e-05,Clim0
EG10434-MONOMER,1.6045073624072808e-05,Clim0
EG10435-MONOMER,1.6468215266332746e-05,Clim0
EG10436-MONOMER,1.6045073624072808e-05,Clim0
EG10437-MONOMER,4.63953936117768e-05,Clim0
EG10438-MONOMER,1.6045073624072808e-05,Clim0
EG10443-MONOMER,3.409814937819487e-05,Clim0
EG10454-MONOMER,1.6353982176291653e-05,Clim0
EG10455-MONOMER,1.878142254809368e-05,Clim0
EG10456-MONOMER,5.313915827659807e-05,Clim0
EG10458-MONOMER,3.666281500898896e-05,Clim0
EG10459-MONOMER,4.09226107308977e-05,Clim0
EG10460-MONOMER,1.7691352234812285e-05,Clim0
EG10461-MONOMER,3.3446592383707074e-05,Clim0
EG10462-MONOMER,3.987729723621823e-05,Clim0
EG10463-MONOMER,3.272649577714567e-05,Clim0
EG10466-MONOMER,3.469205107907634e-05,Clim0
EG10467-MONOMER,3.775311440958308e-05,Clim0
EG10484-MONOMER,4.597076406419587e-05,Clim0
EG10486-MONOMER,4.8806307601742383e-05,Clim0
EG10487-MONOMER,2.105806235751444e-05,Clim0
EG10490-MONOMER,1.655790885671839e-05,Clim0
EG10504-MONOMER,3.6067602277029104e-05,Clim0
EG10506-MONOMER,3.466082511050831e-05,Clim0
EG10523-MONOMER,1.6045073624072808e-05,Clim0
EG10528-MONOMER,1.6045073624072808e-05,Clim0
EG10529-MONOMER,3.507119917830122e-05,Clim0
EG10530-MONOMER,1.6045073624072808e-05,Clim0
EG10534-MONOMER,3.389804286775945e-05,Clim0
EG10542-MONOMER,3.239611051411223e-05,Clim0
EG10544-MONOMER,3.910783009252682e-05,Clim0
EG10559-MONOMER,3.901537659349011e-05,Clim0
EG10564-MONOMER,3.659313591806278e-05,Clim0
EG10570-MONOMER,3.4891129596292426e-05,Clim0
EG10572-MONOMER,3.802650760148921e-05,Clim0
EG10595-MONOMER,3.519943025390744e-05,Clim0
EG10596-MONOMER,3.364138907784631e-05,Clim0
EG10597-MONOMER,3.4723333361383893e-05,Clim0
EG10598-MONOMER,4.190225973642518e-05,Clim0
EG10599-MONOMER,1.6045073624072808e-05,Clim0
EG10600-MONOMER,1.813856650860798e-05,Clim0
EG10603-MONOMER,3.5081849405807536e-05,Clim0
EG10606-MONOMER,1.630550883462586e-05,Clim0
EG10607-MONOMER,1.6045073624072808e-05,Clim0
EG10608-MONOMER,1.6045073624072808e-05,Clim0
EG10609-MONOMER,3.455714331239133e-05,Clim0
EG10611-MONOMER,3.686168796851443e-05,Clim0
EG10612-MONOMER,3.946857878145686e-05,Clim0
EG10613-MONOMER,3.419909120583902e-05,Clim0
EG10618-MONOMER,3.733824502046678e-05,Clim0
EG10624-MONOMER,3.730207623291063e-05,Clim0
EG10625-MONOMER,3.877963413673187e-05,Clim0
EG10626-MONOMER,3.816469444774503e-05,Clim0
EG10651-MONOMER,0.0001077654198631,Clim0
EG10657-MONOMER,3.5039287259121696e-05,Clim0
EG10658-MONOMER,3.234169375512996e-05,Clim0
EG10662-MONOMER,3.45261596214358e-05,Clim0
EG10665-MONOMER,1.825032070984585e-05,Clim0
EG10666-MONOMER,3.68970073757024e-05,Clim0
EG10667-MONOMER,3.415864284249681e-05,Clim0
EG10669-MONOMER,1.6045073624072808e-05,Clim0
EG10670-MONOMER,1.6574538033475497e-05,Clim0
EG10671-MONOMER,1.730704570686505e-05,Clim0
EG10673-MONOMER,1.6740259396221448e-05,Clim0
EG10680-MONOMER,1.6045073624072808e-05,Clim0
EG10684-MONOMER,3.436184714257115e-05,Clim0
EG10686-MONOMER,5.141278597833744e-05,Clim0
EG10687-MONOMER,4.029456926868651e-05,Clim0
EG10689-MONOMER,3.987729723621823e-05,Clim0
EG10690-MONOMER,4.409333209668863e-05,Clim0
EG10694-MONOMER,1.6449456086191686e-05,Clim0
EG10695-MONOMER,3.431081974853704e-05,Clim0
EG10696-MONOMER,3.468163617331859e-05,Clim0
EG10697-MONOMER,1.6045073624072808e-05,Clim0
EG10698-MONOMER,3.364138907784631e-05,Clim0
EG10735-MONOMER,3.824049324505932e-05,Clim0
EG10739-MONOMER,1.7066705583295054e-05,Clim0
EG10746-MONOMER,3.245071070037197e-05,Clim0
EG10747-MONOMER,3.925400275002522e-05,Clim0
EG10748-MONOMER,3.3769228323099734e-05,Clim0
EG10757-MONOMER,3.866282800981399e-05,Clim0
EG10758-MONOMER,1.9409363254926783e-05,Clim0
EG10760-MONOMER,3.400780985967743e-05,Clim0
EG10761-MONOMER,1.988716303896096e-05,Clim0
EG10762-MONOMER,3.858534739255986e-05,Clim0
EG10763-MONOMER,3.2931736058530275e-05,Clim0
EG10765-MONOMER,5.224990053972149e-05,Clim0
EG10776-MONOMER,3.767923355946648e-05,Clim0
EG10777-MONOMER,1.6045073624072808e-05,Clim0
EG10778-MONOMER,5.0557781222461366e-05,Clim0
EG10785-MONOMER,1.8290774238968367e-05,Clim0
EG10786-MONOMER,3.257882969354884e-05,Clim0
