gene_name	cistron_name	monomer_name	prob_monomer_expressed
EG10049	EG10049_RNA	APPA-MONOMER[p]	0.8641025641025641
EG11379	EG11379_RNA	APPB-MONOMER[i]	0.6692307692307692
EG11380	EG11380_RNA	APPC-MONOMER[i]	0.7025641025641025
EG13270	EG13270_RNA	AQPZ-MONOMER[i]	0.6897435897435897
EG10052	EG10052_RNA	ARABISOM-MONOMER[c]	0.3564102564102564
EG10056	EG10056_RNA	ARAE-MONOMER[i]	0.8769230769230769
EG10057	EG10057_RNA	ARAF-MONOMER[p]	0.9897435897435898
EG10058	EG10058_RNA	ARAG-MONOMER[c]	0.9538461538461539
EG10059	EG10059_RNA	ARAH-MONOMER[m]	0.9333333333333333
EG10060	EG10060_RNA	ARAJ-MONOMER[i]	0.9076923076923077
EG10061	EG10061_RNA	ARCA-MONOMER[c]	1.0
EG10062	EG10062_RNA	ARCB-MONOMER[i]	1.0
G6861	G6861_RNA	ARCD-MONOMER[m]	0.9717948717948718
EG10959	EG10959_RNA	ARGDECARBOXBIO-MONOMER[p]	1.0
EG11501	EG11501_RNA	ARGDECARBOXDEG-MONOMER[c]	0.09230769230769231
EG10071	EG10071_RNA	ARGS-MONOMER[c]	1.0
EG11223	EG11223_RNA	ARGSUCCINLYA-MONOMER[c]	1.0
EG10068	EG10068_RNA	ARGSUCCINSYN-MONOMER[c]	1.0
G6943	G6943_RNA	ARGSUCCTRAN-MONOMER[c]	0.9153846153846154
EG10072	EG10072_RNA	ARGT-MONOMER[p]	1.0
EG10073	EG10073_RNA	AROA-MONOMER[c]	1.0
EG10074	EG10074_RNA	AROB-MONOMER[c]	1.0
EG10075	EG10075_RNA	AROC-MONOMER[c]	1.0
EG10076	EG10076_RNA	AROD-MONOMER[c]	1.0
EG10077	EG10077_RNA	AROE-MONOMER[c]	1.0
EG10078	EG10078_RNA	AROF-MONOMER[c]	1.0
EG10079	EG10079_RNA	AROG-MONOMER[c]	1.0
EG10080	EG10080_RNA	AROH-MONOMER[c]	1.0
EG10081	EG10081_RNA	AROK-MONOMER[c]	1.0
EG10082	EG10082_RNA	AROL-MONOMER[c]	0.9974358974358974
EG10084	EG10084_RNA	AROP-MONOMER[i]	1.0
EG12236	EG12236_RNA	ARSF-MONOMER[i]	0.5230769230769231
EG11625	EG11625_RNA	ARTI-MONOMER[p]	1.0
EG11628	EG11628_RNA	ARTJ-MONOMER[p]	1.0
EG11627	EG11627_RNA	ARTM-MONOMER[i]	1.0
EG11624	EG11624_RNA	ARTP-MONOMER[i]	1.0
EG11626	EG11626_RNA	ARTQ-MONOMER[i]	1.0
EG10089	EG10089_RNA	ARYLSULFAT-MONOMER[p]	0.6153846153846154
EG10086	EG10086_RNA	ASCF-MONOMER[i]	0.7794871794871795
EG11314	EG11314_RNA	ASL-MONOMER[c]	1.0
EG10094	EG10094_RNA	ASNS-MONOMER[c]	1.0
EG10091	EG10091_RNA	ASNSYNA-MONOMER[c]	1.0
EG10092	EG10092_RNA	ASNSYNB-MONOMER[c]	1.0
EG10088	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	1.0
EG10096	EG10096_RNA	ASPAMINOTRANS-MONOMER[c]	1.0
EG10095	EG10095_RNA	ASPARTASE-MONOMER[c]	1.0
EG10805	EG10805_RNA	ASPCARBCAT-MONOMER[c]	1.0
EG10811	EG10811_RNA	ASPCARBREG-MONOMER[c]	1.0
EG11747	EG11747_RNA	ASPDECARBOX-MONOMER[c]	1.0
EG10998	EG10998_RNA	ASPKINIHOMOSERDEHYDROGI-MONOMER[c]	1.0
EG10590	EG10590_RNA	ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]	1.0
EG10550	EG10550_RNA	ASPKINIII-MONOMER[c]	1.0
EG10097	EG10097_RNA	ASPS-MONOMER[c]	1.0
EG11670	EG11670_RNA	ATOA-MONOMER[c]	0.9846153846153847
EG11668	EG11668_RNA	ATOC-MONOMER[c]	0.841025641025641
EG11669	EG11669_RNA	ATOD-MONOMER[c]	0.9846153846153847
EG11667	EG11667_RNA	ATOS-MONOMER[i]	0.7974358974358975
EG10098	EG10098_RNA	ATPA-MONOMER[m]	1.0
EG10099	EG10099_RNA	ATPB-MONOMER[i]	1.0
EG10100	EG10100_RNA	ATPC-MONOMER[i]	1.0
EG10101	EG10101_RNA	ATPD-MONOMER[m]	1.0
EG10102	EG10102_RNA	ATPE-MONOMER[i]	1.0
EG10103	EG10103_RNA	ATPF-MONOMER[i]	1.0
EG10104	EG10104_RNA	ATPG-MONOMER[m]	1.0
EG10105	EG10105_RNA	ATPH-MONOMER[m]	1.0
EG10449	EG10449_RNA	ATPPHOSRIBOSTRANS-MONOMER[c]	1.0
EG11754	EG11754_RNA	B0070-MONOMER[m]	0.7948717948717948
G6135	G6135_RNA	B0260-MONOMER[i]	0.9948717948717949
G6142	G6142_RNA	B0270-MONOMER[i]	0.5897435897435898
G6241	G6241_RNA	B0427-MONOMER[i]	1.0
G6262	G6262_RNA	B0486-MONOMER[i]	0.6256410256410256
G6280	G6280_RNA	B0511-MONOMER[i]	0.10512820512820513
G6338	G6338_RNA	B0612-MONOMER[m]	0.3974358974358974
G6378	G6378_RNA	B0709-MONOMER[i]	0.6230769230769231
G6393	G6393_RNA	B0752-MONOMER[i]	0.8512820512820513
G6400	G6400_RNA	B0770-MONOMER[i]	0.1282051282051282
G7400	G7400_RNA	B0899-MONOMER[c]	1.0
G6517	G6517_RNA	B1006-MONOMER[i]	0.4
G6559	G6559_RNA	B1065-MONOMER[i]	0.7051282051282052
G6643	G6643_RNA	B1296-MONOMER[i]	1.0
G6744	G6744_RNA	B1433-MONOMER[i]	0.8435897435897436
G6817	G6817_RNA	B1543-MONOMER[i]	0.41794871794871796
G6854	G6854_RNA	B1596-MONOMER[i]	1.0
G6857	G6857_RNA	B1599-MONOMER[i]	0.2717948717948718
G6858	G6858_RNA	B1600-MONOMER[i]	0.27692307692307694
G6877	G6877_RNA	B1634-MONOMER[i]	0.9641025641025641
G6893	G6893_RNA	B1657-MONOMER[i]	0.9564102564102565
G6916	G6916_RNA	B1690-MONOMER[i]	0.14102564102564102
G6917	G6917_RNA	B1691-MONOMER[i]	0.2564102564102564
G6962	G6962_RNA	B1775-MONOMER[i]	0.3564102564102564
G6977	G6977_RNA	B1791-MONOMER[i]	0.6948717948717948
G7004	G7004_RNA	B1828-MONOMER[i]	0.6512820512820513
G7114	G7114_RNA	B2075-MONOMER[i]	0.6102564102564103
G7115	G7115_RNA	B2076-MONOMER[i]	0.617948717948718
EG12136	EG12136_RNA	B2077-MONOMER[i]	0.6435897435897436
G7130	G7130_RNA	B2098-MONOMER[i]	0.8615384615384616
EG12034	EG12034_RNA	B2170-MONOMER[m]	0.2743589743589744
G7159	G7159_RNA	B2246-MONOMER[i]	0.7538461538461538
G7198	G7198_RNA	B2322-MONOMER[i]	0.9384615384615385
G7235	G7235_RNA	B2372-MONOMER[i]	0.1794871794871795
G7421	G7421_RNA	B2740-MONOMER[i]	0.7051282051282052
G7437	G7437_RNA	B2771-MONOMER[i]	0.05641025641025641
EG13174	EG13174_RNA	B2775-MONOMER[i]	0.5333333333333333
G7447	G7447_RNA	B2789-MONOMER[i]	0.5871794871794872
G7465	G7465_RNA	B2845-MONOMER[i]	0.9076923076923077
G7542	G7542_RNA	B2975-MONOMER[i]	0.9871794871794872
EG11687	EG11687_RNA	B3659-MONOMER[i]	0.21794871794871795
G7833	G7833_RNA	B4141-MONOMER[i]	0.5538461538461539
EG10110	EG10110_RNA	BADH-MONOMER[c]	1.0
EG11618	EG11618_RNA	BAER-MONOMER[c]	1.0
EG11617	EG11617_RNA	BAES-MONOMER[i]	0.9923076923076923
EG11367	EG11367_RNA	BARA-MONOMER[i]	0.9794871794871794
EG11615	EG11615_RNA	BASR-MONOMER[c]	1.0
EG11614	EG11614_RNA	BASS-MONOMER[i]	1.0
EG10275	EG10275_RNA	BCCP-MONOMER[c]	1.0
EG11419	EG11419_RNA	BCR-MONOMER[i]	1.0
EG11055	EG11055_RNA	BETA-GLUCURONID-MONOMER[c]	0.14871794871794872
EG10190	EG10190_RNA	BETACOMP-MONOMER[c]	1.0
EG10527	EG10527_RNA	BETAGALACTOSID-MONOMER[c]	0.13333333333333333
EG10112	EG10112_RNA	BETT-MONOMER[i]	1.0
EG10115	EG10115_RNA	BGLF-MONOMER[i]	0.20256410256410257
EG10276	EG10276_RNA	BIOTIN-CARBOXYL-MONOMER[c]	1.0
EG10118	EG10118_RNA	BIOTIN-SYN-MONOMER[c]	1.0
EG10123	EG10123_RNA	BIOTINLIG-MONOMER[c]	1.0
EG10497	EG10497_RNA	BRANCHED-CHAINAMINOTRANSFER-MONOMER[c]	1.0
EG12168	EG12168_RNA	BRNQ-MONOMER[i]	1.0
EG10127	EG10127_RNA	BTUC-MONOMER[m]	0.9641025641025641
EG10128	EG10128_RNA	BTUD-MONOMER[m]	1.0
EG10129	EG10129_RNA	BTUE-MONOMER[p]	1.0
EG10132	EG10132_RNA	CADB-MONOMER[i]	0.08205128205128205
EG11558	EG11558_RNA	CAIC-MONOMER[c]	0.36666666666666664
EG12608	EG12608_RNA	CAIE-MONOMER[c]	0.38974358974358975
EG11561	EG11561_RNA	CAIT-MONOMER[i]	0.35128205128205126
EG10176	EG10176_RNA	CARBODEHYDRAT-MONOMER[c]	0.7615384615384615
EG11647	EG11647_RNA	CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]	1.0
EG10217	EG10217_RNA	CARBOXYL-TRANSFERASE-BETA-MONOMER[c]	1.0
EG10135	EG10135_RNA	CARBPSYN-LARGE[c]	1.0
EG10134	EG10134_RNA	CARBPSYN-SMALL[c]	1.0
EG11608	EG11608_RNA	CARDIOLIPSYN-MONOMER[m]	1.0
EG11559	EG11559_RNA	CARNDEHYDRA-MONOMER[c]	0.3641025641025641
EG11557	EG11557_RNA	CARNRACE-MONOMER[c]	0.3923076923076923
EG12059	EG12059_RNA	CCMA-MONOMER[i]	0.8512820512820513
EG12058	EG12058_RNA	CCMB-MONOMER[i]	0.9
EG12057	EG12057_RNA	CCMC-MONOMER[i]	0.8717948717948718
EG12055	EG12055_RNA	CCME-MONOMER[i]	0.8435897435897436
EG10138	EG10138_RNA	CDPDIGLYPYPHOSPHA-MONOMER[i]	1.0
EG10139	EG10139_RNA	CDPDIGLYSYN-MONOMER[i]	1.0
EG10140	EG10140_RNA	CELA-MONOMER[c]	0.9384615384615385
EG10141	EG10141_RNA	CELB-MONOMER[i]	0.9307692307692308
EG10142	EG10142_RNA	CELC-MONOMER[c]	0.9205128205128205
EG11531	EG11531_RNA	CFA-MONOMER[c]	1.0
EG11753	EG11753_RNA	CHAA-MONOMER[i]	1.0
EG10067	EG10067_RNA	CHAINF-MONOMER[c]	1.0
EG10069	EG10069_RNA	CHAINI-MONOMER[c]	1.0
EG10109	EG10109_RNA	CHD-MONOMER[m]	1.0
EG10147	EG10147_RNA	CHEB-MONOMER[c]	1.0
EG10148	EG10148_RNA	CHER-MONOMER[c]	1.0
EG10149	EG10149_RNA	CHEW-MONOMER[c]	1.0
EG10150	EG10150_RNA	CHEY-MONOMER[c]	1.0
EG10151	EG10151_RNA	CHEZ-MONOMER[c]	1.0
EG10707	EG10707_RNA	CHORISMUTPREPHENDEHYDRAT-MONOMER[c]	1.0
EG11039	EG11039_RNA	CHORISMUTPREPHENDEHYDROG-MONOMER[c]	1.0
EG11369	EG11369_RNA	CHORPYRLY-MONOMER[c]	0.9256410256410257
G6344	G6344_RNA	CITC-MONOMER[c]	0.16923076923076924
G6342	G6342_RNA	CITRYLY-MONOMER[c]	0.1282051282051282
EG10402	EG10402_RNA	CITSYN-MONOMER[c]	1.0
G6341	G6341_RNA	CITTRANS-MONOMER[c]	0.12051282051282051
EG11265	EG11265_RNA	CMPKI-MONOMER[c]	1.0
G6440	G6440_RNA	CMR-MONOMER[i]	1.0
EG11792	EG11792_RNA	CMTA-MONOMER[i]	0.19230769230769232
EG11791	EG11791_RNA	CMTB-MONOMER[c]	0.19487179487179487
EG10130	EG10130_RNA	COBALADENOSYLTRANS-MONOMER[c]	1.0
EG12150	EG12150_RNA	COBS-MONOMER[i]	1.0
EG13238	EG13238_RNA	COBU-MONOMER[c]	0.9794871794871794
EG11327	EG11327_RNA	CODB-MONOMER[i]	1.0
EG12189	EG12189_RNA	COPROGENOXI-MONOMER[c]	0.8358974358974359
EG11463	EG11463_RNA	CORA-MONOMER[i]	1.0
EG10160	EG10160_RNA	CPDB-MONOMER[p]	1.0
EG10519	EG10519_RNA	CPM-KDOSYNTH-MONOMER[c]	1.0
EG10163	EG10163_RNA	CPXA-MONOMER[i]	1.0
EG10020	EG10020_RNA	CPXR-MONOMER[c]	1.0
EG11218	EG11218_RNA	CREB-MONOMER[c]	1.0
EG10730	EG10730_RNA	CREC-MONOMER[i]	0.9974358974358974
EG11560	EG11560_RNA	CROBETREDUCT-MONOMER[c]	0.36153846153846153
EG10165	EG10165_RNA	CRR-MONOMER[c]	1.0
EG10810	EG10810_RNA	CTPSYN-MONOMER[c]	1.0
EG10175	EG10175_RNA	CYANLY-MONOMER[c]	0.6615384615384615
EG12504	EG12504_RNA	CYCA-MONOMER[i]	1.0
EG10448	EG10448_RNA	CYCLASE-MONOMER[c]	1.0
EG10173	EG10173_RNA	CYDA-MONOMER[m]	0.7615384615384615
EG10174	EG10174_RNA	CYDB-MONOMER[m]	0.658974358974359
EG10012	EG10012_RNA	CYDC-MONOMER[i]	1.0
EG11405	EG11405_RNA	CYDD-MONOMER[i]	1.0
EG10177	EG10177_RNA	CYNX-MONOMER[i]	0.34615384615384615
EG10178	EG10178_RNA	CYOA-MONOMER[i]	1.0
EG10179	EG10179_RNA	CYOB-MONOMER[i]	1.0
EG10180	EG10180_RNA	CYOC-MONOMER[i]	1.0
EG10181	EG10181_RNA	CYOD-MONOMER[i]	1.0
EG10183	EG10183_RNA	CYSA-MONOMER[i]	1.0
EG10186	EG10186_RNA	CYSD-MONOMER[c]	1.0
EG10194	EG10194_RNA	CYSN-MONOMER[c]	1.0
EG10195	EG10195_RNA	CYSP-MONOMER[p]	1.0
EG10196	EG10196_RNA	CYSS-MONOMER[c]	1.0
EG10197	EG10197_RNA	CYST-MONOMER[i]	1.0
EG10583	EG10583_RNA	CYSTATHIONINE-BETA-LYASE-MONOMER[c]	1.0
EG10198	EG10198_RNA	CYSW-MONOMER[i]	1.0
EG11326	EG11326_RNA	CYTDEAM-MONOMER[c]	1.0
EG10137	EG10137_RNA	CYTIDEAM-MONOMER[c]	0.29743589743589743
EG10172	EG10172_RNA	CYTOCHROME-B561-MONOMER[i]	1.0
EG11945	EG11945_RNA	CYTOCHROMEC-MONOMER[p]	0.4153846153846154
EG11781	EG11781_RNA	CYTOCHROMEC552-MONOMER[p]	0.41794871794871796
EG10213	EG10213_RNA	DALADALALIGA-MONOMER[c]	1.0
EG10214	EG10214_RNA	DALADALALIGB-MONOMER[c]	1.0
EG11407	EG11407_RNA	DALADEHYDROGA-MONOMER[i]	1.0
EG10117	EG10117_RNA	DAPASYN-MONOMER[c]	1.0
EG20044	EG20044_RNA	DCTA-MONOMER[m]	1.0
EG11418	EG11418_RNA	DCTP-DEAM-MONOMER[c]	1.0
EG11225	EG11225_RNA	DCUA-MONOMER[i]	1.0
EG10006	EG10006_RNA	DCUB-MONOMER[i]	0.2512820512820513
G6347	G6347_RNA	DCUC-MONOMER[i]	0.33589743589743587
G7826	G7826_RNA	DCUR-MONOMER[c]	1.0
G7827	G7827_RNA	DCUS-MONOMER[c]	0.9948717948717949
G7038	G7038_RNA	DCYSDESULF-MONOMER[c]	1.0
EG20051	EG20051_RNA	DEHYDDEOXGALACTKIN-MONOMER[c]	0.9487179487179487
EG20049	EG20049_RNA	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c]	0.9384615384615385
EG10219	EG10219_RNA	DEOA-MONOMER[c]	0.5333333333333333
EG10222	EG10222_RNA	DEOD-MONOMER[c]	0.982051282051282
EG12253	EG12253_RNA	DEOXYGLUCONOKIN-MONOMER[c]	1.0
EG10221	EG10221_RNA	DEOXYRIBOSE-P-ALD-MONOMER[c]	0.5666666666666667
EG10120	EG10120_RNA	DETHIOBIOTIN-SYN-MONOMER[c]	1.0
EG10225	EG10225_RNA	DGTPTRIPHYDRO-MONOMER[c]	0.9923076923076923
EG11143	EG11143_RNA	DHHB-METHYLTRANSFER-MONOMER[c]	1.0
M011	M011_RNA	DHPDIOXYGEN-MONOMER[i]	0.5256410256410257
EG10224	EG10224_RNA	DIACYLGLYKIN-MONOMER[i]	1.0
EG10549	EG10549_RNA	DIAMINOPIMDECARB-MONOMER[c]	1.0
EG10209	EG10209_RNA	DIAMINOPIMEPIM-MONOMER[c]	1.0
G36	G36_RNA	DIENOYLCOAREDUCT-MONOMER[c]	0.735897435897436
EG10205	EG10205_RNA	DIHYDRODIPICSYN-MONOMER[c]	1.0
EG10326	EG10326_RNA	DIHYDROFOLATEREDUCT-MONOMER[c]	1.0
EG10806	EG10806_RNA	DIHYDROOROT-MONOMER[c]	1.0
EG10807	EG10807_RNA	DIHYDROOROTOX-MONOMER[c]	1.0
EG10206	EG10206_RNA	DIHYDROPICRED-MONOMER[c]	1.0
EG50005	EG50005_RNA	DIHYDROPTERIREDUCT-MONOMER[c]	1.0
EG10496	EG10496_RNA	DIHYDROXYACIDDEHYDRAT-MONOMER[c]	1.0
EG11491	EG11491_RNA	DINF-MONOMER[i]	1.0
EG10465	EG10465_RNA	DIOHBUTANONEPSYN-MONOMER[c]	1.0
EG11297	EG11297_RNA	DISULFOXRED-MONOMER[p]	1.0
EG10231	EG10231_RNA	DLACTDEHYDROGFAD-MONOMER[i]	1.0
G592	G592_RNA	DLACTDEHYDROGNAD-MONOMER[c]	0.541025641025641
EG12151	EG12151_RNA	DMBPPRIBOSYLTRANS-MONOMER[c]	0.9717948717948718
EG11880	EG11880_RNA	DMK-MONOMER[i]	0.4512820512820513
EG10232	EG10232_RNA	DMSA-MONOMER[i]	0.5871794871794872
EG10233	EG10233_RNA	DMSB-MONOMER[i]	0.5641025641025641
EG10234	EG10234_RNA	DMSC-MONOMER[i]	0.6358974358974359
EG10248	EG10248_RNA	DPPA-MONOMER[p]	1.0
EG12625	EG12625_RNA	DPPB-MONOMER[i]	1.0
EG12626	EG12626_RNA	DPPC-MONOMER[i]	1.0
EG12627	EG12627_RNA	DPPD-MONOMER[i]	1.0
EG12628	EG12628_RNA	DPPF-MONOMER[i]	1.0
EG11393	EG11393_RNA	DSBBPROT-MONOMER[i]	1.0
EG11070	EG11070_RNA	DSBC-MONOMER[p]	1.0
EG12178	EG12178_RNA	DSBD-MONOMER[m]	1.0
G6333	G6333_RNA	DSBG-MONOMER[p]	1.0
EG10250	EG10250_RNA	DSDX-MONOMER[i]	0.7512820512820513
EG10249	EG10249_RNA	DSERDEAM-MONOMER[c]	1.0
EG11979	EG11979_RNA	DTDPDEHYDRHAMEPIM-MONOMER[c]	1.0
EG12411	EG12411_RNA	DTDPDEHYRHAMREDUCT-MONOMER[c]	1.0
EG12412	EG12412_RNA	DTDPGLUCDEHYDRAT-MONOMER[c]	1.0
EG11453	EG11453_RNA	DTDPGLUCDEHYDRAT2-MONOMER[c]	0.9948717948717949
EG11978	EG11978_RNA	DTDPGLUCOSEPP-MONOMER[c]	1.0
EG11454	EG11454_RNA	DTDPGLUCOSEPP2-MONOMER[c]	0.9923076923076923
EG12302	EG12302_RNA	DTMPKI-MONOMER[c]	1.0
EG10251	EG10251_RNA	DUTP-PYROP-MONOMER[c]	1.0
EG12715	EG12715_RNA	DXPREDISOM-MONOMER[i]	1.0
G6237	G6237_RNA	DXS-MONOMER[c]	1.0
EG10979	EG10979_RNA	E1O-MONOMER[c]	1.0
EG10024	EG10024_RNA	E1P-MONOMER[c]	1.0
EG10980	EG10980_RNA	E2O-MONOMER[c]	1.0
EG10025	EG10025_RNA	E2P-MONOMER[c]	1.0
EG10543	EG10543_RNA	E3-MONOMER[c]	1.0
EG10003	EG10003_RNA	EG10003-MONOMER[i]	1.0
EG10004	EG10004_RNA	EG10004-MONOMER[c]	1.0
EG10011	EG10011_RNA	EG10011-MONOMER[c]	1.0
EG10013	EG10013_RNA	EG10013-MONOMER[i]	1.0
EG10015	EG10015_RNA	EG10015-MONOMER[i]	1.0
EG10018	EG10018_RNA	EG10018-MONOMER[i]	0.9743589743589743
EG10021	EG10021_RNA	EG10021-MONOMER[c]	1.0
EG10037	EG10037_RNA	EG10037-MONOMER[c]	0.9461538461538461
EG10040	EG10040_RNA	EG10040-MONOMER[p]	0.9871794871794872
EG10041	EG10041_RNA	EG10041-MONOMER[c]	1.0
EG10042	EG10042_RNA	EG10042-MONOMER[i]	1.0
EG10043	EG10043_RNA	EG10043-MONOMER[c]	1.0
EG10044	EG10044_RNA	EG10044-MONOMER[m]	1.0
