Filtered Monomer ID,Log10 Average Protein Count
BIOTINLIG-MONOMER[c],2.0677889156133253
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c],3.042986032744835
BRNQ-MONOMER[i],2.163813673421477
BTUC-MONOMER[m],1.2700186177702124
BTUD-MONOMER[m],1.9415223159203414
BTUE-MONOMER[p],2.3157042789386284
CADB-MONOMER[i],0.029963223377443202
CAIC-MONOMER[c],0.8880085098947269
CAIE-MONOMER[c],0.809129055009221
CAIT-MONOMER[i],0.974642715198552
CARBODEHYDRAT-MONOMER[c],1.3693675414545738
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c],3.142529005959174
CARBOXYL-TRANSFERASE-BETA-MONOMER[c],3.304792498521511
CARBPSYN-LARGE[c],3.3228161495091655
CARBPSYN-SMALL[c],3.253942604405374
CARDIOLIPSYN-MONOMER[m],2.1578690911788816
CARNDEHYDRA-MONOMER[c],0.9358501128173559
CARNRACE-MONOMER[c],0.8944667906009492
CCMA-MONOMER[i],1.7533089822747492
CCMB-MONOMER[i],1.7703376681320062
CCMC-MONOMER[i],1.50946629419245
CCME-MONOMER[i],1.5295614240181294
CDPDIGLYPYPHOSPHA-MONOMER[i],1.947691787227239
CDPDIGLYSYN-MONOMER[i],2.0245838350481127
CELA-MONOMER[c],1.7925746513372738
CELB-MONOMER[i],1.780901630250109
CELC-MONOMER[c],1.7619748683826062
CFA-MONOMER[c],2.98490539567436
CHAA-MONOMER[i],2.172182470100293
CHAINF-MONOMER[c],2.9227778943378193
CHAINI-MONOMER[c],2.6365497078609152
CHD-MONOMER[m],2.023805710677113
CHEB-MONOMER[c],3.182288887994404
CHER-MONOMER[c],3.26213981640734
CHEW-MONOMER[c],3.6009833794810824
CHEY-MONOMER[c],3.191074518677309
CHEZ-MONOMER[c],3.268314679830074
CHORISMUTPREPHENDEHYDRAT-MONOMER[c],3.3817616421083248
CHORISMUTPREPHENDEHYDROG-MONOMER[c],2.5408099302764704
CHORPYRLY-MONOMER[c],1.2553012350450172
CITC-MONOMER[c],0.7902555586863731
CITRYLY-MONOMER[c],0.8755824384319062
CITSYN-MONOMER[c],3.9925713015340305
CITTRANS-MONOMER[c],0.8542351592735608
CMPKI-MONOMER[c],2.032619327906517
CMR-MONOMER[i],1.3386808731384698
CMTA-MONOMER[i],0.8760405986663943
CMTB-MONOMER[c],0.8840958133429346
COBALADENOSYLTRANS-MONOMER[c],2.1488577217236213
COBS-MONOMER[i],1.9364042854331416
COBU-MONOMER[c],1.5352668512806307
CODB-MONOMER[i],2.775377291748233
COPROGENOXI-MONOMER[c],1.0894491835830797
CORA-MONOMER[i],1.8790510783684153
CPDB-MONOMER[p],2.447546932939742
CPM-KDOSYNTH-MONOMER[c],2.8262345411399465
CPXA-MONOMER[i],2.140047469322114
CPXR-MONOMER[c],2.7834202871779636
CREB-MONOMER[c],1.5902255351208037
CREC-MONOMER[i],1.547513139620775
CROBETREDUCT-MONOMER[c],0.6110822539732461
CRR-MONOMER[c],4.0861339816371345
CTPSYN-MONOMER[c],3.2209845608141396
CYANLY-MONOMER[c],1.2768336548848251
CYCA-MONOMER[i],2.460105488327989
CYCLASE-MONOMER[c],2.623245856882665
CYDA-MONOMER[m],0.8865254538836027
CYDB-MONOMER[m],0.8683846314803658
CYDC-MONOMER[i],2.016596352203588
CYDD-MONOMER[i],2.113484174499854
CYNX-MONOMER[i],0.9353979509927866
CYOA-MONOMER[i],3.277533467064595
CYOB-MONOMER[i],3.225241176957769
CYOC-MONOMER[i],3.2287342546059277
CYOD-MONOMER[i],3.241285383021553
CYSA-MONOMER[i],2.822757972708066
CYSD-MONOMER[c],3.0335396712515723
CYSN-MONOMER[c],2.9831643025733623
CYSP-MONOMER[p],2.893418956382678
CYSS-MONOMER[c],2.853847646115707
CYST-MONOMER[i],2.8705215757615536
CYSTATHIONINE-BETA-LYASE-MONOMER[c],2.870522491426923
CYSW-MONOMER[i],2.842529749734222
CYTDEAM-MONOMER[c],3.0522175285562527
CYTIDEAM-MONOMER[c],0.2852357284807493
CYTOCHROME-B561-MONOMER[i],2.967595923196954
CYTOCHROMEC-MONOMER[p],0.7930313500031423
CYTOCHROMEC552-MONOMER[p],0.8552741712464558
DALADALALIGA-MONOMER[c],2.478897297381491
DALADALALIGB-MONOMER[c],2.253677795899033
DALADEHYDROGA-MONOMER[i],2.2735011155400704
DAPASYN-MONOMER[c],2.6732013939906634
DCTA-MONOMER[m],1.844746464057395
