reactionID,kcat (1/s),Exclude
BRANCHED-CHAINAMINOTRANSFERILEU-RXN,[48],
BRANCHED-CHAINAMINOTRANSFERLEU-RXN,[78],
TYROSINE--TRNA-LIGASE-RXN,[0.74],
FUCPALDOL-RXN,[19.3],
RXN0-5408,[6.5],
RXN-8999,[2.5],
2.3.1.157-RXN,[1350],
NAG1P-URIDYLTRANS-RXN,[330],
KDPGALDOL-RXN,[283.8],
4-NITROPHENYLPHOSPHATASE-RXN,[80.5],
ASPARAGHYD-RXN,[24],
LEUCINE--TRNA-LIGASE-RXN,[5.2],
LEUCINE--TRNA-LIGASE-RXN,[5],
LEUCINE--TRNA-LIGASE-RXN,[5.1],
RXN0-301,[77],
UDPACYLGLCNACDEACETYL-RXN,[1.5],
RXN0-300,[72.5],
1.1.1.215-RXN,[40.7],
GLYOXYLATE-REDUCTASE-NADP+-RXN,[203],
RXN0-300,[11.8],
GLYOXYLATE-REDUCTASE-NADP+-RXN,[70.6],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[78],
RIBOFLAVIN-SYN-RXN,[0.00833],
6PFRUCTPHOS-RXN,[88],
RXN0-6274,[0.19],
RXN-13990,[0.0121],
DTDPGLUCDEHYDRAT-RXN,[4.9],
2.7.7.60-RXN,[16.8],
DXS-RXN,[0.8],
DXS-RXN,[21.7],
PROLINE--TRNA-LIGASE-RXN,[70],
DTDPGLUCDEHYDRAT-RXN,[4.9],
NAD-KIN-RXN,"[125,55]",
GLUCARDEHYDRA-RXN,[35],
RXN0-5285,[35],
RXN-6622,[110.5],
RXN-6622,[178.33333],
DCYSDESULF-RXN,[281],
DCYSDESULF-RXN,[72],
GTP-CYCLOHYDRO-II-RXN,[0.064],
RXN-8999,[2.5],
DTDPGLUCDEHYDRAT-RXN,[4.9],
1.8.4.13-RXN,[3.7],
1.8.4.13-RXN,[0.333],
2.8.1.6-RXN,[13.89],
RXN0-1321,[0.00121],
RXN0-7192,"[0.3,0.17]",
R131-RXN,[0.44],
2-DEHYDROPANTOATE-REDUCT-RXN,[40],
RIBULPEPIM-RXN,[19.4],
DAHPSYN-RXN,[71],
ARGININE--TRNA-LIGASE-RXN,[17],
2.6.1.7-RXN,[5.27],
PHEAMINOTRANS-RXN,[13.73],
RXN0-705,[64],
LYXK-RXN,[120],
RXN0-704,[48],
RXN0-703,[110],
LXULRU5P-RXN,[2.9],
RXN0-705,[51],
RIBULPEPIM-RXN,[12],
RIBULPEPIM-RXN,[25],
RXN-8999,[2.5],
RXN0-5116,[80],
RXN0-5228,[10],
RXN0-5228,[17],
RXN0-5228,[1.9],
RXN0-5228,[3.3],
F16ALDOLASE-RXN,[10.5],
RXN-11601,[0.06],
ADENYLOSUCCINATE-SYNTHASE-RXN,[1.0],
PNPOXI-RXN,[0.13],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[1.7],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[3.4],
R601-RXN,[177],
R601-RXN,[28],
R601-RXN,[14],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[85],
MALONYL-COA-ACP-TRANSACYL-RXN,[1580],
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,[8.9],
F16BDEPHOS-RXN,[14.6],
CHORPYRLY-RXN,[1.7],
ASPARTATEKIN-RXN,[0.39],
HOMOSERDEHYDROG-RXN,[0.24],
KDO-8PSYNTH-RXN,[5.31],
RXN0-1941,[2.6],
ASPAMINOTRANS-RXN,[259],
AMINEPHEN-RXN,[14.32],
FUMHYDR-RXN,[595.2],
FUMHYDR-RXN,[1149],
ACYLCOASYN-RXN,[0.029],
TYROSINE--TRNA-LIGASE-RXN,[12],
PROLINE--TRNA-LIGASE-RXN,[14],
CYSTEINE--TRNA-LIGASE-RXN,[0.022],
S-ADENMETSYN-RXN,[1.5],
S-ADENMETSYN-RXN,[1.2],
RXN-11845,[0.001],
RXN0-5462,[0.002616667],
FLAVONADPREDUCT-RXN,[0.15],
FLAVONADPREDUCT-RXN,[0.0042],
FLAVONADPREDUCT-RXN,[0.0039],
PRIBFAICARPISOM-RXN,[14.3],
GLUTRNAREDUCT-RXN,"[0.13,0.15]",
DAPASYN-RXN,[0.013],
CTPSYN-RXN,[6.1],
RXN-14325,[9.4],
GLUTAMIN-RXN,[4.98],
RXN-16165,[2.8],
GALACTURIDYLYLTRANS-RXN,[780],
RXN0-1001,[12],
GLUCOSE-1-PHOSPHAT-RXN,[117],
DEOXYRIBOSE-P-ALD-RXN,[68],
2.8.1.6-RXN,[0.0000389],
VALINE--TRNA-LIGASE-RXN,[1.7],
TRYPTOPHAN--TRNA-LIGASE-RXN,"[150.6,13.9]",
RIB5PISOM-RXN,[2100],
GCVMULTI-RXN,[18.4],
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.,[20.9],
RXN0-1342,[0.042],
RXN0-2201,[4.2],
RXN-16000,[5.76],
NACGLCTRANS-RXN,[13.95],
3.5.1.88-RXN,[103],
SERINE-O-ACETTRAN-RXN,[427],
SERINE-O-ACETTRAN-RXN,[16.9],
SHIKIMATE-5-DEHYDROGENASE-RXN,[236.67],
RXN-7968,[0.12],
RXN-7968,[0.05],
RXN-7967,[0.05],
RXN-7967,[0.05],
CYSTEINE--TRNA-LIGASE-RXN,[0.9],
CYSTEINE--TRNA-LIGASE-RXN,[91],
CYSTEINE--TRNA-LIGASE-RXN,[79],
PNPOXI-RXN,[0.13],
ASNSYNB-RXN,[2.73],
ASNSYNB-RXN,[1.56],
ASNSYNB-RXN,[2.18],
GLUTAMIN-RXN,[3.38],
4-NITROPHENYLPHOSPHATASE-RXN,[74.7],
RXN-15313,[7.7],
DIHYDRODIPICSYN-RXN,[8.5],
KDO-8PSYNTH-RXN,[6.8],
DUTP-PYROP-RXN,[14.7],
CARBPSYN-RXN,[9.4],
CARBPSYN-RXN,[6.8],
LEUCINE--TRNA-LIGASE-RXN,[5.1],
LEUCINE--TRNA-LIGASE-RXN,[4.9],
LEUCINE--TRNA-LIGASE-RXN,[5.0],
3.4.11.18-RXN,[39],
RXN-8999,[2.5],
ASPARTATE--TRNA-LIGASE-RXN,[0.55],
LYSINE--TRNA-LIGASE-RXN,[3.6],
6PFRUCTPHOS-RXN,[61],
GLYOHMETRANS-RXN,[5],
GLUCOSE-1-PHOSPHAT-RXN,[117],
DARAB5PISOM-RXN,[255],
DARAB5PISOM-RXN,[157],
PREPHENATEDEHYDRAT-RXN,[26.15],
CHORISMATEMUT-RXN,[39.03],
4.3.1.15-RXN,[58.6],
CITSYN-RXN,[81],
S-ADENMETSYN-RXN,[1.5],
3.4.11.18-RXN,[20.2],
MALSYN-RXN,[48.1],
ADENPHOSPHOR-RXN,[3.32],
INOPHOSPHOR-RXN,[4],
RXN0-1461,[0.003],
GPH-RXN,[94],
