Gene id	half_life (units.min)
gcvR	328.71181936084605
rng	261.8283706026162
rbsK	339.41437501695907
pheA	322.49981782729685
ybeZ	288.563282302725
phoU	302.101424326104
slyD	277.8707076457546
fklB	340.43943146498304
ppiC	334.20638236701404
proC	637.9214254793436
lon	356.609859293222
hpt	287.02634126878917
gpt	332.8932595630243
pta	336.8089053238915
pflA	328.9550870823649
lpd	720.0
trxB	344.48267842400963
deaD	84.12303522833928
idnO	287.0748421624311
arcA	346.89519438274823
accD	671.1695623712905
adhE	310.01160492188933
asd	332.72954370984297
fdx	395.18328385306046
ftsE	331.4511446946382
fucO	338.4317254279547
gldA	344.86414379048784
livG	719.4072181133868
serA	338.95773627067047
tas	354.1748252524222
ybhF	710.9820673715689
ybiT	334.229479456492
puuR	242.04638630371807
lptB	671.1822978011784
ulaR	638.2497366607195
ettA	336.3831413035259
yrdA	601.3322035008744
znuC	263.34076229953826
mreB	720.0
cspA	99.41196764245356
cspC	193.73580882897966
glnB	334.08897223887345
ptsH	720.0
rplM	709.129835120982
ompR	350.93965454261473
trxA	313.24945148098635
rluC	346.81227993314155
truC	356.55522123409355
rsuA	284.55991511378994
qmcA	359.36256509451096
clsB	322.1196543730779
dsbE	720.0
yeaY	642.4521235471057
yaeQ	530.6204742310911
yagU	720.0
ubiD	675.8306103229673
uspE	336.00779208133724
iscA	71.86049246120153
cycA	501.46781000665226
dppD	718.5900447829813
gltL	679.826574908058
mglA	328.3167598658278
pstB	549.4170996973188
sapD	330.96216056487634
sapF	346.67853948549856
ftsH	330.7630573487792
fabF	720.0
fabD	662.5751813921743
hypB	251.31456069160384
iraP	297.87289755836537
frmR	331.0458584106833
ybaK	296.1228432125608
ybcJ	240.20695899062164
ybdF	310.0270637749428
ybdG	720.0
ybeL	277.9212084320671
ybgJ	675.2379576622158
ybhP	297.3845235046407
ldtB	345.4214242869325
rarA	323.6722780737747
ycaR	283.9401509491354
elyC	323.8855610649142
yccF	720.0
yccJ	248.71481381601086
tusE	720.0
efeO	720.0
yceB	322.39543629708515
yceD	269.05835595364465
lpoB	654.6656597503236
ycgL	275.382389060994
ychN	720.0
lapB	720.0
pntB	720.0
fbaA	340.48027683587816
kbl	720.0
ilvE	338.01196842430846
nth	334.6216210886588
apbE	715.2261698160654
purB	333.0496174382973
aroG	348.48750337124096
atpB	720.0
atpF	720.0
atpH	720.0
atpG	720.0
atpA	698.3208939433578
atpD	720.0
mgtA	720.0
hflC	701.5314334026984
hflK	720.0
bfr	681.1661531679121
accA	720.0
accB	330.85368779761086
pcnB	262.0371198419954
eutM	349.8574182920743
cdd	643.0668770328456
mrdB	720.0
ftsA	344.26058683859816
gltA	314.25785471378845
clpA	47.96464834187493
corA	706.5628677062905
cyoB	720.0
cyoA	720.0
cydA	720.0
cysK	708.3267466804404
ccmH	567.0735609126943
dgkA	720.0
deoD	720.0
coaBC	720.0
garR	328.2286149557182
folA	693.7886589765576
dksA	196.33814184556212
dnaG	251.26674423663434
dps	101.82035183759196
dusB	220.40157008992014
menB	332.7959941447282
ychF	286.4291690186618
elbB	648.3048080782783
tolQ	716.4456692739966
exbD	80.51391832701773
tolR	341.1296907695315
flgG	305.74319396843094
fliL	102.92419449753385
fliG	227.0644685314995
kdsC	259.5571929972505
surA	702.6751653025116
bamD	720.0
folP	720.0
folB	707.1968358672702
folX	286.4001080500586
ygfA	288.3565851338361
ftsX	720.0
fumA	263.20666701973505
aspA	257.03696433011146
sdhA	693.1514471461818
sdhD	718.4471703006642
frdB	345.38957833934785
zwf	697.2204414411102
grxB	334.33509135613804
grxC	313.67408827087536
grxD	301.74858175327125
waaA	633.0676418327034
gloA	326.60931446129837
gloB	285.4581025055717
glgP	316.351428213828
gnsA	272.72133556606104
yibF	331.09570293530714
sspA	354.14229665452905
gstB	558.2078733640354
dnaB	333.12794942762235
hemB	325.9048285459816
hemG	343.99043683359406
hemY	720.0
erpA	97.37973901148094
glmU	353.9462342427536
iscU	113.96650481033316
hybC	262.2369435211474
hinT	314.6876791859745
hupA	333.04519952772756
hupB	305.99566042654385
hns	562.3481079734515
stpA	356.4455034499223
melR	205.94894576193917
rob	679.68753855243
xylR	315.9248655870008
lrp	645.17788117452
decR	305.5766139391536
crp	350.2982348032245
agaR	318.5815450523154
glpR	353.8270067282358
exuR	221.70737537857147
glcC	78.0436938729123
pdhR	569.447638807282
rspR	612.1345441540494
yegW	290.6016828725242
yihL	720.0
allR	338.48076818518547
cytR	623.7520631430426
cra	338.06845063451755
gntR	720.0
purR	352.16133865476957
oxyR	305.9257638357873
mprA	329.3308319588654
rpiR	720.0
uidR	720.0
ybiH	720.0
fabR	358.1842317820658
yjdC	291.8263878110724
mpaA	282.88296918373777
ydhR	288.55246727629054
ydjA	329.32791402229947
yeaG	204.86145954753042
cusR	337.1310834385252
dcuR	196.400889628149
yecA	312.74373016339905
yeeZ	301.13849572328996
btsS	322.3785756614966
yejL	309.7714890975264
yejM	720.0
yfcZ	248.39627937283453
yfhG	720.0
ispB	325.06527604910167
ivy	580.6157165590231
pykF	692.0550622076616
mrdA	708.4537248972636
ftsI	105.028117065771
ampH	223.62118689927917
livJ	687.8386604990022
tesA	663.9792429407897
nlpD	720.0
yajG	720.0
osmE	626.3469014395812
lptE	720.0
lolC	720.0
lptG	720.0
tamA	720.0
kbp	333.2719364543091
ygfZ	326.9207626182185
ilvN	218.01497456883808
suhB	720.0
guaB	345.4052411879559
entB	199.13648207803766
yecD	345.0044438664484
yiaF	720.0
yibA	233.85630810336005
yibL	594.8628493359861
yicN	304.37347502276174
yidQ	282.513793377427
yieE	201.8390099824428
viaA	318.7278624076597
yifL	720.0
yigB	344.9994460956715
yigI	343.6123314218419
ubiJ	290.43349623428827
yihD	285.84016633868265
yiiD	333.9948572374934
ygaM	347.2818129211219
rlmM	355.7509772930984
ppnN	675.9702088511466
yggE	720.0
yggN	306.4528921964345
ygiB	222.89250633397918
ygiC	346.76014642629883
ygiM	350.16367029779286
ygiN	320.8325835123738
ygiW	349.86887146433975
lptA	337.9289888576972
yhbW	338.9407462907807
mlaC	317.35420559991877
lptC	358.8016225112491
yhcB	720.0
yhfA	649.5380525820545
rsmD	334.13085358859337
ppiD	720.0
rplN	339.5897887925425
rplP	720.0
rplW	316.5062251393226
rpsO	720.0
yajC	688.3036706547882
trmJ	324.7109082836517
acrA	720.0
ahpC	303.13888138415507
amn	635.3407290386244
ampE	720.0
map	331.13799543137117
aphA	703.9553020060542
artQ	713.3738995133958
ypdB	530.7123594242466
ytfL	309.7116547827593
ytfP	318.98052173794633
bcp	321.681248014289
cheY	244.69065673289717
mazF	720.0
corC	349.7731787090611
cpxA	355.3937691502855
cpxR	326.3466076265393
creA	720.0
cysG	328.0108831232437
