Gene id	half_life (units.min)
dadX	624.8841972
ftsN	583.47585186
yceH	604.5078108
hemE	557.6038178399999
flgL	40.25772738
pepT	609.3879186
nadC	529.11167712
leuB	593.79520704
leuD	237.18028044000002
thiC	179.81429394
thiE	438.46705332000005
thiG	145.68126456
moaA	138.2143488
moaD	596.1786914400001
moaE	513.27320148
basR	585.50182638
basS	716.4852648
eptA	710.2026558
artJ	609.5801718
ygiF	685.3982844000001
modF	572.3628258599999
yedE	467.6086959
aas	835.5894102
sseA	598.0103508
yicH	727.4750058
yicJ	564.16795908
ade	259.58544858
yidR	728.443212
thiQ	673.5868686
thiB	697.096596
nfrA	682.1133048
hchA	647.6565558
narP	384.98543028
yciK	643.171665
yddA	734.7465108
yddB	595.68872496
pqqL	648.6026796000001
hemN	398.3441589
yihM	273.59494908
yihT	579.66287406
yihW	677.621958
yiiM	553.17616056
fdhD	553.7345935200001
gph	543.40596678
nudC	693.3411930000001
fsaB	596.14998066
rluF	395.41511838
dusA	649.0528206
yjcE	755.4151722
actP	836.9875134
yeeA	703.504203
psuG	414.02217540000004
yeiR	579.87075294
yebF	380.62699926
purT	639.7667663999999
recT	467.3617713
lldD	338.78837472
flgK	62.11703208
yehX	505.54461168
yehZ	671.1514962
bglX	901.7092326
tktB	675.9528048000001
nuoC	686.140398
yfiE	498.81526955999993
rluD	654.734769
feoB	103.00272696
selU	678.165984
yejF	818.2497168
radD	484.71822906000006
ahpF	452.34067548
amiA	308.58339029999996
cobS	819.5292522
cobT	488.69450688000006
acnB	440.51311764
rdgC	606.1054362
yadG	778.7428308
rsmB	772.1367743999999
gatR	832.187166
pgm	586.66434462
rlmN	147.55061028
lasT	476.51043564
purU	664.5241734
fxsA	775.8313661999999
dppF	706.7019564
intS	630.8870736
glcB	571.75029282
csiR	322.67996034
yecE	521.65449648
rpiB	615.0420959999999
xylF	555.59557902
ucpA	662.0720976
pmrD	519.43463454
tauD	342.08819489999996
yhhM	724.8415566
acpT	500.0970534
yhiI	822.2110278
rlmJ	653.4109962
yhjD	491.4346485
yhjG	701.5366188
kdgK	675.9304026
yhjJ	623.9562473999999
bcsC	718.4803266
bcsB	693.835857
bcsG	520.2495801599999
eptB	482.74665144
ghrB	548.3411937000001
aldB	472.96664502
envC	699.6832019999999
rluB	714.947736
ydiF	689.1619493999999
yfhH	384.59374842
kduD	449.85340488
chbG	495.57996360000004
gltI	690.3430146000001
uspF	662.5947204
cysJ	544.9112169
nfsB	371.7027501
ygdG	679.8339252
torR	580.22800614
degQ	612.9525983999999
uxuR	357.60045372
znuA	638.1297006
yeaD	847.1659356
erfK	608.0332644
ytfJ	507.64789314000006
epmB	268.35855978
mscM	845.3054646
rsgA	622.2007992
bsmA	755.3851721999999
ulaD	411.55751952
ytfB	566.3744985
tamB	752.8773558
ytfQ	790.4187888
yjgM	417.04239107999996
yjgR	620.3386476000001
yjhC	741.9268566000001
iadA	795.6097164
yjiK	614.7249558
yjiM	154.25112732
yjiR	486.88679046000004
mdoB	271.22603784
rsmC	710.6620176
yjjJ	669.8581121999999
nrdE	234.47022030000002
ydfG	683.5723812
opgD	802.1807574000001
azoR	364.33592178
rihA	661.3181867999999
patA	82.40402004
fadH	666.2807292
ygjR	628.4342657999999
uxaA	295.1453811
tdcE	266.01079818
obgE	351.68225946
agaB	431.40257874
nudL	495.54695172
ycaK	624.4742123999999
lpxH	805.3934916
pqiB	809.946156
uup	688.9257156
nanK	559.15994406
lpoA	715.992075
fkpA	715.7629998
frlR	587.83066584
proQ	432.25777062
luxS	452.63766318
hcxA	616.1703228
tsaC	560.72696814
nudE	634.2423912
cpoB	606.555486
mtgA	699.2475858
yedI	670.522668
ybhC	739.1134320000001
yhdP	788.1451632
rtcA	750.8358959999999
rtcB	193.4404311
aaaT	659.950023
ftsK	117.7059324
mlc	600.8762142
puuE	278.74151934
ycjG	561.05842512
yecM	327.47915898
yggW	555.00755382
qseB	728.2764377999999
tilS	697.0312260000001
rstA	465.23336454
ygbI	555.8923299
ldhA	683.6079096
ydbH	653.8007862000001
ydbK	314.92891104
rlmD	550.7245881
wecF	727.4424264
truB	600.840432
rsmH	581.69876034
rplC	755.5142262
caiA	506.45959662
hisH	660.1335948
speB	727.3422984
hisF	578.0715018000001
lipA	156.82661142
rplD	707.0911596
hisG	467.64577032
