# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"ARABISOM-MONOMER"	"araA"	1914.725051971764
"OROTPDECARB-MONOMER"	"pyrF"	1914.725051971764
"EG11128-MONOMER"	"yciH"	567.8827106994208
"PHES-MONOMER"	"pheS"	1914.725051971764
"CPDB-MONOMER"	"cpdB"	1914.725051971764
"EG10626-MONOMER"	"mutT"	1914.725051971764
"CREB-MONOMER"	"creB"	1914.725051971764
"UDPNACETYLMURAMATEDEHYDROG-MONOMER"	"murB"	1914.725051971764
"EG11059-MONOMER"	"usg"	1914.725051971764
"EG10824-MONOMER"	"recB"	1914.725051971764
"EG10968-MONOMER"	"sppA"	1914.725051971764
"PHOR-MONOMER"	"phoR"	1914.725051971764
"CREC-MONOMER"	"creC"	1914.725051971764
"EG10203-MONOMER"	"dacC"	1914.725051971764
"EG10240-MONOMER"	"dnaJ"	1914.725051971764
"ASPKINIII-MONOMER"	"lysC"	1707.4943669410225
"PTSI-MONOMER"	"ptsI"	1914.725051971764
"EG10459-MONOMER"	"hsdR"	1078.9154181538847
"EG10458-MONOMER"	"hsdM"	1914.725051971764
"MALATE-SYNTHASE"	"aceB"	384.8182415923012
"PURK-MONOMER"	"purK"	1914.725051971764
"EG11073-MONOMER"	"xthA"	1914.725051971764
"VALINE-PYRUVATE-AMINOTRANSFER-MONOMER"	"avtA"	880.5573929469291
"XYLULOKIN-MONOMER"	"xylB"	1914.725051971764
"UROGENIIISYN-MONOMER"	"hemD"	1033.095756803817
"HEMX-MONOMER"	"hemX"	1914.725051971764
"UDPGLUCEPIM-MONOMER"	"galE"	1914.725051971764
"GALACTURIDYLYLTRANS-MONOMER"	"galT"	1914.725051971764
"2-ISOPROPYLMALATESYN-MONOMER"	"leuA"	424.42735198336317
"EG10858-MONOMER"	"rnd"	1914.725051971764
"SPERMIDINESYN-MONOMER"	"speE"	1914.725051971764
"EG10673-MONOMER"	"ompT"	1914.725051971764
"EG11068-MONOMER"	"vsr"	812.9039202916907
"NAGE-MONOMER"	"nagE"	1914.725051971764
"MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN"	"motA"	127.0460032896399
"EG10416-MONOMER"	"grpE"	1914.725051971764
"PYRUVFORMLY-MONOMER"	"pflB"	357.97576209680074
"EG10397-MONOMER"	"glpG"	1137.7655994632705
"GLYCPDIESTER-PERI-MONOMER"	"glpQ"	1914.725051971764
"MANNPDEHYDROG-MONOMER"	"mtlD"	1914.725051971764
"PUTA-MONOMER"	"putA"	398.57233620549096
"EG10218-MONOMER"	"dedD"	488.7696025417424
"ARGT-MONOMER"	"argT"	1914.725051971764
"GLUSYNLARGE-MONOMER"	"gltB"	1717.5616110624703
"GLUSYNSMALL-MONOMER"	"gltD"	1280.620204998979
"MODC-MONOMER"	"modC"	1914.725051971764
"UHPB-MONOMER"	"uhpB"	1914.725051971764
"EG10837-MONOMER"	"rep"	810.9328376606569
"EG11061-MONOMER"	"uvrA"	1914.725051971764
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	"ubiB"	1914.725051971764
"ACETATEKINA-MONOMER"	"ackA"	1914.725051971764
"LEUC-MONOMER"	"leuC"	300.7848641962274
"EG50003-MONOMER"	"acpP"	1914.725051971764
"ALARACEBIOSYN-MONOMER"	"alr"	1914.725051971764
"G7325-MONOMER"	"iscS"	311.4246096103953
"EG10651-MONOMER"	"nfo"	243.10293671589238
"N-ACETYLTRANSFER-MONOMER"	"argA"	353.0602151279896
"ACETYLGLUTKIN-MONOMER"	"argB"	1914.725051971764
"PD00194"	"argR"	1914.725051971764
