# Generated by runscripts/reconstruction/polycistronic_rnas/create_tu_files.py on Fri Feb  5 17:21:03 2021 
"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"EG10170_RNA"	"mRNA"	[]	["EG10170"]	["ADENYLATECYC-MONOMER"]
"EG10172_RNA"	"mRNA"	[]	["EG10172"]	["CYTOCHROME-B561-MONOMER"]
"EG10184_RNA"	"mRNA"	[]	["EG10184"]	["PD00232"]
"EG10187_RNA"	"mRNA"	[]	["EG10187"]	["SERINE-O-ACETTRAN-MONOMER"]
"EG10188_RNA"	"mRNA"	[]	["EG10188"]	["SIROHEMESYN-MONOMER"]
"EG10189_RNA"	"mRNA"	[]	["EG10189"]	["PAPSSULFOTRANS-MONOMER"]
"EG10192_RNA"	"mRNA"	[]	["EG10192"]	["ACSERLYA-MONOMER"]
"EG10196_RNA"	"mRNA"	[]	["EG10196"]	["CYSS-MONOMER"]
"EG10200_RNA"	"mRNA"	[]	["EG10200"]	["PD04028"]
"EG10201_RNA"	"mRNA"	[]	["EG10201"]	["EG10201-MONOMER"]
"EG10202_RNA"	"mRNA"	[]	["EG10202"]	["EG10202-MONOMER"]
"EG10203_RNA"	"mRNA"	[]	["EG10203"]	["EG10203-MONOMER"]
"EG10206_RNA"	"mRNA"	[]	["EG10206"]	["DIHYDROPICRED-MONOMER"]
"EG10207_RNA"	"mRNA"	[]	["EG10207"]	["MONOMER0-2001"]
"EG10210_RNA"	"mRNA"	[]	["EG10210"]	["EG10210-MONOMER"]
"EG10212_RNA"	"mRNA"	[]	["EG10212"]	["EG10212-MONOMER"]
"EG10213_RNA"	"mRNA"	[]	["EG10213"]	["DALADALALIGA-MONOMER"]
"EG10215_RNA"	"mRNA"	[]	["EG10215"]	["EG10215-MONOMER"]
"EG10217_RNA"	"mRNA"	[]	["EG10217"]	["CARBOXYL-TRANSFERASE-BETA-MONOMER"]
"EG10223_RNA"	"mRNA"	[]	["EG10223"]	["PD01196"]
"EG10224_RNA"	"mRNA"	[]	["EG10224"]	["DIACYLGLYKIN-MONOMER"]
"EG10225_RNA"	"mRNA"	[]	["EG10225"]	["DGTPTRIPHYDRO-MONOMER"]
"EG10226_RNA"	"mRNA"	[]	["EG10226"]	["EG10226-MONOMER"]
"EG10229_RNA"	"mRNA"	[]	["EG10229"]	["EG10229-MONOMER"]
"EG10231_RNA"	"mRNA"	[]	["EG10231"]	["DLACTDEHYDROGFAD-MONOMER"]
"EG10234_RNA"	"mRNA"	[]	["EG10234"]	["DMSC-MONOMER"]
"EG10236_RNA"	"mRNA"	[]	["EG10236"]	["EG10236-MONOMER"]
"EG10240_RNA"	"mRNA"	[]	["EG10240"]	["EG10240-MONOMER"]
"EG10241_RNA"	"mRNA"	[]	["EG10241"]	["EG10241-MONOMER"]
"EG10243_RNA"	"mRNA"	[]	["EG10243"]	["EG10243-MONOMER"]
"EG10245_RNA"	"mRNA"	[]	["EG10245"]	["MONOMER0-2383"]
"EG10246_RNA"	"mRNA"	[]	["EG10246"]	["EG10246-MONOMER"]
"EG10249_RNA"	"mRNA"	[]	["EG10249"]	["DSERDEAM-MONOMER"]
"EG10254_RNA"	"mRNA"	[]	["EG10254"]	["PD03254"]
"EG10255_RNA"	"mRNA"	[]	["EG10255"]	["EG10255-MONOMER"]
"EG10256_RNA"	"mRNA"	[]	["EG10256"]	["KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER"]
"EG10258_RNA"	"mRNA"	[]	["EG10258"]	["ENOLASE-MONOMER"]
"EG10265_RNA"	"mRNA"	[]	["EG10265"]	["UDPACYLGLCNACDEACETYL-MONOMER"]
"EG10272_RNA"	"mRNA"	[]	["EG10272"]	["EG10272-MONOMER"]
"EG10273_RNA"	"mRNA"	[]	["EG10273"]	["FABA-MONOMER"]
