"tu_id"	"tu_count"
"EG10718"	0.6466666666669998
"EG10719"	0.866666666667
"EG10720"	0.9366666666669999
"EG10721"	6.3999999999999995
"EG10722"	1.5033333333299996
"EG10723"	1.9366666666700003
"EG10724"	11.630000000000003
"EG10725"	10.1
"EG10727"	17.199999999999996
"EG10728"	29.426666666700005
"EG10729"	1.6066666666700014
"EG10730"	18.1233333333
"EG10731"	198.30999999999997
"EG10732"	90.43999999999998
"EG10733"	12.673333333300008
"EG10734"	75.42333333329996
"EG10735"	79.49666666669998
"EG10736"	22.39999999999999
"EG10737"	1.4100000000000001
"EG10738"	69.8633333333
"EG10739"	80.91
"EG10740"	110.213333333
"EG10741"	113.673333333
"EG10742"	404.686666667
"EG10743"	757.7566666669999
"EG10744"	1057.75
"EG10745"	857.1500000000001
"EG10746"	84.2066666667
"EG10747"	14.620000000000003
"EG10748"	31.203333333299998
"EG10749"	111.29333333299999
"EG10750"	41.08999999999999
"EG10751"	96.6066666667
"EG10752"	413.09
"EG10753"	6.056666666670026
"EG10754"	100.48
"EG10755"	1839.68
"EG10756"	754.8733333329999
"EG10757"	156.243333333
"EG10758"	1176.5100000000002
"EG10759"	237.55666666699992
"EG10760"	311.10666666700007
"EG10761"	75.25666666669997
"EG10762"	490.5299999999999
"EG10763"	25.919999999999956
"EG10764"	3583.2766666699995
"EG10765"	29.456666666700126
"EG10766"	3009.27333333
"EG10767"	184.49666666700023
"EG10768"	191.26333333299996
"EG10769"	69.31666666670003
"EG10770"	381.94333333299994
"EG10771"	110.04333333300002
"EG10772"	47.1666666667
"EG10773"	129.55
"EG10774"	793.1
"EG10775"	188.496666667
"EG10776"	97.6933333333
"EG10777"	20.0
"EG10778"	16.3566666667
"EG10779"	8.03
"EG10780"	78.07
"EG10781"	208.13333333299997
"EG10782"	30.56
"EG10783"	103.55333333299998
"EG10784"	35.256666666699985
"EG10785"	67.5366666667
"EG10786"	36.43000000000001
"EG10787"	1110.86333333
"EG10788"	2092.95333333
"EG10789"	1623.5233333299998
"EG10790"	1124.1766666699998
"EG10791"	521.546666667
"EG10792"	212.12666666699997
"EG10793"	250.993333333
"EG10794"	322.45000000000005
"EG10795"	251.21999999999997
"EG10796"	252.94
"EG10797"	232.66666666700002
"EG10798"	386.38
"EG10799"	320.7699999999999
"EG10800"	278.55333333299996
"EG10801"	17.49666666669998
"EG10802"	51.793333333299984
"EG10803"	237.366666667
"EG10804"	737.383333333
"EG10805"	1788.9766666700002
"EG10806"	466.0299999999999
"EG10807"	143.123333333
"EG10808"	10.086666666700012
"EG10809"	115.18999999999998
"EG10810"	437.94
"EG10811"	2318.05
"EG10812"	53.3733333332998
"EG10813"	2.2966666666699993
"EG10814"	25.5033333333
"EG10815"	59.499999999999986
"EG10816"	21.930000000000007
"EG10817"	108.14333333299999
"EG10818"	41.290000000000006
"EG10819"	18.9966666667
"EG10820"	29.9966666667
"EG10821"	482.69000000000005
"EG10822"	41.150000000000034
"EG10823"	329.143333333
"EG10824"	43.78333333329999
"EG10825"	43.5333333333
"EG10826"	33.36000000000001
"EG10827"	4.046666666669999
"EG10828"	49.809999999999995
"EG10829"	52.77666666670001
"EG10830"	75.3566666667
"EG10831"	29.0066666667
"EG10832"	61.40999999999999
"EG10833"	57.60999999999999
"EG10834"	389.28666666699996
"EG10835"	95.86333333329996
"EG10836"	61.31
"EG10837"	38.95333333330001
"EG10838"	299.11666666700006
"EG10839"	60.01999999999998
"EG10840"	132.443333333
"EG10841"	931.4533333329999
"EG10842"	5.243333333330042
"EG10843"	4.40333333333
"EG10844"	510.886666667
"EG10845"	776.586666667
"EG10846"	3.613333333330047
"EG10847"	4.573333333329999
"EG10848"	4.95666666667
"EG10849"	6.493333333329998
"EG10850"	84.2933333333
"EG10851"	153.95666666700004
"EG10852"	38.143333333300006
"EG10853"	43.903333333300004
"EG10854"	212.853333333
"EG10855"	335.95333333299993
"EG10856"	131.486666667
"EG10857"	232.84666666700002
"EG10858"	50.96666666669998
"EG10859"	319.75
"EG10860"	74.3633333333
"EG10861"	95.33333333329999
"EG10862"	675.8599999999999
"EG10863"	113.58000000000004
"EG10864"	3881.6499999999996
"EG10865"	3313.9066666699996
"EG10866"	5076.606666670001
"EG10867"	3468.63333333
"EG10868"	5151.996666670001
"EG10869"	3930.4799999999996
"EG10870"	2014.4866666699993
"EG10871"	7853.963333330001
"EG10872"	2900.8833333299995
"EG10873"	6775.026666669999
"EG10874"	4073.000000000001
"EG10875"	3314.6999999999994
"EG10876"	3427.36666667
"EG10877"	5124.816666669998
"EG10878"	4935.4266666700005
"EG10879"	2852.93333333
"EG10880"	1805.2533333299998
"EG10881"	4824.49333333
"EG10882"	5190.839999999999
"EG10883"	6157.766666669998
"EG10884"	3984.23333333
"EG10885"	2819.22666667
"EG10886"	3499.6866666700002
"EG10887"	6804.81
"EG10888"	2538.7200000000003
"EG10889"	2378.329999999999
"EG10890"	6017.26333333
"EG10891"	4027.0833333299993
"EG10892"	1385.94666667
"EG10893"	5228.316666669998
"EG10894"	830.8533333329997
"EG10895"	826.636666667
"EG10896"	361.886666667
"EG10897"	223.28999999999996
"EG10898"	287.95333333300005
"EG10899"	524.21
"EG10900"	3503.39666667
"EG10901"	3435.12333333
"EG10902"	3980.5833333299997
"EG10903"	4479.370000000001
"EG10904"	3053.3566666699994
"EG10905"	4477.00666667
"EG10906"	3468.12333333
"EG10907"	2563.08666667
"EG10908"	3730.42333333
"EG10909"	6496.77333333
"EG10910"	4337.48
"EG10911"	3499.0533333299995
"EG10912"	3995.13666667
"EG10913"	7428.99
"EG10914"	3278.1399999999994
"EG10915"	2442.2766666700004
"EG10916"	5102.723333329999
"EG10917"	5275.563333329999
"EG10918"	5262.37333333
"EG10919"	4164.326666670001
"EG10920"	7363.606666669999
"EG10921"	144.90333333299984
"EG10922"	96.45
"EG10925"	136.17333333300002
"EG10926"	48.6733333333
"EG10927"	25.843333333300002
"EG10928"	27.396666666699993
"EG10929"	78.1733333333
"EG10930"	23.803333333300003
"EG10931"	304.13333333299994
"EG10932"	337.7099999999999
"EG10933"	443.1266666669999
"EG10934"	316.023333333
"EG10935"	50.53666666669999
"EG10936"	196.31
"EG10937"	523.723333333
"EG10938"	280.56999999999994
"EG10939"	906.1433333330001
"EG10940"	174.08333333300004
"EG10941"	55.849999999999994
"EG10942"	72.32
"EG10943"	197.29666666699998
"EG10944"	1687.9999999999998
"EG10945"	72.68666666669992
"EG10946"	1596.29
"EG10947"	507.22666666700025
"EG10948"	187.80999999999992
"EG10949"	96.12666666670003
"EG10950"	41.22333333329998
"EG10951"	35.9666666667
"EG10952"	499.85666666699996
"EG10953"	2582.36333333
"EG10954"	51.04666666669982
"EG10955"	103.873333333
"EG10956"	115.44333333299998
"EG10957"	12.413333333300002
"EG10958"	86.12333333329998
"EG10959"	284.29333333299996
"EG10960"	69.15000000000003
"EG10961"	41.089999999999996
"EG10962"	437.6899999999999
"EG10963"	433.8466666669999
"EG10964"	2.1733333333299925
"EG10965"	236.40666666699997
"EG10966"	252.466666667
"EG10967"	94.9366666667
"EG10968"	84.9933333333
"EG10969"	8.046666666670006
"EG10970"	6.679999999999999
"EG10971"	24.783333333299996
"EG10972"	7.59333333333
"EG10973"	22.749999999999996
"EG10974"	42.25666666669999
"EG10975"	108.41666666699997
"EG10976"	183.35333333299997
"EG10977"	440.53666666699996
"EG10978"	336.27999999999986
