"index"	"gene_id"	"protein_id"	"translation_efficiency"
282	"EG10180"	"CYOC-MONOMER[i]"	0.00014731006118505209
283	"EG10181"	"CYOD-MONOMER[i]"	0.00015353442996751907
284	"EG10183"	"CYSA-MONOMER[i]"	0.00023086518965757816
285	"EG10186"	"CYSD-MONOMER[c]"	0.00023086518965757824
286	"EG10194"	"CYSN-MONOMER[c]"	0.00023086518965757813
287	"EG10195"	"CYSP-MONOMER[p]"	0.0002308651896575779
288	"EG10196"	"CYSS-MONOMER[c]"	0.0004108083396428212
289	"EG10197"	"CYST-MONOMER[i]"	0.00023086518965757802
290	"EG10583"	"CYSTATHIONINE-BETA-LYASE-MONOMER[c]"	0.0004066587604545099
291	"EG10198"	"CYSW-MONOMER[i]"	0.00023086518965757797
292	"EG11326"	"CYTDEAM-MONOMER[c]"	0.00031951759749997176
293	"EG10137"	"CYTIDEAM-MONOMER[c]"	0.00030499407034088237
294	"EG10172"	"CYTOCHROME-B561-MONOMER[i]"	0.0004232570772077553
295	"EG50008"	"CYTOCHROME-B562-MONOMER[p]"	0.00023086518965757813
296	"EG11945"	"CYTOCHROMEC-MONOMER[p]"	0.00023086518965757824
297	"EG11781"	"CYTOCHROMEC552-MONOMER[p]"	0.0002308651896575781
298	"EG10213"	"DALADALALIGA-MONOMER[c]"	0.0003942100228895759
299	"EG10214"	"DALADALALIGB-MONOMER[c]"	9.958990051947183e-05
300	"EG11407"	"DALADEHYDROGA-MONOMER[i]"	0.00022615206576296742
301	"EG10117"	"DAPASYN-MONOMER[c]"	0.00029669491196425977
302	"EG20044"	"DCTA-MONOMER[i]"	0.00010996384849025012
303	"EG11418"	"DCTP-DEAM-MONOMER[c]"	9.75151109253161e-05
304	"EG11225"	"DCUA-MONOMER[i]"	0.00018050669469154277
305	"EG10006"	"DCUB-MONOMER[i]"	0.00023086518965757837
306	"G6347"	"DCUC-MONOMER[i]"	0.00023086518965757826
307	"G7826"	"DCUR-MONOMER[c]"	0.0002116285386038778
308	"G7827"	"DCUS-MONOMER[i]"	4.14957918831133e-05
309	"G7038"	"DCYSDESULF-MONOMER[c]"	0.00030706885993503797
310	"EG20051"	"DEHYDDEOXGALACTKIN-MONOMER[c]"	0.000230865189657578
311	"EG20049"	"DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c]"	0.0002308651896575779
312	"EG10219"	"DEOA-MONOMER[c]"	0.00019917980103894366
313	"EG10222"	"DEOD-MONOMER[c]"	0.0006079133510876095
314	"EG12253"	"DEOXYGLUCONOKIN-MONOMER[c]"	0.0004958747130032033
315	"EG10221"	"DEOXYRIBOSE-P-ALD-MONOMER[c]"	0.0006390351949999444
316	"EG10120"	"DETHIOBIOTIN-SYN-MONOMER[c]"	0.0003444150726298403
317	"EG10225"	"DGTPTRIPHYDRO-MONOMER[c]"	0.00011411342767856144
318	"EG11143"	"DHHB-METHYLTRANSFER-MONOMER[i]"	0.0004751268170616468
319	"M011"	"DHPDIOXYGEN-MONOMER[c]"	0.00023086518965757802
320	"EG10224"	"DIACYLGLYKIN-MONOMER[i]"	0.00033611591425321735
321	"EG10549"	"DIAMINOPIMDECARB-MONOMER[c]"	0.00031951759749997176
322	"EG10209"	"DIAMINOPIMEPIM-MONOMER[c]"	6.639326701298124e-05
323	"G36"	"DIENOYLCOAREDUCT-MONOMER[c]"	0.00023086518965757813
324	"EG10205"	"DIHYDRODIPICSYN-MONOMER[c]"	0.00020540416982141083
325	"EG10326"	"DIHYDROFOLATEREDUCT-MONOMER[c]"	0.00031329322871750503
326	"EG10806"	"DIHYDROOROT-MONOMER[c]"	0.0005166226089447603
327	"EG10807"	"DIHYDROOROTOX-MONOMER[c]"	0.0003485646518181514
328	"EG10206"	"DIHYDROPICRED-MONOMER[c]"	0.00036516296857139695
329	"EG50005"	"DIHYDROPTERIREDUCT-MONOMER[c]"	0.000695054514042147
330	"EG10496"	"DIHYDROXYACIDDEHYDRAT-MONOMER[c]"	0.00020125459063309934
331	"EG11491"	"DINF-MONOMER[i]"	7.261763579544818e-05
332	"EG10465"	"DIOHBUTANONEPSYN-MONOMER[i]"	0.0003713873373538641
333	"EG11297"	"DISULFOXRED-MONOMER[p]"	0.0004875755546265808
334	"EG10231"	"DLACTDEHYDROGFAD-MONOMER[c]"	0.00041080833964282095
335	"G592"	"DLACTDEHYDROGNAD-MONOMER[c]"	0.00040665876045450976
336	"EG12151"	"DMBPPRIBOSYLTRANS-MONOMER[c]"	0.00011411342767856148
337	"EG11880"	"DMK-MONOMER[i]"	0.00018465627387985405
338	"EG10232"	"DMSA-MONOMER[i]"	0.00023086518965757813
339	"EG10233"	"DMSB-MONOMER[c]"	0.00023086518965757834
340	"EG10234"	"DMSC-MONOMER[i]"	0.00023086518965757813
341	"EG10248"	"DPPA-MONOMER[i]"	0.0003174428079058165
342	"EG12625"	"DPPB-MONOMER[i]"	0.00010166469011362744
343	"EG12626"	"DPPC-MONOMER[i]"	0.00011411342767856156
344	"EG12627"	"DPPD-MONOMER[i]"	0.00014523527159089635
345	"EG12628"	"DPPF-MONOMER[i]"	0.00019503022185063227
346	"EG11393"	"DSBBPROT-MONOMER[i]"	0.00022615206576296707
347	"EG11070"	"DSBC-MONOMER[p]"	0.0003942100228895761
348	"EG12178"	"DSBD-MONOMER[i]"	0.00020955374900972188
349	"G6333"	"DSBG-MONOMER[p]"	0.0005145478193506048
350	"EG10250"	"DSDX-MONOMER[i]"	0.00023086518965757816
351	"EG10249"	"DSERDEAM-MONOMER[c]"	0.0004958747130032033
352	"EG11979"	"DTDPDEHYDRHAMEPIM-MONOMER[c]"	0.00014938485077920776
353	"EG12411"	"DTDPDEHYRHAMREDUCT-MONOMER[c]"	0.00019503022185063244
354	"EG12412"	"DTDPGLUCDEHYDRAT-MONOMER[c]"	0.00025934869926945794
355	"EG11453"	"DTDPGLUCDEHYDRAT2-MONOMER[c]"	0.00010788905889609439
356	"EG11978"	"DTDPGLUCOSEPP-MONOMER[c]"	0.0002406755929220568
357	"EG11454"	"DTDPGLUCOSEPP2-MONOMER[c]"	7.261763579544819e-05
358	"EG12302"	"DTMPKI-MONOMER[c]"	0.00018258148428569831
359	"EG10251"	"DUTP-PYROP-MONOMER[c]"	0.0003236671766882835
360	"EG12715"	"DXPREDISOM-MONOMER[c]"	0.00014731006118505206
361	"G6237"	"DXS-MONOMER[c]"	0.0001244873756493397
