# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_Clim_to_flat.py on Tue Nov  5 18:30:03 2024
"id"	"half_life (units.min)"
"ALPHA-AMYL-PERI-MONOMER"	568.6
"ALPHACOMP-MONOMER"	544.9
"ALPHAGALACTOSID-MONOMER"	534.1
"ALTRO-OXIDOREDUCT-MONOMER"	542.5
"ALTRODEHYDRAT-MONOMER"	295.1
"AMINEOXID-MONOMER"	387.0
"AMP-NUCLEOSID-MONOMER"	650.8
"AMYLOMALT-MONOMER"	867.9
"ANSA-MONOMER"	771.9
"ANSB-MONOMER"	338.9
"ANTHRANSYNCOMPI-MONOMER"	583.3
"ANTHRANSYNCOMPII-MONOMER"	709.4
"APHA-MONOMER"	601.1
"APPA-MONOMER"	723.4
"ARABISOM-MONOMER"	630.3
"ARAF-MONOMER"	818.5
"ARAG-MONOMER"	391.4
"ARAH-MONOMER"	474.2
"ARCA-MONOMER"	640.4
"ARCB-MONOMER"	661.9
"ARGDECARBOXBIO-MONOMER"	605.0
"ARGDECARBOXDEG-MONOMER"	695.1
"ARGS-MONOMER"	619.2
"ARGSUCCINLYA-MONOMER"	636.6
"ARGSUCCINSYN-MONOMER"	624.1
"ARGSUCCTRAN-MONOMER"	580.9
"ARGT-MONOMER"	699.6
"AROA-MONOMER"	705.2
"AROB-MONOMER"	545.9
"AROC-MONOMER"	756.5
"AROD-MONOMER"	602.4
"AROE-MONOMER"	536.3
"AROF-MONOMER"	254.5
"AROG-MONOMER"	630.0
"AROH-MONOMER"	642.7
"AROK-MONOMER"	328.1
"AROL-MONOMER"	460.5
"AROP-MONOMER"	715.2
"ARTI-MONOMER"	696.4
"ARTJ-MONOMER"	609.6
"ARTP-MONOMER"	549.3
"ARTQ-MONOMER"	719.8
"ASL-MONOMER"	668.3
"ASNS-MONOMER"	695.4
"ASNSYNA-MONOMER"	332.8
"ASNSYNB-MONOMER"	511.7
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	601.6
"ASPAMINOTRANS-MONOMER"	618.5
"ASPARTASE-MONOMER"	421.3
"ASPCARBCAT-MONOMER"	702.1
"ASPCARBREG-MONOMER"	547.4
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	826.4
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	586.8
"ASPKINIII-MONOMER"	506.4
"ASPS-MONOMER"	732.0
"ATOC-MONOMER"	633.5
"ATOS-MONOMER"	391.9
"ATPA-MONOMER"	722.6
"ATPB-MONOMER"	760.2
"ATPC-MONOMER"	697.8
"ATPD-MONOMER"	748.1
"ATPE-MONOMER"	756.8
"ATPF-MONOMER"	778.2
"ATPG-MONOMER"	748.4
"ATPH-MONOMER"	758.0
"ATPPHOSRIBOSTRANS-MONOMER"	467.6
"B0260-MONOMER"	442.6
"B0427-MONOMER"	754.0
"B0899-MONOMER"	671.1
"B2075-MONOMER"	553.5
"B2076-MONOMER"	900.0
"BADH-MONOMER"	673.7
"BAER-MONOMER"	704.5
"BAES-MONOMER"	675.9
