"id"	"_comments"
"RXN-23953_valX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_valY-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_RNA0-300"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23954_valY-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23956_pheU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23956_pheV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23957_pheU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23957_pheV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23959_alaT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23959_alaU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23959_alaV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23959_alaW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23959_alaX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23960_alaT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23960_alaU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23960_alaV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23960_alaW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23960_alaX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
