# Generated by /Users/noravivancogonzalez/code/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_to_flat.py on Tue May 14 15:22:08 2024
"id"	"half_life (units.min)"
"EG10812-MONOMER"	49.4
"EG10817-MONOMER"	42.3
"EG10823-MONOMER"	58.7
"EG10824-MONOMER"	51.2
"EG10825-MONOMER"	42.4
"EG10826-MONOMER"	40.8
"EG10827-MONOMER"	38.5
"EG10828-MONOMER"	44.2
"EG10829-MONOMER"	41.4
"EG10830-MONOMER"	78.4
"EG10831-MONOMER"	9.2
"EG10832-MONOMER"	37.1
"EG10833-MONOMER"	33.3
"EG10834-MONOMER"	46.7
"EG10837-MONOMER"	42.0
"EG10838-MONOMER"	55.7
"EG10839-MONOMER"	31.8
"EG10841-MONOMER"	9.3
"EG10844-MONOMER"	44.2
"EG10845-MONOMER"	54.7
"EG10850-MONOMER"	42.4
"EG10851-MONOMER"	51.5
"EG10852-MONOMER"	43.1
"EG10853-MONOMER"	41.6
"EG10854-MONOMER"	39.8
"EG10855-MONOMER"	51.1
"EG10856-MONOMER"	100.9
"EG10857-MONOMER"	46.5
"EG10858-MONOMER"	46.8
"EG10859-MONOMER"	44.5
"EG10860-MONOMER"	50.9
"EG10861-MONOMER"	34.9
"EG10862-MONOMER"	43.3
"EG10863-MONOMER"	53.5
"EG10864-MONOMER"	50.4
"EG10865-MONOMER"	50.1
"EG10866-MONOMER"	47.3
"EG10867-MONOMER"	51.8
"EG10868-MONOMER"	49.1
"EG10869-MONOMER"	48.0
"EG10870-MONOMER"	47.6
"EG10871-MONOMER"	48.1
"EG10872-MONOMER"	53.4
"EG10873-MONOMER"	45.3
"EG10874-MONOMER"	54.0
"EG10875-MONOMER"	46.5
"EG10876-MONOMER"	54.1
"EG10877-MONOMER"	84.4
"EG10878-MONOMER"	53.5
"EG10879-MONOMER"	38.6
"EG10880-MONOMER"	44.1
"EG10881-MONOMER"	44.2
"EG10882-MONOMER"	54.4
"EG10883-MONOMER"	44.7
"EG10884-MONOMER"	48.8
"EG10885-MONOMER"	57.2
"EG10886-MONOMER"	39.0
"EG10887-MONOMER"	38.0
"EG10888-MONOMER"	42.4
"EG10889-MONOMER"	40.9
"EG10890-MONOMER"	45.5
"EG10892-MONOMER"	33.2
"EG10893-MONOMER"	49.2
"EG10899-MONOMER"	26.6
"EG10900-MONOMER"	47.9
"EG10901-MONOMER"	47.2
"EG10902-MONOMER"	56.7
"EG10903-MONOMER"	59.3
"EG10904-MONOMER"	46.8
"EG10905-MONOMER"	42.3
"EG10906-MONOMER"	46.5
"EG10907-MONOMER"	44.3
"EG10908-MONOMER"	50.4
"EG10909-MONOMER"	53.0
"EG10910-MONOMER"	51.4
"EG10911-MONOMER"	41.0
"EG10912-MONOMER"	37.8
"EG10913-MONOMER"	35.0
"EG10914-MONOMER"	47.4
"EG10915-MONOMER"	39.6
"EG10916-MONOMER"	53.6
"EG10917-MONOMER"	38.7
"EG10918-MONOMER"	37.5
"EG10919-MONOMER"	36.7
"EG10920-MONOMER"	31.7
"EG10921-MONOMER"	59.9
"EG10923-MONOMER"	29.6
"EG10924-MONOMER"	54.3
"EG10925-MONOMER"	40.0
"EG10926-MONOMER"	58.0
"EG10927-MONOMER"	47.1
"EG10941-MONOMER"	37.5
"EG10942-MONOMER"	42.7
"EG10943-MONOMER"	43.2
"EG10949-MONOMER"	73.8
"EG10950-MONOMER"	43.5
"EG10951-MONOMER"	34.4
"EG10955-MONOMER"	35.2
"EG10956-MONOMER"	53.2
"EG10967-MONOMER"	49.4
"EG10968-MONOMER"	40.8
"EG10973-MONOMER"	65.4
"EG10975-MONOMER"	43.8
"EG10976-MONOMER"	46.3
"EG10977-MONOMER"	58.5
"EG10978-MONOMER"	49.6
"EG10983-MONOMER"	52.0
"EG10985-MONOMER"	49.1
"EG10986-MONOMER"	31.5
"EG10996-MONOMER"	40.9
"EG10997-MONOMER"	40.1
"EG11003-MONOMER"	52.8
"EG11004-MONOMER"	33.4
"EG11007-MONOMER"	45.5
"EG11008-MONOMER"	44.9
"EG11009-MONOMER"	56.1
"EG11010-MONOMER"	43.0
"EG11011-MONOMER"	57.0
"EG11012-MONOMER"	28.3
"EG11013-MONOMER"	49.8
"EG11014-MONOMER"	40.9
"EG11022-MONOMER"	48.0
"EG11023-MONOMER"	56.8
"EG11033-MONOMER"	47.8
"EG11035-MONOMER"	83.5
"EG11037-MONOMER"	49.3
"EG11038-MONOMER"	41.7
"EG11058-MONOMER"	41.9
"EG11059-MONOMER"	51.6
"EG11061-MONOMER"	44.2
"EG11062-MONOMER"	40.3
"EG11063-MONOMER"	58.9
"EG11064-MONOMER"	44.3
"EG11068-MONOMER"	38.7
"EG11069-MONOMER"	35.1
"EG11071-MONOMER"	32.1
"EG11072-MONOMER"	39.5
"EG11073-MONOMER"	42.4
"EG11080-MONOMER"	47.4
"EG11081-MONOMER"	40.5
"EG11082-MONOMER"	69.7
"EG11083-MONOMER"	48.6
"EG11084-MONOMER"	52.6
"EG11085-MONOMER"	42.8
"EG11086-MONOMER"	75.2
"EG11088-MONOMER"	44.4
"EG11089-MONOMER"	37.4
"EG11091-MONOMER"	49.7
"EG11092-MONOMER"	40.9
"EG11093-MONOMER"	34.6
"EG11094-MONOMER"	38.2
"EG11095-MONOMER"	30.9
"EG11096-MONOMER"	44.4
"EG11097-MONOMER"	31.8
"EG11098-MONOMER"	14.9
"EG11100-MONOMER"	78.8
"EG11101-MONOMER"	24.1
"EG11105-MONOMER"	42.6
"EG11108-MONOMER"	39.1
"EG11110-MONOMER"	47.6
"EG11111-MONOMER"	23.0
"EG11112-MONOMER"	22.5
"EG11117-MONOMER"	40.1
"EG11118-MONOMER"	43.0
"EG11119-MONOMER"	44.4
"EG11121-MONOMER"	36.0
"EG11123-MONOMER"	37.8
"EG11124-MONOMER"	70.3
"EG11125-MONOMER"	44.8
"EG11126-MONOMER"	62.8
"EG11128-MONOMER"	34.7
"EG11131-MONOMER"	35.9
"EG11132-MONOMER"	47.2
"EG11133-MONOMER"	14.2
"EG11134-MONOMER"	61.8
"EG11136-MONOMER"	34.1
"EG11137-MONOMER"	43.4
"EG11139-MONOMER"	42.6
"EG11140-MONOMER"	77.9
"EG11144-MONOMER"	74.0
"EG11147-MONOMER"	52.6
"EG11149-MONOMER"	57.5
"EG11151-MONOMER"	23.9
"EG11152-MONOMER"	26.7
"EG11153-MONOMER"	42.5
"EG11157-MONOMER"	54.7
"EG11160-MONOMER"	48.3
"EG11162-MONOMER"	120.0
"EG11164-MONOMER"	29.5
"EG11165-MONOMER"	60.7
"EG11166-MONOMER"	52.0
"EG11171-MONOMER"	39.5
"EG11177-MONOMER"	44.3
"EG11178-MONOMER"	43.7
"EG11179-MONOMER"	48.6
"EG11180-MONOMER"	39.9
"EG11182-MONOMER"	32.0
"EG11183-MONOMER"	49.1
"EG11187-MONOMER"	37.4
"EG11188-MONOMER"	52.0
"EG11191-MONOMER"	37.7
"EG11192-MONOMER"	45.5
"EG11195-MONOMER"	40.7
"EG11199-MONOMER"	40.4
"EG11201-MONOMER"	31.6
"EG11202-MONOMER"	46.1
"EG11208-MONOMER"	42.2
"EG11211-MONOMER"	42.2
"EG11212-MONOMER"	67.2
"EG11214-MONOMER"	28.7
"EG11217-MONOMER"	57.8
"EG11222-MONOMER"	55.3
"EG11224-MONOMER"	31.4
"EG11232-MONOMER"	30.4
"EG11235-MONOMER"	33.0
"EG11237-MONOMER"	56.5
"EG11238-MONOMER"	42.9
"EG11239-MONOMER"	79.1
"EG11241-MONOMER"	30.6
"EG11244-MONOMER"	40.7
"EG11246-MONOMER"	43.7
"EG11247-MONOMER"	41.3
"EG11249-MONOMER"	33.8
"EG11251-MONOMER"	12.2
"EG11252-MONOMER"	42.2
"EG11254-MONOMER"	40.3
"EG11255-MONOMER"	81.2
"EG11256-MONOMER"	38.5
"EG11259-MONOMER"	48.8
"EG11261-MONOMER"	86.2
"EG11268-MONOMER"	41.2
"EG11281-MONOMER"	46.7
"EG11285-MONOMER"	41.8
"EG11288-MONOMER"	45.4
"EG11290-MONOMER"	58.7
"EG11291-MONOMER"	50.3
"EG11292-MONOMER"	42.4
"EG11293-MONOMER"	46.1
"EG11294-MONOMER"	45.4
"EG11295-MONOMER"	42.4
"EG11296-MONOMER"	38.4
"EG11298-MONOMER"	39.9
"EG11299-MONOMER"	50.1
"EG11305-MONOMER"	43.1
"EG11306-MONOMER"	30.6
"EG11311-MONOMER"	80.6
"EG11320-MONOMER"	65.1
"EG11323-MONOMER"	42.3
"EG11333-MONOMER"	41.2
"EG11336-MONOMER"	87.0
"EG11338-MONOMER"	38.1
"EG11344-MONOMER"	41.4
"EG11345-MONOMER"	42.3
"EG11354-MONOMER"	41.1
"EG11355-MONOMER"	33.4
"EG11356-MONOMER"	33.6
"EG11357-MONOMER"	42.0
"EG11360-MONOMER"	3.3
"EG11361-MONOMER"	55.0
"EG11362-MONOMER"	50.4
"EG11371-MONOMER"	35.7
"EG11372-MONOMER"	45.9
"EG11373-MONOMER"	32.6
"EG11376-MONOMER"	72.1
"EG11378-MONOMER"	35.2
"EG11383-MONOMER"	52.1
"EG11384-MONOMER"	49.4
"EG11385-MONOMER"	48.3
"EG11388-MONOMER"	9.2
"EG11389-MONOMER"	9.4
"EG11390-MONOMER"	40.9
"EG11391-MONOMER"	41.8
"EG11394-MONOMER"	42.5
"EG11396-MONOMER"	41.7
"EG11404-MONOMER"	44.1
"EG11410-MONOMER"	72.1
"EG11412-MONOMER"	43.2
"EG11413-MONOMER"	44.1
"EG11415-MONOMER"	32.2
"EG11422-MONOMER"	19.7
"EG11423-MONOMER"	56.7
"EG11430-MONOMER"	54.1
"EG11432-MONOMER"	37.3
"EG11433-MONOMER"	47.0
"EG11436-MONOMER"	43.1
"EG11437-MONOMER"	91.8
