# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Sat Feb  7 18:27:48 2026
id	common_name	half_life (units.min)
"EG10949-MONOMER"	"sfsA"	720.0
"DCTA-MONOMER"	"dctA"	720.0
"EG11782-MONOMER"	"smpB"	720.0
"SUCCCOASYN-BETA"	"sucC"	720.0
"EG11305-MONOMER"	"tatE"	69.87268926236948
"EG10996-MONOMER"	"tgt"	720.0
"EG11003-MONOMER"	"tig"	720.0
"TRYPTOPHAN-MONOMER"	"tnaA"	720.0
"TPI-MONOMER"	"tpiA"	720.0
"G6660-MONOMER"	"tpx"	720.0
"EG11023-MONOMER"	"trmD"	720.0
"TRYPSYN-APROTEIN"	"trpA"	720.0
"TRYPSYN-BPROTEIN"	"trpB"	720.0
"PD00423"	"trpR"	720.0
"THYMIDYLATESYN-MONOMER"	"thyA"	720.0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	"ubiE"	720.0
"EG11137-MONOMER"	"yebC"	720.0
"G7068-MONOMER"	"yeeN"	720.0
"EG11132-MONOMER"	"ppsR"	720.0
"EG11179-MONOMER"	"rimP"	720.0
"G7202-MONOMER"	"smrB"	459.1872855024987
"EG11100-MONOMER"	"ybaB"	720.0
"G6451-MONOMER"	"ybjQ"	720.0
"EG11323-MONOMER"	"ygfB"	720.0
"EG11320-MONOMER"	"nrdR"	720.0
"G6230-MONOMER"	"yaiI"	720.0
"G6550-MONOMER"	"ymdB"	720.0
"G6568-MONOMER"	"ycfP"	720.0
"EG12605-MONOMER"	"yacL"	546.6771136092663
"G6240-MONOMER"	"yajQ"	720.0
"URACIL-PRIBOSYLTRANS-MONOMER"	"upp"	720.0
"UDK-MONOMER"	"udk"	720.0
"EG11062-MONOMER"	"uvrB"	720.0
"EG11063-MONOMER"	"uvrC"	720.0
"PD01343"	"wrbA"	720.0
"EG11835-MONOMER"	"yihI"	720.0
"G7525-MONOMER"	"yqgF"	720.0
"EG10011-MONOMER"	"yaaA"	663.5794184075227
"EG11779-MONOMER"	"trmB"	720.0
"EG11254-MONOMER"	"rlmH"	720.0
"EG10244-MONOMER"	"dnaT"	520.0845396972616
"EG11592-MONOMER"	"ybeD"	138.67820319356142
"EG10844-MONOMER"	"rhlB"	720.0
"PSD-MONOMER"	"psd"	720.0
"MONOMER0-741"	"yaeP"	371.71240110463384
"SERS-MONOMER"	"serS"	720.0
"G6633-MONOMER"	"yciU"	720.0
"ASNS-MONOMER"	"asnS"	720.0
"THRS-MONOMER"	"thrS"	720.0
"G7087-MONOMER"	"tmaR"	720.0
"EG12855-MONOMER"	"matP"	720.0
"LYSS-MONOMER"	"lysS"	720.0
"LYSU-MONOMER"	"lysU"	720.0
"EG11211-MONOMER"	"epmA"	720.0
"EG11112-MONOMER"	"aat"	55.25147357656647
"G7532-MONOMER"	"yggX"	720.0
"EG11069-MONOMER"	"xerC"	246.2374379934915
"EG11071-MONOMER"	"xerD"	369.857390440641
"FUM-MEMB1"	"frdC"	720.0
"G6463-MONOMER"	"clpS"	39.99874274299454
"EG11879-MONOMER"	"rraA"	720.0
"EG11664-MONOMER"	"slyX"	720.0
"EG12870-MONOMER"	"ycjF"	720.0
"EG11449-MONOMER"	"hdfR"	720.0
"RPOC-MONOMER"	"rpoC"	720.0
"EG11650-MONOMER"	"yafD"	231.56678162336587
"G7175-MONOMER"	"rbn"	720.0
"RPOB-MONOMER"	"rpoB"	720.0
"PD01520"	"fadR"	720.0
"G7678-MONOMER"	"nanR"	720.0
"G7524-MONOMER"	"yqgE"	720.0
"EG11410-MONOMER"	"yjgA"	720.0
"EG12115-MONOMER"	"yjjG"	46.65095822710263
"EG11195-MONOMER"	"yidA"	720.0
"EG11121-MONOMER"	"yciA"	720.0
"G7837-MONOMER"	"blc"	720.0
"EG10658-MONOMER"	"bamC"	720.0
"G6881-MONOMER"	"slyB"	720.0
"EG10669-MONOMER"	"ompA"	720.0
"EG10684-MONOMER"	"pal"	720.0
"EG12117-MONOMER"	"ompX"	720.0
"PGPPHOSPHAB-MONOMER"	"pgpB"	720.0
"G7457-MONOMER"	"mltA"	308.20325365717474
"G6093-MONOMER"	"bamA"	720.0
"EG10850-MONOMER"	"rimI"	720.0
"EG10851-MONOMER"	"rimJ"	720.0
"SPERMACTRAN-MONOMER"	"speG"	720.0
"FABB-MONOMER"	"fabB"	720.0
"G7184-MONOMER"	"alaA"	720.0
"CHEW-MONOMER"	"cheW"	283.3872233974006
"EG12179-MONOMER"	"cspE"	47.741272931979026
"EG10242-MONOMER"	"dnaN"	720.0
"FRUCBISALD-CLASSI-MONOMER"	"fbaB"	720.0
"F16B-MONOMER"	"fbp"	720.0
"EG10347-MONOMER"	"ftsZ"	192.60801356017186
"PD00260"	"fur"	720.0
"ERYTH4PDEHYDROG-MONOMER"	"epd"	720.0
"GLUTAMINESYN-MONOMER"	"glnA"	720.0
"EG11517-MONOMER"	"glpX"	720.0
"GST-MONOMER"	"gstA"	720.0
"MONOMER0-2001"	"dapD"	720.0
"PD00242"	"araC"	120.0371781606419
"PD00197"	"fnr"	134.49138796797104
"PD00232"	"cysB"	720.0
"PD03938"	"metR"	69.02296650917339
"G6263-MONOMER"	"cueR"	167.62546252508503
"ISOCIT-LYASE-MONOMER"	"aceA"	720.0
"MONOMER0-185"	"modE"	720.0
"CFA-MONOMER"	"cfa"	36.902992247689156
"EG11149-MONOMER"	"gcvR"	720.0
"2-DEHYDROPANTOATE-REDUCT-MONOMER"	"panE"	432.8208016475578
"G6363-MONOMER"	"ybeZ"	720.0
"EG10735-MONOMER"	"phoU"	720.0
"EG11663-MONOMER"	"slyD"	720.0
"G7865-MONOMER"	"fklB"	720.0
"EG12352-MONOMER"	"ppiC"	720.0
"EG10542-MONOMER"	"lon"	720.0
"HYPOXANPRIBOSYLTRAN-MONOMER"	"hpt"	720.0
"GPT-MONOMER"	"gpt"	720.0
"EG12147-MONOMER"	"npr"	442.4078321314112
"PFLACTENZ-MONOMER"	"pflA"	720.0
"E3-MONOMER"	"lpd"	720.0
"THIOREDOXIN-REDUCT-NADPH-MONOMER"	"trxB"	720.0
"EG10215-MONOMER"	"deaD"	91.08699159189614
"GLUCONREDUCT-MONOMER"	"idnO"	720.0
"ARCA-MONOMER"	"arcA"	720.0
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	"accD"	720.0
"ADHE-MONOMER"	"adhE"	720.0
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	"asd"	720.0
"FERREDOXIN-MONOMER"	"fdx"	409.42487426241587
"FTSE-MONOMER"	"ftsE"	720.0
"LACTALDREDUCT-MONOMER"	"fucO"	720.0
"LIVG-MONOMER"	"livG"	720.0
"G7462-MONOMER"	"tas"	720.0
"G6259-MONOMER"	"ybaQ"	71.78800530600353
"G6423-MONOMER"	"ybiT"	720.0
"G7854-MONOMER"	"ulaR"	720.0
"YJJK-MONOMER"	"ettA"	720.0
"G7657-MONOMER"	"ibaG"	720.0
"ZNUC-MONOMER"	"znuC"	639.7206560163528
"PD03695"	"cspA"	86.8957292172894
"EG12204-MONOMER"	"cspC"	583.8683836940896
"PROTEIN-PII"	"glnB"	720.0
"PTSH-MONOMER"	"ptsH"	720.0
"OMPR-MONOMER"	"ompR"	720.0
"RED-THIOREDOXIN-MONOMER"	"trxA"	720.0
"EG12609-MONOMER"	"rluA"	720.0
"EG11118-MONOMER"	"rluC"	720.0
"G7449-MONOMER"	"truC"	720.0
"EG12044-MONOMER"	"rsuA"	720.0
"YEEF-MONOMER"	"plaP"	54.67635433371709
"G6265-MONOMER"	"qmcA"	720.0
"G7014-MONOMER"	"yobA"	720.0
"EG11824-MONOMER"	"yghB"	634.7703960581114
"G6990-MONOMER"	"yeaY"	720.0
"EG11089-MONOMER"	"yacC"	183.72296688658454
"G6108-MONOMER"	"dpaA"	117.49899146305647
"EG11877-MONOMER"	"uspD"	720.0
"EG11246-MONOMER"	"uspE"	720.0
"G6403-MONOMER"	"ybhL"	405.35486761160104
"EG12132-MONOMER"	"iscA"	126.10863600192232
"SDAC-MONOMER"	"sdaC"	250.35817711264906
"CYCA-MONOMER"	"cycA"	584.0144991924626
"GLTL-MONOMER"	"gltL"	720.0
"MDLB-MONOMER"	"mdlB"	720.0
"SAPD-MONOMER"	"sapD"	720.0
"SAPF-MONOMER"	"sapF"	720.0
"EG10484-MONOMER"	"hypB"	720.0
"EG11256-MONOMER"	"iraP"	314.46762486426076
"G6209-MONOMER"	"frmR"	720.0
"EG11097-MONOMER"	"yajD"	164.06141183944638
"G6253-MONOMER"	"ylaC"	47.512029462659314
"EG12879-MONOMER"	"ybcJ"	720.0
"EG12851-MONOMER"	"ybeL"	720.0
"EG11521-MONOMER"	"ybfA"	347.01118890372027
"G6380-MONOMER"	"pxpB"	720.0
"G6407-MONOMER"	"ybhP"	720.0
"G6422-MONOMER"	"ldtB"	720.0
"EG12690-MONOMER"	"rarA"	720.0
"G6472-MONOMER"	"ycaR"	720.0
"G6496-MONOMER"	"yccF"	720.0
"EG12703-MONOMER"	"yccJ"	461.9467874835155
"EG12876-MONOMER"	"tusE"	720.0
"G6527-MONOMER"	"efeO"	720.0
"EG11119-MONOMER"	"yceD"	720.0
"EG12444-MONOMER"	"ycfJ"	69.30577482921807
"G6565-MONOMER"	"lpoB"	720.0
"G6616-MONOMER"	"ycgL"	720.0
"G6611-MONOMER"	"ymgD"	621.1505640660462
"EG12404-MONOMER"	"ychN"	720.0
"EG12868-MONOMER"	"yciN"	720.0
"G6502-MONOMER"	"yccX"	690.8053458075531
"PNTB-MONOMER"	"pntB"	720.0
"FRUCTBISALD-CLASSII-MONOMER"	"fbaA"	720.0
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	"ilvE"	720.0
"EG10662-MONOMER"	"nth"	720.0
"ASL-MONOMER"	"purB"	720.0
"AROG-MONOMER"	"aroG"	720.0
"EG12237-MONOMER"	"arsC"	550.4107212093955
"ATPB-MONOMER"	"atpB"	720.0
"ATPF-MONOMER"	"atpF"	720.0
"ATPG-MONOMER"	"atpG"	720.0
"ATPA-MONOMER"	"atpA"	720.0
"ATPD-MONOMER"	"atpD"	720.0
"EG10435-MONOMER"	"hflC"	720.0
"EG10436-MONOMER"	"hflK"	720.0
"EG10113-MONOMER"	"bfr"	720.0
"BCCP-MONOMER"	"accB"	720.0
"EG10690-MONOMER"	"pcnB"	720.0
"G7287-MONOMER"	"eutM"	720.0
"CYTIDEAM-MONOMER"	"cdd"	720.0
"PHOSPHAGLYPSYN-MONOMER"	"pgsA"	720.0
"EG10339-MONOMER"	"ftsA"	720.0
"CITSYN-MONOMER"	"gltA"	720.0
"EG10156-MONOMER"	"clpA"	67.38686580109683
