"TUs"	"TU_Genes"	"Gene_Names"
TU0-13252	EG12110	"ydcF"
TU0-8690	EG12404	"ychN"
TU0-13637	G7293	"maeB"
TU00203	EG10774	"prs"
TU0-14030	EG11199	"mioC"
TU442	EG50003 // EG11318 // EG11317	"acpP" // "fabG" // "fabD"
TU0-14490	EG10159 // EG10158	"clpX" // "clpP"
TU0-41465	G6104	"ivy"
TU0-12842	G6099	"gloB"
TU0-6702	EG10932 // EG10931 // EG10934	"sdhB" // "sdhA" // "sdhD"
TU0-13236	G6696 // G6695 // G6694	"tfaR" // "stfR" // "lomR_2"
TU0-8673	EG12702	"ycaK"
TU0-13620	EG10534 // G0-10462	"ligA" // "ypeB"
TU00187	EG10557	"malI"
TU0-14014	EG11696 // EG11695 // EG11694	"yidH" // "yidG" // "yidF"
TU358	EG10174 // EG10173	"cydB" // "cydA"
TU0-14467	EG10390	"glnS"
TU0-3721	EG11942 // EG11943 // EG11448	"actP" // "yjcH" // "acs"
TU0-12823	EG10225	"dgt"
TU0-6646	EG10222 // EG10220	"deoD" // "deoB"
TU0-13219	G6667	"insH-4"
TU0-8654	G7523	"yqgD"
TU0-13603	G7227 // G7226 // G7225 // G7224 // G7223	"yfdO" // "yfdN" // "yfdM" // "yfdL" // "yfdK"
TU00171	EG11795	"gcvA"
TU0-13999	EG11266	"waaH"
TU3	EG11024 // EG11025 // EG11026	"trpA" // "trpB" // "trpC"
TU0-14439	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085	"lpxC" // "ftsZ" // "ftsA" // "ftsQ" // "ddlB" // "murC" // "murG" // "ftsW" // "murD" // "mraY" // "murF" // "murE" // "ftsI" // "ftsL" // "rsmH"
TU0-36423	EG30099	"ssrS"
TU0-12808	EG10338	"cra"
TU0-6564	EG10976	"ssb"
TU0-13200	EG12691 // G6637	"lapB" // "lapA"
TU0-8638	G6763	"yncE"
TU0-13586	G7192	"yfcE"
TU00155	EG11612	"proP"
TU0-13983	EG11267	"yiaB"
TU162	EG10269 // EG10672	"envZ" // "ompR"
TU0-1441	EG11977 // EG11976 // EG11975 // EG11224 // EG10324 // EG10323 // EG10322	"fliR" // "fliQ" // "fliP" // "fliO" // "fliN" // "fliM" // "fliL"
TU0-3623	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	"ddpF" // "ddpD" // "ddpC" // "ddpB" // "ddpA" // "ddpX"
TU0-12790	EG11511	"mog"
TU0-6510	EG10756	"ppc"
TU0-13179	EG12392	"dauA"
TU0-8621	G7899	"yjgZ"
TU0-13570	G7172	"pmrD"
TU00138	EG12292	"aldB"
TU0-13965	EG12244	"yhjA"
TU00521	EG30051 // EG30047 // EG30048	"leuV" // "leuP" // "leuQ"
TU0-14389	EG10608	"mreB"
TU0-3422	EG10834 // EG11100	"recR" // "ybaB"
TU0-1191	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	"rrfF" // "thrV" // "rrfD" // "rrlD" // "alaU" // "ileU" // "rrsD"
TU0-6443	EG10207	"dapD"
TU0-13163	G6608	"pdeG"
TU0-8603	EG11450	"maoP"
TU0-13554	EG11419	"bcr"
TU00122	EG10380 // EG10377 // EG10379	"glgP" // "glgA" // "glgC"
TU0-13947	EG12221	"acpT"
TU00505	EG30038 // EG30040 // EG30041	"glyV" // "glyX" // "glyY"
TU0-14368	EG11580	"ybiB"
TU0-3141	EG11237	"chiA"
TU0-1106	EG13270	"aqpZ"
TU0-6361	G7644	"yraP"
TU0-13147	G6583 // G6582	"ymfE" // "ymfD"
TU0-8587	EG12229	"yhiN"
TU0-13535	EG12024 // EG12023	"yohK" // "yohJ"
TU00106	EG10402	"gltA"
TU0-13929	G7743 // G7742	"hslR" // "yrfG"
TU00489	EG30025	"aspV"
TU0-14347	EG10015	"rodZ"
TU0-2649	EG12153	"narU"
TU-8438	G7033	"ftnB"
TU0-5901	EG10383	"glnA"
TU0-13129	EG11117	"yceB"
TU0-8569	G6418	"opgE"
TU0-13519	EG10586	"metG"
TU00089	EG10384	"glnB"
TU0-13910	G0-10465	"arfA"
TU00473	EG10384	"glnB"
TU0-14329	G0-8898	"C0299"
TU0-2422	G0-10689 // EG12525	"mgtL" // "mgtA"
TU-8408	EG11346	"fliE"
TU0-5562	EG10664 // G7533 // G7532 // EG10627	"nupG" // "mltC" // "yggX" // "mutY"
TU0-13113	EG12196	"yccE"
TU0-8553	G6251	"atl"
TU0-13502	G0-8884	"sibA"
TU00073	EG10037	"alkB"
TU0-13894	G7674	"yhcG"
TU00455	EG11463	"corA"
TU0-14312	G7424	"ftsB"
TU0-1981	EG11391	"osmY"
TU-8385	G7319 // G7320	"der" // "bamB"
TU0-5186	EG10048 // EG10047 // EG10523	"apaH" // "apaG" // "rsmA"
TU0-13097	EG50004	"rmf"
TU0-8537	G7216	"mlaA"
TU0-13485	G7087	"yeeX"
TU00057	EG10797	"purL"
TU0-13878	G7653 // G7652	"yhbV" // "yhbU"
TU00438	EG10896	"rpoD"
TU0-14293	EG11956	"alsK"
TU0-1761	EG10680	"osmC"
TU0-5	EG11318 // EG11317 // EG10277 // EG11437	"fabG" // "fabD" // "fabH" // "plsX"
TU0-13080	EG10947	"serS"
TU0-8519	G0-8875	"ryjA"
TU0-13467	G7057 // G7056	"hprR" // "hprS"
TU00041	EG10581	"metA"
TU0-13861	G7608	"ygjV"
TU00421	EG10157	"clpB"
TU0-14263	EG10375 // EG11199 // EG10093	"mnmG" // "mioC" // "asnC"
TU0-1541	EG11034	"tsr"
TU0-4822	G0-8874	"csrC"
TU0-13064	G6434 // G6433	"dgcI" // "pdeI"
TU0-8502	G7846 // G7845 // EG11259 // EG11212	"yjfI" // "rlmB" // "rnr" // "nsrR"
TU0-13450	EG11139	"yecA"
TU00025	EG11698 // EG10363 // EG10366 // EG10362	"galM" // "galK" // "galT" // "galE"
