"TUs"	"TU_Genes"	"Gene_Names"
TU0-1003	G6940 // G6941 // G6942 // G6943 // G6944	"astE" // "astB" // "astD" // "astA" // "astC"
TU0-6003	EG11712	"yidQ"
TU0-13136	G6568 // G6567 // G6566 // G6565 // G6564 // EG12172	"ycfP" // "nagZ" // "thiK" // "lpoB" // "ycfL" // "hinT"
TU0-8577	EG12794	"yhbY"
TU0-13526	EG12007 // EG12006	"yehU" // "yehT"
TU00096	EG11889 // EG11890	"dctR" // "slp"
TU0-13919	G7719 // G7718 // EG12903	"yheU" // "yheT" // "yheS"
TU00480	EG10788 // EG10789 // EG10165	"ptsH" // "ptsI" // "crr"
TU0-14338	G0-8902	"C0362"
TU0-2503	EG11013	"topA"
TU-8422	G6311 // G6310 // G6309	"rzpD" // "rrrD" // "essD"
TU0-5621	EG10062	"arcB"
TU0-13120	G6541 // G6540	"ycdY" // "ycdX"
TU0-8560	EG12851	"ybeL"
TU0-13510	G7133	"yegW"
TU00080	EG10280	"fadL"
TU0-13901	G7687 // G7686 // G7685	"aaeX" // "aaeA" // "aaeB"
TU00464	EG10757	"ppiA"
TU0-14320	EG12139	"qseG"
TU0-2082	EG11619	"mfd"
TU-8393	EG10136 // EG12434	"cca" // "ygiM"
TU0-5341	EG12009 // EG12010 // EG12011 // EG12012	"yehW" // "yehX" // "yehY" // "osmF"
TU0-13104	EG12876	"tusE"
TU0-8544	G6102	"yafU"
TU0-13492	G7089	"yeeZ"
TU00064	EG10953	"sodA"
TU0-13885	EG10017	"ispB"
TU00446	EG10156	"clpA"
TU0-14301	EG12328	"yadN"
TU0-1805	EG12344	"pspF"
TU0-5081	G6866 // EG11658 // EG11055	"uidC" // "uidB" // "uidA"
TU0-13087	G6471 // EG11409 // EG10613 // EG12375	"ycaQ" // "lpxK" // "msbA" // "ycaI"
TU0-8528	EG10995	"tesB"
TU0-13476	G7068	"yeeN"
TU00048	EG10669	"ompA"
TU0-13869	EG12754 // G7622	"yhaO" // "yhaM"
TU00429	EG10553	"lysU"
TU0-14276	EG10152 // EG10002 // EG12427	"modC" // "modB" // "modA"
TU0-1581	EG10166	"cspA"
TU0-4906	EG10367	"gapA"
TU0-13071	G6445	"ybjL"
TU0-8510	EG12216	"tusA"
TU0-13458	G7042 // G7041	"yedN_1" // "yedN_2"
TU00032	EG10502 // EG10494 // EG11275	"ilvN" // "ilvB" // "ivbL"
TU0-13852	G7599 // G7598	"ygjK" // "ygjJ"
TU00411	EG10416	"grpE"
TU0-1425	EG10347	"ftsZ"
TU0-14817	EG10703	"pgk"
TU0-4701	EG10524 // EG10526 // EG10527	"lacA" // "lacY" // "lacZ"
TU0-13054	G6413	"ybiX"
TU0-8493	EG10769	"proC"
TU0-13441	EG10614	"lpxM"
TU00016	EG10170	"cyaA"
TU0-13834	G7574	"ygiW"
TU00395	EG11554	"stpA"
TU0-14233	G7547	"yghO"
TU0-14792	G7487 // G7486 // G7485	"xdhC" // "xdhB" // "xdhA"
TU0-4483	EG11827	"rpiB"
TU0-13038	G6393	"zitB"
TU0-8476	EG30061	"metY"
TU0-13425	EG12866 // EG10760	"proQ" // "prc"
TU0-965	EG11879 // EG11880	"rraA" // "menA"
TU0-13818	EG12883	"pitB"
TU00379	EG10701 // EG11258	"pflB" // "focA"
TU0-14217	EG12114	"prfC"
TU0-14764	EG11053 // EG11052 // EG11051 // EG10502 // EG10494 // EG11275	"uhpC" // "uhpB" // "uhpA" // "ilvN" // "ilvB" // "ivbL"
TU0-14761	EG11385 // EG11384	"ahpF" // "ahpC"
TU0-42638	G7347 // G7348 // EG12341 // EG11897	"rseC" // "rseB" // "rseA" // "rpoE"
TU0-8364	EG12121	"rssB"
TU0-13022	G6371	"ybfN"
TU0-13406	G6981	"yeaQ"
TU0-8856	EG11272	"pheM"
TU00359	EG11089 // EG10962 // EG10963	"yacC" // "speD" // "speE"
TU0-13800	EG11160	"mscS"
TU0-14196	G7919	"nanS"
TU0-14719	EG12242	"gadW"
TU0-42599	EG10085	"ascB"
TU0-8344	EG10301 // EG10487 // EG10486 // EG10485 // EG10484 // EG10483	"fhlA" // "hypE" // "hypD" // "hypC" // "hypB" // "hypA"
TU0-13004	EG11306	"lipA"
TU0-13389	G6952	"ynjE"
TU0-8835	G7150	"insH-8"
TU00340	EG10892 // EG10862	"rpmH" // "rnpA"
TU0-13782	G7500 // G7499	"xdhD" // "ygfM"
TU0-14179	G7895 // G7894 // G0-10546	"insD-6" // "insC-6" // "insCD-6"
TU0-14694	EG10735 // EG10783	"phoU" // "pstB"
TU0-42576	G0-16601	"micL"
TU0-8326	G7075	"yoeA"
TU0-12988	G6325	"ybdJ"
TU0-13372	G6916	"ydiM"
TU0-8819	EG11527	"narP"
TU00323	EG11403 // EG11510	"ppx" // "ppk"
TU0-13765	G7474	"pbl"
TU0-14163	G7870	"ytfI"
TU0-14674	EG10599	"groL"
TU0-42549	G6706	"feaR"
TU0-12969	G6295	"ybcC"
TU0-8262	G7777	"insK"
TU0-13356	G6886	"sodC"
TU0-8804	EG10406	"gltS"
TU0-13747	EG10624	"mutH"
TU00308	EG11519 // EG12075 // EG12076 // EG12077 // EG12078 // EG12079	"nikR" // "nikA" // "nikB" // "nikC" // "nikD" // "nikE"
TU0-14146	EG11211	"epmA"
TU0-14651	EG10510	"rpoS"
TU0-42525	EG10335	"frr"
TU0-12951	EG10431	"hemH"
TU0-8150	EG11338	"msyB"
TU0-13338	G6851	"ynfK"
TU0-8781	EG10202	"dacB"
TU0-13730	G7437	"ygcS"
TU00289	G7554 // EG11805 // EG11804 // EG11803 // EG11802 // EG11801 // EG11800 // EG11799	"hybO" // "hybG" // "hybF" // "hybE" // "hybD" // "hybC" // "hybB" // "hybA"
TU0-14128	EG11954 // EG11953 // EG11952	"mdtN" // "mdtO" // "mdtP"
TU864	EG11734	"phoH"
TU0-14633	EG10803	"pykA"
TU0-42501	G6603	"bluF"
TU0-12933	G6245	"queC"
TU0-8001	EG10389	"glnQ"
TU0-13322	G6831 // G6830	"ydfU" // "ydfT"
TU0-8761	G7679	"dcuD"
TU0-13713	G7406 // G7405	"ygaH" // "ygaZ"
TU00273	G358 // G359 // G360 // G361 // G362 // G363 // G364 // G365 // G366	"flgB" // "flgC" // "flgD" // "flgE" // "flgF" // "flgG" // "flgH" // "flgI" // "flgJ"
TU0-14112	EG11926 // EG11925 // EG11924	"yjbH" // "yjbG" // "yjbF"
TU789	G6852	"mlc"
TU0-14612	EG12867	"ampH"
TU0-42477	EG10531	"leuO"
TU0-12913	EG11256	"iraP"
TU0-7784	EG11233 // G6864	"rstB" // "rstA"
TU0-13305	G6812	"yneJ"
TU0-8744	G7359	"yfjH"
TU0-13695	G7372 // G7371 // G7370 // G7369	"yfjT" // "yfjS" // "ypjK" // "yfjR"
TU00256	EG10658 // EG10205	"bamC" // "dapA"
TU0-14089	EG11902	"yijE"
TU684	G7022 // G7023	"torZ" // "torY"
TU0-14561	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281	"hflC" // "hflK" // "hflX" // "hfq" // "miaA" // "mutL"
TU0-42457	EG11447	"csrA"
TU0-12894	G6189 // G6188	"yahJ" // "yahI"
TU0-7581	EG10747	"polB"
TU0-13289	EG11744	"pqqL"
TU0-8728	EG12881	"yfaH"
TU0-13677	EG11151	"raiA"
TU00240	EG11627 // EG11626 // EG11625 // EG11624	"artM" // "artQ" // "artI" // "artP"
TU0-14068	EG11847 // EG11846 // EG11845	"yihU" // "yihT" // "yihS"
TU586	EG12243 // EG50009	"gadX" // "gadA"
TU0-14536	G7542 // EG20080	"glcA" // "glcB"
TU0-42202	EG10908	"rpsI"
TU0-12878	G6163 // G6162 // G6161 // G6160	"ecpB" // "ecpC" // "ecpD" // "ecpE"
TU0-7262	EG11598 // EG11597 // EG11666 // EG11596	"moaE" // "moaD" // "moaC" // "moaB"
TU0-13272	G6760	"curA"
TU0-8712	G6975	"yeaL"
TU0-13658	EG10983	"suhB"
TU00224	EG10944	"serA"
TU0-14051	EG11472	"rmuC"
TU524	G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG10498 // EG11270	"ilvX" // "ilvG_1" // "ilvA" // "ilvD" // "ilvE" // "ilvM" // "ilvG_2" // "ilvL"
TU0-14516	G6447	"ybjN"
TU0-41806	EG12205	"cspF"
TU0-12862	G6132 // G6131 // G6130	"insO-1" // "insI-1" // "insN-1"
TU0-7021	G6456 // G6457	"hcr" // "hcp"
TU0-13256	G6736	"mokB"
TU0-8695	G6658	"ycjW"
TU0-13641	EG11460	"narQ"
TU00207	G7103 // G7104 // G7105 // G7106 // G7107	"wcaB" // "wcaA" // "wzc" // "wzb" // "wza"
TU0-14034	EG12352	"ppiC"
TU482	EG30069 // EG11175 // EG11176 // EG10016 // EG12760	"rnpB" // "garK" // "garR" // "garL" // "garP"
TU0-14494	EG11362 // EG10230	"gluQ" // "dksA"
TU0-4161	EG10658	"bamC"
TU0-12846	G6106	"lpcA"
TU0-6843	G7920 // G7921	"nanM" // "nanC"
TU0-13240	G6700	"ompN"
TU0-8678	G6487	"ycbX"
TU0-13624	G7262	"murR"
TU00191	EG10583	"metC"
TU0-14018	G7789 // EG20051 // EG20049 // GB4478 // EG20053	"dgoR" // "dgoK" // "dgoA" // "dgoD" // "dgoT"
TU363	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	"ccmH" // "ccmG" // "ccmF" // "ccmE" // "ccmD" // "ccmC" // "ccmB" // "ccmA" // "napC" // "napB" // "napH" // "napG" // "napA" // "napD" // "napF"
TU0-14471	EG10168 // G6361 // G6362 // G6363	"lnt" // "ybeX" // "ybeY" // "ybeZ"
TU0-3862	EG11078 // EG10652	"nhaR" // "nhaA"
TU0-1283	EG10359	"fur"
TU0-6650	EG10451 // EG10448 // EG10444 // EG10450 // EG10445	"hisI" // "hisF" // "hisA" // "hisH" // "hisB"
TU0-13223	G6674	"ydaN"
TU0-8659	G7641	"rsmI"
TU0-13607	G0-9621	"torI"
TU00175	EG10441	"ihfB"
TU0-14002	EG11193	"dinD"
TU306	EG10518	"kdsA"
TU0-14448	G6464	"ftsK"
TU0-36427	EG10525 // G6201	"lacI" // "mhpR"
TU0-12811	EG12107 // EG12106 // EG11798	"ppdD" // "hofB" // "hofC"
TU0-6583	G7636 // G7635 // EG12770 // EG12769 // EG12768 // G7634	"agaI" // "agaD" // "agaC" // "agaB" // "kbaY" // "agaS"
TU0-13206	G2002 // G2001 // G2000 // EG12304 // EG12305	"sapA" // "sapB" // "sapC" // "sapD" // "sapF"
TU0-8642	G6955	"ynjH"
TU0-13590	G7197	"rpnB"
TU00159	EG10357	"fumB"
TU0-13987	EG12293	"yiaY"
TU183	EG10312	"fimE"
TU0-14415	EG10452 // EG10007 // EG12125 // EG12124	"hisP" // "hisM" // "hisQ" // "hisJ"
TU0-36403	EG10821	"rcsB"
TU0-12794	EG10373 // G0-9563	"mokC" // "hokC"
TU0-6514	EG11296 // EG10945	"radA" // "serB"
TU0-13183	EG12119	"ychJ"
TU0-8625	G7923	"iraD"
TU0-13574	G7176	"elaD"
TU00142	EG10176 // EG10175 // EG10177	"cynT" // "cynS" // "cynX"
TU0-13969	EG12251	"yhjG"
TU00526	G7347 // G7348 // EG12341	"rseC" // "rseB" // "rseA"
TU0-14394	EG11081 // EG11080 // EG10548 // EG10492	"ispH" // "fkpB" // "lspA" // "ileS"
TU0-3426	G6227 // EG10928	"yaiW" // "sbmA"
TU0-1195	EG10828 // EG10242	"recF" // "dnaN"
TU0-6483	EG10108	"bcp"
TU0-13167	G6612 // G6611	"ymgG" // "ymgD"
TU0-8608	EG11937	"yjcB"
TU0-13558	EG12049 // EG12043	"yejM" // "yejL"
TU00126	EG11143	"ubiG"
TU0-13951	EG11525	"yhhI"
TU00509	EG30093	"serT"
TU0-14372	EG30024	"aspU"
TU0-3163	EG10174 // EG10173	"cydB" // "cydA"
TU0-1142	EG10787	"ptsG"
TU0-6403	EG10206	"dapB"
TU0-13151	G6598 // EG12877 // G6597 // G6596 // G6595 // G6594 // G6593 // G6592 // G6591 // G6590	"ymfS" // "ycfK" // "ymfQ" // "jayE" // "beeE" // "ymfR" // "ymfN" // "ymfM" // "ymfL" // "ymfT"
TU0-8591	EG12288	"yiaT"
TU0-13541	EG12105	"yeiE"
TU00110	EG10134 // EG10135	"carA" // "carB"
TU0-13933	EG11750	"rpnA"
TU00493	EG30111 // EG30112	"valV" // "valW"
TU0-14352	G6890	"nemA"
TU0-2707	EG10588	"metJ"
TU0-0	EG10188	"cysG"
TU0-5981	EG11050 // EG11048 // EG11049 // EG11046 // EG11047	"ugpQ" // "ugpC" // "ugpE" // "ugpA" // "ugpB"
TU0-13133	G6563	"yceQ"
TU0-8574	G7647	"yhbO"
TU0-13523	EG12003 // EG12002 // EG11999 // EG11998	"yehQ" // "yehP" // "yehM" // "yehL"
TU00093	EG10617	"mtr"
TU0-13915	G7715 // G7714 // G7713 // G7712	"yheO" // "tusD" // "tusC" // "tusB"
TU00477	EG10670	"ompC"
TU0-14334	G0-8905	"isrC"
TU0-2447	G7002	"mgrB"
TU-8417	EG12254	"yhjJ"
TU0-5569	G7532	"yggX"
TU0-13117	G6534 // G6533 // G0-10531	"insE-4" // "insF-4" // "insEF-4"
TU0-8557	G6316	"ybcY"
TU0-13506	G0-8878	"cyaR"
TU00077	EG10184	"cysB"
TU0-13898	EG11652 // G7682	"degS" // "degQ"
TU00460	EG10292 // EG10291	"fecR" // "fecI"
TU0-14316	EG12262	"yhjR"
TU0-2041	EG20098	"hpt"
TU-8390	EG10504	"infA"
TU0-5261	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059	"ccmH" // "ccmG" // "ccmF" // "ccmE" // "ccmD" // "ccmC" // "ccmB" // "ccmA"
TU0-13101	G6498	"yccT"
TU0-8541	EG11649	"yafC"
TU0-13489	EG11895 // EG11894	"yeeE" // "yeeD"
TU00061	EG10807	"pyrD"
TU0-13882	G7655	"yhbX"
TU00443	EG10703 // EG10368	"pgk" // "epd"
TU0-14298	G6462 // G6461	"macB" // "macA"
TU0-1783	EG10589	"metK"
TU0-5041	EG20249	"uxuR"
TU0-13084	G6468	"ycaO"
TU0-8524	G6259	"ybaQ"
TU0-13471	G7063	"mtfA"
TU00045	EG10642	"narK"
TU0-13866	G7617	"yhaH"
TU00426	EG10897	"rpoH"
TU0-14273	EG10859	"rne"
TU0-1547	EG10151 // EG10150 // EG10147 // EG10148 // EG10987 // EG10988	"cheZ" // "cheY" // "cheB" // "cheR" // "tap" // "tar"
TU0-4903	EG11495	"hdeD"
TU0-13068	G6441	"ybjH"
TU0-8506	EG10889	"rpmE"
TU0-13455	EG11661 // EG11660	"yedF" // "yedE"
TU00029	EG10385 // EG10387 // EG10383	"glnG" // "glnL" // "glnA"
TU0-13848	EG11673	"folB"
TU00408	EG11109	"mngR"
TU0-14245	G0-10443	"ymdF"
TU0-14813	EG10699	"pfkA"
TU0-4642	G7017	"znuA"
TU0-13051	EG11581	"hcxB"
TU0-8490	EG11549	"pepT"
TU0-13438	EG11808	"yebG"
TU00013	EG10117	"bioA"
TU0-13831	G7570	"ygiS"
TU00392	G6543 // G6544 // G6545 // G6546	"csgG" // "csgF" // "csgE" // "csgD"
TU0-1423	EG10347	"ftsZ"
TU0-14786	EG11942	"actP"
TU0-4461	EG12522	"garD"
TU0-8473	G6877	"dtpA"
TU0-13421	EG12207	"rlmA"
TU0-962	EG10956	"sohB"
TU0-13815	G7541	"yghJ"
TU00375	EG10249	"dsdA"
TU0-14213	G7946	"yjjP"
TU0-14210	EG12587	"lgoT"
TU0-14750	G6339 // G6340 // G6341 // G6342 // G6343 // G6344	"citG" // "citX" // "citF" // "citE" // "citD" // "citC"
TU0-42628	G7656 // EG11499 // EG50002 // EG50001	"obgE" // "yhbE" // "rpmA" // "rplU"
TU0-8360	EG12245	"treF"
TU0-13017	G6363 // G6362	"ybeZ" // "ybeY"
TU0-13403	G6973	"yeaK"
TU0-8848	EG10535	"lit"
TU00356	EG11014 // EG11134 // EG10943	"topB" // "ydjA" // "selD"
TU0-13796	G7515	"yqfE"
TU0-14193	EG12557 // G0-10241 // EG12556 // G7915 // EG12554 // G7914 // G7913	"sgcX" // "sgcB" // "sgcC" // "sgcQ" // "sgcA" // "sgcE" // "sgcR"
TU0-14716	G0-10602	"sibE"
TU0-42594	EG12663 // EG12662 // EG12661 // G0-9383 // G6359	"gltL" // "gltK" // "gltJ" // "sroC" // "gltI"
TU0-8340	EG11346	"fliE"
TU0-13001	EG12179	"cspE"
TU0-13385	G6935	"ydjO"
TU0-8832	G7672	"insH-10"
TU00337	EG11232 // EG10766 // EG10876 // EG10888 // EG10904 // EG10879 // EG10869 // EG10907 // EG10913 // EG10868 // EG10884 // EG10875	"rpmJ" // "secY" // "rplO" // "rpmD" // "rpsE" // "rplR" // "rplF" // "rpsH" // "rpsN" // "rplE" // "rplX" // "rplN"
TU0-13779	G7495	"yqeC"
TU0-14176	G7889 // G7888	"lptG" // "lptF"
TU0-14691	G7158 // G7159 // G7160 // G7161	"yfaU" // "yfaV" // "rhmD" // "yfaX"
TU0-42571	EG11157 // EG10056	"ygeA" // "araE"
TU0-12983	G6317	"tfaX"
TU0-13369	G6914	"ydiK"
TU0-8816	EG12108	"norR"
TU00320	EG10745 // EG10744	"pntB" // "pntA"
TU0-13762	G7471	"ygeG"
TU0-14160	G7867	"ytfF"
TU0-14671	EG12176	"yjdC"
TU0-42545	G0-10472 // G7830	"ghoT" // "ghoS"
TU0-12966	G6290	"sfmA"
TU0-8244	EG11136	"yebB"
TU0-13353	G6878	"gstA"
TU0-8799	EG11103	"fimZ"
TU0-13744	EG10786 // EG10824 // EG10826	"ptrA" // "recB" // "recD"
TU00305	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	"ccmH" // "ccmG" // "ccmF" // "ccmE" // "ccmD" // "ccmC" // "ccmB" // "ccmA" // "napC" // "napB" // "napH" // "napG" // "napA" // "napD" // "napF"
TU0-14142	G7835	"yjeJ"
TU0-14648	G7321	"yfgM"
TU0-42518	EG12428	"rhoL"
TU0-12946	EG12843	"ybaN"
TU0-8147	G6764	"ansP"
TU0-13335	G6842 // G6841	"speG" // "ynfB"
TU0-8778	EG12209	"crcB"
TU0-13727	G7431	"queD"
TU00286	EG10460 // EG10458	"hsdS" // "hsdM"
TU0-14125	EG11941	"yjcF"
TU861	EG12031	"yeiL"
TU0-14630	EG10804	"pykF"
TU0-42497	EG11362 // EG10230	"gluQ" // "dksA"
TU0-12928	EG11003	"tig"
TU0-7901	EG10594 // EG10592	"mglC" // "mglA"
TU0-13319	G6823	"gnsB"
TU0-8758	G7577	"ygiZ"
TU0-13710	G7398 // G7397	"ygaP" // "ygaV"
TU00269	EG12933 // EG12101 // EG12102	"feoC" // "feoA" // "feoB"
TU0-14107	EG11919	"yjbB"
TU784	EG11738	"rsd"
TU0-1461	EG20044	"dctA"
TU0-42472	G7350	"patZ"
TU0-12910	G6224 // G6223 // G0-10529	"insE-2" // "insF-2" // "insEF-2"
TU0-7746	G7234 // G7235 // G7236 // G7237 // G7238	"yfdE" // "yfdV" // "oxc" // "frc" // "yfdX"
TU0-13302	G6808	"dgcF"
TU0-8741	EG11785	"yfiE"
TU0-13692	G7363 // G7362	"abpA" // "abpB"
TU00253	EG11217 // EG11218 // EG10730 // EG10145	"creA" // "creB" // "creC" // "creD"
TU0-14082	EG11875	"yiiR"
TU68	EG20253	"xylR"
TU0-14555	EG11187	"yibA"
TU0-42454	EG10050	"appY"
TU0-12891	G6182	"yahC"
TU0-7521	EG11428	"sthA"
TU0-13286	G6775	"adhP"
TU0-8725	G7110	"yegJ"
TU0-13673	EG12857	"yfiM"
TU00237	EG10041 // EG10042	"ampD" // "ampE"
TU0-14065	EG11842 // EG11841	"yihP" // "yihO"
TU582	EG11620	"rnb"
TU0-14532	EG10610 // EG10609	"mreD" // "mreC"
TU0-4202	EG10427	"hemA"
TU0-12875	G6153	"yagP"
TU0-7201	G7331	"hcaR"
TU0-13269	G6756	"ortT"
TU0-8708	G6868	"ydgJ"
TU0-13655	EG11601	"sseB"
TU00221	EG10553	"lysU"
TU0-14048	EG11468	"rhtC"
TU521	EG11249 // EG10571 // EG10835	"mazF" // "mazE" // "relA"
TU0-14513	EG10131	"cadA"
TU0-41795	G6787 // G6788	"ydeM" // "ydeN"
TU0-12859	G6126 // G6125 // G6124 // G6123 // G6122 // G0-10432 // G6121 // G6120	"yafY" // "ykfB" // "ykfF" // "yafX" // "ykfG" // "ykfH" // "yafW" // "ykfI"
TU0-7	EG11034	"tsr"
TU0-13253	EG10172	"cybB"
TU0-8691	EG12405	"ychO"
TU0-13638	G7295	"ypfG"
TU00204	EG10960 // EG10959	"speB" // "speA"
TU0-14031	EG11731 // EG11730	"ravA" // "viaA"
TU443	EG50003 // EG11318	"acpP" // "fabG"
TU0-14491	G7531 // G7530	"yggW" // "rdgB"
TU0-41509	G6228	"yaiY"
TU0-12843	EG10243	"dnaQ"
TU0-6821	EG10167	"cstA"
TU0-13237	G6697	"pinR"
TU0-8674	G6467	"ycaN"
TU0-13621	G7258	"zipA"
TU00188	EG10628	"fpr"
TU0-14015	EG11706 // EG11705	"yidK" // "yidJ"
TU359	EG12177	"cutA"
TU0-14468	EG10732 // EG10731	"phoQ" // "phoP"
TU0-3723	EG11942 // EG11943 // EG11448	"actP" // "yjcH" // "acs"
TU0-12825	EG12336	"yaeH"
TU0-6647	EG10243	"dnaQ"
TU0-13220	G6668	"ynaJ"
TU0-8656	G7559	"yqhA"
TU0-13604	G7229 // G7228	"yfdQ" // "yfdP"
TU00172	EG10389 // EG10388 // EG10386	"glnQ" // "glnP" // "glnH"
TU0-14	EG10412	"gor"
TU301	EG13159 // G85	"xapB" // "xapA"
TU0-14443	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086	"lpxC" // "ftsZ" // "ftsA" // "ftsQ" // "ddlB" // "murC" // "murG" // "ftsW" // "murD" // "mraY" // "murF" // "murE" // "ftsI" // "ftsL"
TU0-36424	EG30099	"ssrS"
TU0-12809	EG10265	"lpxC"
TU0-6569	EG10046	"ansB"
TU0-13203	G6640	"yciW"
TU0-8639	G6843	"ynfC"
TU0-13587	G7193	"yfcF"
TU00156	EG10643 // EG10646	"narL" // "narX"
TU0-13984	EG10107	"avtA"
TU163	EG10269 // EG10672	"envZ" // "ompR"
TU0-14412	EG10258	"eno"
TU0-36398	EG11411	"glnD"
TU0-12791	EG11512	"satP"
TU0-6511	EG10837	"rep"
TU0-13180	G6631	"ychS"
TU0-8622	G7902	"yjhD"
TU0-13571	G7173	"elaB"
TU00139	EG10457	"hns"
TU0-13966	EG12247	"yhjC"
TU00522	EG11088 // EG10024 // EG10025 // EG10543	"pdhR" // "aceE" // "aceF" // "lpd"
TU0-14390	EG10608	"mreB"
TU0-3423	EG10952	"bamE"
TU0-1192	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	"rrfF" // "thrV" // "rrfD" // "rrlD" // "alaU" // "ileU" // "rrsD"
TU0-6444	EG10702	"pgi"
TU0-13164	G0-10261	"ymgF"
TU0-8605	EG11462	"yigE"
TU0-13555	EG12044	"rsuA"
TU00123	EG10558 // EG10528 // EG10559	"malK" // "lamB" // "malM"
TU0-13948	EG10847	"rhsB"
TU00506	EG30053	"leuX"
TU0-14369	EG10013	"mepM"
TU0-3145	G7486 // G7487 // G7485	"xdhB" // "xdhC" // "xdhA"
TU0-1122	EG10234 // EG10233 // EG10232	"dmsC" // "dmsB" // "dmsA"
TU0-6362	G7871	"ytfJ"
TU0-13148	G6586 // G6585 // EG12370	"ymfH" // "xisE" // "intE"
TU0-8588	EG12246	"yhjB"
TU0-13537	G7144 // EG12025	"yeiS" // "sanA"
TU00107	EG10489	"icd"
TU0-13930	G7744	"hslO"
TU00490	EG30104	"thrW"
TU0-14349	EG11537	"yceH"
TU0-2661	EG12153	"narU"
TU-8439	G495	"bglA"
TU0-5903	EG10383	"glnA"
TU0-13130	EG12688	"grxB"
TU0-8571	EG11171	"tsaD"
TU0-13520	G8208	"molR_2"
TU00090	EG10495	"ilvC"
TU0-13911	EG11970 // EG11969	"yhdN" // "zntR"
TU00474	EG10384	"glnB"
TU0-14330	G0-8893	"tpke11"
TU0-2441	EG12202	"treR"
TU-8411	G379 // G378 // G377 // EG11656 // EG11654 // EG11347	"fliK" // "fliJ" // "fliI" // "fliH" // "fliG" // "fliF"
TU0-5564	EG10664 // G7533 // G7532	"nupG" // "mltC" // "yggX"
TU0-13114	EG11540 // EG12703	"wrbA" // "yccJ"
TU0-8554	G6229	"yaiZ"
TU0-13503	G0-8885	"sibB"
TU00074	EG11384 // EG11385	"ahpC" // "ahpF"
TU0-13895	G7678	"nanR"
TU00456	EG10957	"soxR"
TU0-14313	EG11816 // G7423	"ispF" // "ispD"
TU0-2	EG10831	"recN"
TU-8387	EG12658 // G7575	"qseC" // "qseB"
TU0-5201	EG10048 // EG10047 // EG10523 // EG10691	"apaH" // "apaG" // "rsmA" // "pdxA"
TU0-13098	G6493	"ycbZ"
TU0-8538	G8202	"yaaI"
TU0-13486	EG11891	"yeeA"
TU00058	EG10798 // EG10799	"purM" // "purN"
TU0-13879	G7654	"yhbW"
TU00439	EG12129 // EG11332	"uraA" // "upp"
TU0-14294	EG12386	"csiR"
TU0-1762	EG10680	"osmC"
TU0-5001	EG11535	"ibpB"
TU0-13081	EG11242	"ycaD"
TU0-8521	EG10975	"srmB"
TU0-13468	G7058	"yedX"
TU00042	EG10587	"metH"
TU0-13863	G7614 // G7613 // G7612 // G7611	"yqjK" // "yqjE" // "yqjD" // "yqjC"
TU00423	EG12311 // EG11328 // EG12130 // EG12131	"iscX" // "fdx" // "hscA" // "hscB"
TU0-14264	EG11879	"rraA"
TU0-1544	G6562 // G369	"flgN" // "flgM"
TU0-4823	EG11330 // EG10361 // EG11329	"gabP" // "gabT" // "gabD"
TU0-13065	G6436	"bssR"
TU0-8503	G6423	"ybiT"
TU0-13451	EG10706	"pgsA"
TU00026	EG11698 // EG10363 // EG10366 // EG10362	"galM" // "galK" // "galT" // "galE"
TU0-13845	G0-8913	"sibD"
TU00405	EG11509	"htgA"
TU0-14242	G6747	"yncJ"
TU0-14805	EG10432	"hemL"
TU0-4604	EG12368 // G7018	"znuB" // "znuC"
TU0-13048	G6404	"ybhM"
TU0-8487	G7259	"pdxK"
TU0-13435	EG11004	"ptrB"
TU00010	EG10080	"aroH"
TU0-13828	EG11376	"ftsP"
TU00389	EG10679	"osmB"
TU0-14227	EG11492	"qorA"
TU0-14783	EG12079 // EG11519 // EG12078 // EG12077 // EG12076 // EG12075	"nikE" // "nikR" // "nikD" // "nikC" // "nikB" // "nikA"
TU0-4421	EG10635	"nagE"
TU0-8469	G7129	"fbaB"
TU0-13035	G6391	"lysZ"
TU0-13419	G6998	"yobD"
TU0-921	EG11116	"yceA"
TU0-13811	G7536 // G7535	"yghE" // "yghD"
TU00372	EG11065	"uxaB"
TU0-8874	EG10695	"pepD"
TU0-13808	EG12704	"yggM"
TU00369	EG11369 // EG11370	"ubiC" // "ubiA"
TU0-14207	EG11386	"yjiV"
TU0-14745	EG10576	"mdh"
TU0-42620	G0-10699	"sdsN"
TU0-8355	EG10329	"mutM"
TU0-13014	G6358	"rihA"
TU0-13400	G6968	"mipA"
