FE,ZN,MN,CU,MO,NI,CO,Protein ID
0,0,0,0,0,0,0,CPLX0-3802
0,0,0,0,0,0,0,CPLX0-3803
0,2,0,0,0,3,0,CPLX0-3821
0,0,0,0,0,0,0,CPLX0-3841
0,0,0,0,0,0,0,CPLX0-3861
0,0,0,0,0,0,0,CPLX0-3881
0,0,0,0,0,0,0,CPLX0-3901
0,0,0,0,0,0,0,CPLX0-3921
0,0,0,0,0,0,0,CPLX0-3923
0,0,0,0,0,0,0,CPLX0-3924
0,0,0,0,0,0,0,CPLX0-3925
0,0,0,0,0,0,0,CPLX0-3927
0,4,0,0,0,0,0,CPLX0-3929
0,2,0,0,0,0,0,CPLX0-3930
0,0,0,0,0,0,0,CPLX0-3931
0,0,0,0,0,0,0,CPLX0-3932
0,0,0,0,0,0,0,CPLX0-3933
0,0,0,0,0,0,0,CPLX0-3934
0,0,0,0,0,0,0,CPLX0-3936
0,0,0,0,0,0,0,CPLX0-3937
0,0,0,3,0,0,0,CPLX0-3938
0,0,0,0,0,0,0,CPLX0-3939
0,0,0,0,0,0,0,CPLX0-3941
0,0,0,0,0,0,0,CPLX0-3943
0,0,0,0,0,0,0,CPLX0-3948
24,0,0,0,0,0,0,CPLX0-3949
0,0,0,0,0,0,0,CPLX0-3950
0,0,0,0,0,0,0,CPLX0-3951
0,0,0,0,0,0,0,CPLX0-3952
0,0,0,0,0,0,0,CPLX0-3954
0,0,0,0,0,0,0,CPLX0-3955
0,0,0,0,0,0,0,CPLX0-3956
0,0,0,0,0,0,0,CPLX0-3957
0,0,0,0,0,0,0,CPLX0-3958
0,0,0,0,0,0,0,CPLX0-3959
0,0,0,0,0,0,0,CPLX0-3961
72,0,0,0,0,0,0,CPLX0-3969
0,0,0,0,0,0,0,CPLX0-3970
0,0,0,0,0,0,0,CPLX0-3971
0,0,0,0,0,0,0,CPLX0-3
0,0,0,0,0,0,0,CPLX0-4
0,0,0,0,0,0,0,CPLX0-661
0,0,0,0,0,0,0,CPLX0-682
0,0,0,0,0,0,0,CPLX0-721
0,0,0,0,0,0,0,CPLX0-7415
0,0,0,0,0,0,0,CPLX0-7417
0,0,0,0,0,0,0,CPLX0-7418
0,0,0,0,0,0,0,CPLX0-7420
0,0,0,0,0,0,0,CPLX0-7421
0,0,0,0,0,0,0,CPLX0-7422
0,0,0,0,0,0,0,CPLX0-7423
0,0,0,0,0,0,0,CPLX0-7425
0,0,0,0,0,0,0,CPLX0-7426
0,0,0,0,0,0,0,CPLX0-743
0,0,0,0,0,0,0,CPLX0-7444
0,0,0,0,0,0,0,CPLX0-7450
0,0,0,0,0,0,0,CPLX0-7451
0,0,0,0,0,0,0,CPLX0-7452
8,0,0,0,0,0,0,CPLX0-7458
0,0,0,0,0,0,0,CPLX0-7462
0,0,0,0,0,0,0,CPLX0-7465
0,0,0,0,0,0,0,CPLX0-7466
0,4,0,0,0,0,0,CPLX0-7521
0,0,0,0,0,0,0,CPLX0-7525
0,0,0,0,0,0,0,CPLX0-7529
0,0,0,0,0,0,0,CPLX0-7530
0,0,0,0,0,0,0,CPLX0-7532
0,0,0,0,0,0,0,CPLX0-7533
0,0,0,0,0,0,0,CPLX0-7534
0,0,0,0,0,0,0,CPLX0-7535
0,0,0,0,0,0,0,CPLX0-7536
0,0,0,0,0,0,0,CPLX0-7538
0,0,0,0,0,0,0,CPLX0-7561
8,0,0,0,0,0,0,CPLX0-7564
0,0,0,0,0,0,0,CPLX0-7597
0,0,0,0,0,0,0,CPLX0-7608
0,0,0,0,0,0,0,CPLX0-7609
0,0,0,0,0,0,0,CPLX0-7610
0,0,0,0,0,0,0,CPLX0-7613
0,0,0,0,0,0,0,CPLX0-7614
0,0,0,0,0,0,0,CPLX0-7615
0,0,0,0,0,0,0,CPLX0-7616
0,0,0,0,0,0,0,CPLX0-7617
2,0,0,0,1,0,0,CPLX0-761
0,0,0,0,0,0,0,CPLX0-7622
0,0,0,0,0,0,0,CPLX0-7623
