"Gene"	"M9 Glucose minus AAs"
"EG10630"	10.2437233333
"EG10631"	9.19963666667
"EG10632"	9.16309
"EG10633"	8.81250666667
"EG10634"	10.1605766667
"EG10635"	9.8773
"EG10636"	9.42694666667
"EG10637"	8.13121333333
"EG10638"	9.08812666667
"EG10639"	8.98425333333
"EG10640"	8.51320333333
"EG10641"	9.28383
"EG10642"	8.68243666667
"EG10643"	9.99992333333
"EG10644"	8.50124
"EG10645"	9.39622
"EG10646"	8.34216333333
"EG10647"	8.40200333333
"EG10648"	8.85997666667
"EG10649"	9.45469333333
"EG10650"	11.2455333333
"EG10651"	9.75698666667
"EG10652"	9.44343333333
"EG10653"	9.16534333333
"EG10654"	9.0878
"EG10655"	8.95313333333
"EG10656"	8.27492333333
"EG10657"	9.52097333333
"EG10658"	10.55308
"EG10659"	10.4964066667
"EG10660"	9.76538333333
"EG10661"	9.46719333333
"EG10662"	8.11309
"EG10663"	10.9180666667
"EG10664"	8.14392
"EG10665"	11.8387666667
"EG10666"	10.8329433333
"EG10667"	10.1597133333
"EG10668"	7.56624333333
"EG10669"	13.4030333333
"EG10670"	11.39737
"EG10671"	13.1999666667
"EG10672"	9.06222666667
"EG10673"	12.28
"EG10674"	10.96089
"EG10675"	10.3893333333
"EG10676"	10.1470466667
"EG10677"	9.88745333333
"EG10678"	9.98287333333
"EG10679"	10.8259333333
"EG10680"	11.0834333333
"EG10681"	9.32386333333
"EG10682"	8.87384333333
"EG10683"	9.74507
"EG10684"	11.8177
"EG10685"	8.73839666667
"EG10686"	9.97504333333
"EG10687"	9.48171666667
"EG10688"	9.87082
"EG10689"	10.1200366667
"EG10690"	10.8748666667
"EG10691"	9.67351333333
"EG10693"	10.2082133333
"EG10694"	10.1374966667
"EG10695"	9.96458
"EG10696"	9.94985666667
"EG10697"	10.27382
"EG10698"	9.94704
"EG10699"	10.8649666667
"EG10700"	10.7618
"EG10701"	9.76676666667
"EG10702"	9.76636333333
"EG10703"	10.75471
"EG10704"	9.35002333333
"EG10705"	9.70440666667
"EG10706"	9.07849666667
"EG10707"	9.43681333333
"EG10708"	8.64270333333
"EG10709"	10.7785366667
"EG10710"	11.7765666667
"EG10711"	9.88819
"EG10712"	8.97900666667
"EG10713"	8.51079
"EG10714"	8.63039333333
"EG10715"	7.79709666667
"EG10716"	9.43582
"EG10717"	8.96143333333
"EG10718"	9.40323
"EG10719"	9.94434666667
"EG10720"	9.08939333333
"EG10721"	8.54887
"EG10722"	9.02612666667
"EG10723"	8.52047333333
"EG10724"	8.86512333333
"EG10725"	8.42609666667
"EG10727"	8.96371
"EG10728"	8.77950333333
"EG10729"	7.43678333333
"EG10730"	7.88997666667
"EG10731"	11.1942666667
"EG10732"	8.76660666667
"EG10733"	7.72186333333
"EG10734"	10.0225033333
"EG10735"	8.39330333333
"EG10736"	9.48796
"EG10737"	9.21559333333
"EG10738"	8.91672666667
"EG10739"	9.62238666667
"EG10740"	9.50969333333
"EG10741"	9.58672
"EG10742"	9.78455
"EG10743"	11.5835666667
"EG10744"	11.7721666667
"EG10745"	11.0243333333
"EG10746"	9.57658
"EG10747"	8.57251333333
"EG10748"	9.47364333333
"EG10749"	9.86182
"EG10750"	8.67195333333
"EG10751"	10.4527466667
"EG10752"	10.6666333333
"EG10753"	7.32684
"EG10754"	10.7710333333
"EG10755"	10.74459
"EG10756"	10.6368866667
"EG10757"	10.05921
"EG10758"	11.34497
"EG10759"	10.24965
"EG10760"	9.63742333333
"EG10761"	9.75497333333
"EG10762"	11.1844566667
"EG10763"	8.71528666667
"EG10764"	11.68026
"EG10765"	10.2113633333
"EG10766"	12.8195333333
"EG10767"	8.34524
"EG10768"	9.77371
"EG10769"	9.89436666667
"EG10770"	10.8588
"EG10771"	9.10687312087
"EG10772"	8.99943
"EG10773"	9.28369333333
"EG10774"	9.95864
"EG10775"	10.1432766667
"EG10776"	10.85161
"EG10777"	11.1972033333
"EG10778"	10.4661866667
"EG10779"	10.6076066667
"EG10780"	10.33801
"EG10781"	9.73793
"EG10782"	9.75119333333
"EG10783"	10.7834666667
"EG10784"	9.34769666667
"EG10785"	9.69607333333
"EG10786"	9.51159
"EG10787"	11.0975433333
"EG10788"	12.0328666667
"EG10789"	12.7457
"EG10790"	10.0840166667
"EG10791"	11.6085
"EG10792"	9.99919333333
"EG10793"	10.34549
"EG10794"	9.74899
"EG10795"	10.3553266667
"EG10796"	10.6009
"EG10797"	9.50867666667
"EG10798"	10.16362
"EG10799"	10.664
"EG10800"	9.82821333333
"EG10801"	9.29888333333
"EG10802"	9.87118666667
"EG10803"	9.72128666667
"EG10804"	10.47289
"EG10805"	12.2942333333
"EG10806"	10.73916
"EG10807"	9.73353333333
"EG10808"	8.64942
"EG10809"	9.34914666667
"EG10810"	11.2888
"EG10811"	11.4082366667
"EG10812"	9.55702
"EG10813"	5.58564666667
"EG10814"	8.13468333333
"EG10815"	10.8583
"EG10816"	9.02272333333
"EG10817"	11.3499666667
"EG10818"	9.58815333333
"EG10819"	9.15165
"EG10820"	6.86007333333
"EG10821"	10.4328566667
"EG10822"	9.21034333333
"EG10823"	10.9804333333
"EG10824"	9.09718
"EG10825"	8.5406
"EG10826"	9.03279
"EG10827"	7.97695
"EG10828"	8.9676
"EG10829"	9.126
"EG10830"	9.21701333333
"EG10831"	7.98860333333
"EG10832"	9.31288333333
"EG10833"	9.13097333333
"EG10834"	10.1786166667
"EG10835"	9.52544333333
"EG10836"	10.6815433333
"EG10837"	9.46578
"EG10838"	10.932
"EG10839"	8.72268
"EG10840"	8.92981666667
"EG10841"	7.58683333333
"EG10842"	8.22454666667
"EG10843"	8.02702333333
"EG10844"	10.6789333333
"EG10845"	10.9132666667
"EG10846"	9.10687312087
"EG10847"	5.89436666667
"EG10848"	7.71492666667
"EG10849"	6.63256333333
"EG10850"	10.3690666667
"EG10851"	10.8269333333
"EG10852"	10.1329566667
"EG10853"	8.49461
"EG10854"	9.66362666667
"EG10855"	10.10336
"EG10856"	8.97002
"EG10857"	9.54613
