"Gene"	"M9 Glucose minus AAs"
"EG10389"	10.82445
"EG10390"	10.4911
"EG10391"	7.180225
"EG10392"	7.337685
"EG10393"	6.759705
"EG10394"	8.641535
"EG10395"	10.08023
"EG10396"	8.497175
"EG10397"	9.7312
"EG10398"	7.23611
"EG10399"	8.595115
"EG10400"	9.524835
"EG10401"	5.300805
"EG10402"	9.85686
"EG10403"	11.3575
"EG10404"	10.78185
"EG10405"	8.48258
"EG10406"	8.80421
"EG10407"	11.0766
"EG10408"	11.8536
"EG10409"	10.914
"EG10410"	10.4696
"EG10411"	11.9414
"EG10412"	10.42625
"EG10413"	9.62233
"EG10414"	10.65085
"EG10415"	9.92244
"EG10416"	10.87625
"EG10417"	9.930645
"EG10418"	10.95505
"EG10419"	10.28745
"EG10420"	11.5168
"EG10421"	11.6298
"EG10422"	10.8513
"EG10423"	10.8004
"EG10424"	10.4637
"EG10425"	9.58666
"EG10426"	9.783965
"EG10427"	9.431545
"EG10428"	9.780225
"EG10429"	10.219
"EG10430"	9.95998
"EG10431"	8.83968
"EG10432"	10.002505
"EG10433"	9.725375
"EG10434"	9.651245
"EG10435"	10.2867
"EG10436"	10.89225
"EG10437"	10.6678
"EG10438"	11.312
"EG10439"	10.7327
"EG10440"	11.10005
"EG10441"	11.5017
"EG10442"	8.66029
"EG10443"	8.820135
"EG10444"	10.5133
"EG10445"	9.45388
"EG10446"	10.35085
"EG10447"	9.624625
"EG10448"	10.57415
"EG10449"	10.8688
"EG10450"	9.98468
"EG10451"	10.2477
"EG10452"	9.609515
"EG10453"	11.2484
"EG10454"	10.05981
"EG10455"	11.94275
"EG10456"	7.936275
"EG10457"	12.07915
"EG10458"	9.549665
"EG10459"	8.990655
"EG10460"	9.731735
"EG10461"	9.54418
"EG10462"	10.2362
"EG10463"	9.51007
"EG10464"	9.234775
"EG10465"	9.922855
"EG10466"	12.1499
"EG10467"	11.4472
"EG10468"	7.93828
"EG10469"	6.86286
"EG10470"	7.094555
"EG10471"	6.91249
"EG10472"	6.76656
"EG10473"	7.2566
"EG10474"	6.930365
"EG10475"	5.24235
"EG10476"	7.95337
"EG10477"	7.37604
"EG10478"	8.270645
"EG10479"	7.938325
"EG10480"	8.0008
"EG10481"	8.62762
"EG10482"	7.921225
"EG10483"	8.47481
"EG10484"	8.69921
"EG10485"	8.2181
"EG10486"	8.298125
"EG10487"	6.75114
"EG10488"	9.502645
"EG10489"	13.6012
"EG10490"	9.7637
"EG10491"	10.1971
"EG10492"	10.2665
"EG10493"	9.35804
"EG10494"	10.178765
"EG10495"	12.06485
"EG10496"	9.80983
"EG10497"	10.5265
"EG10498"	9.10687312127
"EG10499"	10.34822
"EG10500"	10.4003
"EG10501"	9.35612
"EG10502"	9.840225
"EG10503"	8.043225
"EG10504"	11.91285
"EG10505"	11.49445
"EG10506"	13.6647
"EG10507"	9.456065
"EG10508"	10.2782
"EG10509"	10.47403
"EG10510"	11.88935
"EG10511"	10.4831
"EG10512"	8.189235
"EG10513"	7.496495
"EG10514"	7.961435
"EG10515"	8.164945
"EG10516"	8.739055
"EG10517"	8.640775
"EG10518"	10.38295
"EG10519"	10.14225
"EG10520"	9.134615
"EG10521"	8.581825
"EG10522"	12.2986
"EG10523"	10.674
"EG10524"	8.13648
"EG10525"	8.643405
"EG10526"	9.10687312127
"EG10527"	5.56626
"EG10528"	9.43389
"EG10529"	10.53625
"EG10530"	10.49685
"EG10531"	7.896405
"EG10532"	10.6258
"EG10533"	9.64618
"EG10534"	9.318125
"EG10535"	9.040225
"EG10536"	9.990635
"EG10537"	9.952275
"EG10538"	10.1743
"EG10539"	12.1887
"EG10540"	11.09355
"EG10541"	9.910455
"EG10542"	10.06703
"EG10543"	12.2944
"EG10544"	13.7816
"EG10545"	10.29915
"EG10546"	9.556905
"EG10547"	11.865
"EG10548"	10.80425
"EG10549"	11.216595
"EG10550"	10.08413
