gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
paoD	[1]	10	[2]	NA
parC	1554	320	143	0.83
parE	2414	381	151	1.23
patA	8	789	[3]	NA
pbpC	18	11	7	0.19
pbpG	1005	242	50	1.55
pck	7029	639	234	2.31
pcm	556	167	102	0.42
pcnB	1518	422	217	0.54
pdhR	2126	270	516	0.32
pdxA	275	136	123	0.17
pdxB	1893	733	144	1.01
pdxH	1180	672	62	1.45
pdxJ	1846	1057	68	2.09
pdxK	1273	629	44	2.2
pdxY	853	281	45	1.47
pepA	2548	1308	214	0.91
pepB	2611	1370	128	1.56
pepD	7408	1694	254	2.25
pepE	236	81	[9]	NA
pepN	3051	1248	110	2.13
pepP	1224	870	135	0.7
pepQ	2511	1223	118	1.64
pepT	244	341	16	1.17
perR	[10]	6	[2]	NA
pfkA	4667	2811	189	1.9
pfkB	807	1152	27	2.33
pflA	2129	527	70	2.33
pflB	10029	5982	395	1.95
pflC	[2]	[2]	[3]	NA
pflD	12	12	[2]	NA
pgaA	[1]	[1]	[1]	NA
pgaB	[1]	2	[1]	NA
pgaC	[4]	[3]	[1]	NA
pgaD	[12]	21	[3]	NA
pgi	9385	3613	305	2.37
pgk	25539	12205	749	2.62
pgl	2592	2076	85	2.34
pgm	3596	1172	253	1.09
pgpA	443	96	84	0.41
pgpB	80	67	16	0.37
pgsA	736	396	46	1.23
pheA	1783	862	68	2.03
pheL	365	309	219	0.13
pheM	379	148	[103]	NA
pheP	720	99	84	0.66
pheS	8935	1594	412	1.67
pheT	8573	2097	449	1.47
phnC	[0]	[3]	[0]	NA
phnD	[1]	5	[1]	NA
phnF	[0]	[1]	[0]	NA
phnG	[0]	[1]	[0]	NA
phnH	[3]	[1]	[0]	NA
phnI	[1]	[1]	[1]	NA
phnJ	[0]	[1]	[0]	NA
phnK	[2]	[1]	[0]	NA
phnL	[1]	[3]	[0]	NA
phnM	[0]	[1]	[1]	NA
phnN	[2]	[3]	[2]	NA
phnO	79	125	[11]	NA
phnP	27	33	[7]	NA
phoA	89	190	7	0.94
phoB	212	212	25	0.66
phoE	62	40	[4]	NA
phoH	20	457	[4]	NA
phoP	1508	1331	69	1.67
phoQ	130	70	35	0.29
phoR	69	34	13	0.4
phoU	1185	797	109	0.84
php	[0]	[2]	[1]	NA
phr	21	37	6	0.26
pinE	[14]	[2]	[1]	NA
pinR+pinQ	31	37	[2]	NA
pitA	3649	422	499	0.56
pitB	14	[1]	[3]	NA
pldA	1175	273	80	1.13
pldB	130	81	73	0.14
pliG	761	6872	[15]	NA
plsB	1896	445	143	1.02
plsC	862	174	97	0.68
plsX	204	117	752	0.02
plsY	200	93	29	0.54
pmbA	2444	615	103	1.82
pmrD	258	147	[24]	NA
pncA	1341	391	96	1.08
pncB	2424	1038	273	0.68
pnp	11905	3545	694	1.32
pntA	1896	6116	130	1.12
pntB	1164	2712	139	0.65
pnuC	1384	532	175	0.61
polA	2028	541	88	1.76
polB	32	16	13	0.2
potA	3596	564	285	0.97
potB	1319	189	244	0.42
potC	1173	194	262	0.34
potD	9151	3262	384	1.83
potE	[5]	14	[5]	NA
potF	257	1061	14	1.41
potG	75	223	10	0.56
potH	28	77	[7]	NA
potI	20	48	[9]	NA
poxB	40	877	[2]	NA
ppa	66605	16471	1796	2.85
ppc	2530	4441	109	1.79
ppdA	[1]	[1]	[3]	NA
ppdB	[4]	[2]	[3]	NA
ppdC	[10]	[12]	[12]	NA
ppdD	[0]	[0]	[0]	NA
pphA	[8]	13	[2]	NA
pphB	[15]	[6]	[2]	NA
ppiA	4423	1179	148	2.29
ppiB	25909	8773	730	2.73
ppiC	9133	1330	246	2.85
ppiD	3717	666	243	1.18
ppk	257	244	40	0.49
pppA	179	10	81	0.17
ppsA	2730	1434	132	1.59
ppsR	453	384	17	2.02
pptA	323	924	[16]	NA
ppx	415	250	34	0.93
pqiA	143	34	48	0.23
pqiB	439	96	52	0.65
pqqL	48	30	4	0.96
prc	1482	718	203	0.56
prfA	1059	210	72	1.13
prfB	10031	1732	523	1.48
prfC	7808	922	352	1.71
priA	105	59	26	0.31
priB	1148	245	5886	0.02
priC	161	100	27	0.47
prkB	190	218	16	0.92
prlC	3082	908	112	2.13
prmA	3883	384	129	2.31
prmB	1886	939	133	1.09
prmC	188	36	45	0.32
proA	2289	803	150	1.18
proB	2048	536	167	0.94
proC	1913	1150	46	3.23
proP	465	613	70	0.51
proQ	13828	2396	691	1.54
proS	12156	2265	622	1.5
proV	83	232	12	0.55
proW	91	146	11	0.66
proX	170	370	9	1.44
proY	1294	80	107	0.93
prpB	[0]	[0]	[0]	NA
prpC	[0]	[1]	[0]	NA
prpD	[1]	[1]	[0]	NA
prpE	[0]	[0]	[1]	NA
prpR	[0]	10	[0]	NA
prr	40	228	[3]	NA
prs	19750	3998	1071	1.42
psd	1980	486	128	1.19
psiE	[8]	128	[3]	NA
psiF	[17]	454	[2]	NA
pspA	1652	602	40	3.18
pspB	341	240	[21]	NA
pspC	300	111	[18]	NA
pspD	100	53	[15]	NA
pspE	1557	590	45	2.68
pspF	121	66	[8]	NA
pspG	124	52	[17]	NA
pssA	1855	535	158	0.9
pstA	467	195	73	0.49
pstB	1847	955	106	1.34
pstC	452	163	76	0.46
pstS	1011	2121	94	0.83
psuG	14	11	[0]	NA
psuK	[2]	[0]	[0]	NA
psuT	[0]	[1]	[3]	NA
pta	13861	1157	651	1.64
pth	1966	403	127	1.2
ptrA	227	140	26	0.67
ptrB	86	142	5	1.36
ptsA	[4]	[2]	[1]	NA
ptsG	15389	3454	1225	0.97
ptsH	54232	23646	1322	3.16
ptsI	15068	5491	975	1.19
ptsN	1827	729	154	0.91
ptsP	401	222	85	0.36
purA	11727	5661	611	1.48
purB	7380	3041	263	2.15
purC	2986	6708	83	2.77
purD	1072	1372	56	1.48
purE	1068	1194	64	1.28
purF	1339	2061	79	1.3
purH	1919	2560	71	2.09
purK	655	745	57	0.88
purL	1132	1417	70	1.25
purM	1596	2891	76	1.61
purN	753	426	79	0.74
purP	2980	576	258	0.89
purR	4198	1217	216	1.5
purT	671	1987	23	2.23
purU	5277	2324	189	2.15
putA	222	64	17	0.98
putP	1637	361	105	1.2
puuA	109	822	7	1.13
puuB	31	391	[2]	NA
puuC	24	392	[2]	NA
puuD	84	607	[9]	NA
puuE	14	291	[1]	NA
puuP	13	48	[4]	NA
puuR	246	260	17	1.09
pykA	2749	1611	101	2.09
pykF	12968	6184	313	3.19
pyrB	1359	23504	43	2.43
pyrC	4309	5040	133	2.49
pyrD	1798	1337	83	1.68
pyrE	823	119	23	2.72
pyrF	3128	1286	154	1.57
pyrG	14494	1874	731	1.53
pyrH	8703	2531	438	1.53
pyrI	1082	26096	47	1.77
pyrL	1097	370	562	0.15
qmcA	178	150	16	0.85
qorA	217	643	14	1.17
qorB	201	160	[5]	NA
qseB	138	74	[9]	NA
qseC	94	29	9	0.8
qseD	58	25	18	0.24
queA	1361	238	100	1.05
queC	1975	443	71	2.15
queD	2724	360	85	2.47
queF	1522	318	72	1.63
quuD	[6]	[6]	[2]	NA
quuQ	19	11	[4]	NA
racC	[9]	[9]	[0]	NA
racR	267	260	55	0.37
radA	428	148	71	0.46
raiA	3606	5010	145	1.91
ralR	[28]	[12]	[1]	NA
rapA	5109	347	226	1.74
rarA	309	95	44	0.54
rarD	331	43	44	0.58
ravA	140	119	15	0.72
rbbA	180	147	34	0.4
rbfA	6180	1133	311	1.53
rbn	468	153	23	1.55
rbsA	263	56	52	0.39
rbsB	1714	780	112	1.18
rbsC	324	66	57	0.44
rbsD	585	114	320	0.14
rbsK	816	144	69	0.91
rbsR	93	30	18	0.4
rcnA	48	360	[5]	NA
rcnR	287	700	[17]	NA
rcsA	[14]	74	[1]	NA
rcsB	5968	2820	193	2.37
rcsC	102	70	19	0.41
rcsD	287	179	47	0.47
rcsF	3116	1180	94	2.54
rdgB	1397	448	82	1.31
rdgC	2964	681	101	2.25
rdoA	407	104	108	0.29
recA	10377	2926	314	2.54
recB	93	36	29	0.25
recC	118	41	27	0.33
recD	113	46	21	0.41
recE	15	8	[1]	NA
recF	149	41	89	0.13
recG	112	56	48	0.18
recJ	504	118	84	0.46
recN	407	131	40	0.79
recO	85	34	90	0.07
recQ	155	63	51	0.23
recR	1342	226	441	0.23
recT	28	33	[2]	NA
recX	71	17	[10]	NA
relA	356	213	64	0.43
relB	2831	1688	62	3.52
relE	377	145	51	0.57
rem	[4]	[4]	[5]	NA
rep	453	102	60	0.58
rfaB	261	71	59	0.34
rfaC	403	113	83	0.37
rfaD	8651	2094	380	1.75
rfaE	2803	646	157	1.38
rfaF	772	184	182	0.33
rfaG	374	95	59	0.48
rfaH	596	193	81	0.57
rfaI	236	75	62	0.29
rfaJ	461	97	66	0.54
rfaL	451	236	47	0.73
rfaP	272	77	60	0.35
rfaQ	454	95	70	0.5
rfaS	219	76	49	0.34
rfaY	427	113	62	0.53
rfaZ	279	65	45	0.48
rfbA	3760	1372	248	1.16
rfbB	5290	1257	325	1.25
rfbC	1965	752	209	0.72
rfbD	2876	821	234	0.94
rfbX	614	192	153	0.31
rfc	377	109	142	0.2
rfe	1448	232	241	0.46
rffA	969	289	87	0.86
rffC	143	39	73	0.15
rffD	1074	185	161	0.51
rffE	1326	200	167	0.61
rffG	868	158	128	0.52
rffH	528	115	117	0.35
rffM	590	121	60	0.75
rffT	324	75	53	0.47
rhaA	[4]	5	[0]	NA
rhaB	[0]	[0]	[1]	NA
rhaD	29	13	[0]	NA
rhaM	[9]	[5]	[1]	NA
rhaR	[2]	[1]	[2]	NA
rhaS	[4]	9	[1]	NA
rhaT	[1]	[2]	[2]	NA
rhlB	3459	1055	239	1.11
rhlE	815	100	54	1.16
rhmA	78	41	[3]	NA
rhmD	[1]	[1]	[1]	NA
rhmR	[0]	[0]	[0]	NA
rhmT	[0]	[1]	[2]	NA
rho	17921	3478	637	2.17
rhsA	[0]	[0]	[0]	NA
rhsB	[1]	[0]	[1]	NA
rhsC	[0]	[0]	[1]	NA
rhsD	2	2	2	0.07
rhtA	132	26	12	0.85
rhtB	84	166	[8]	NA
rhtC	225	239	27	0.64
ribA	2328	563	90	2
ribB	3124	916	134	1.79
ribC	2279	1072	75	2.33
ribD	617	278	109	0.43
ribE	10923	2677	402	2.09
ribF	720	233	216	0.26
rihA	516	175	16	2.43
rihB	[0]	[1]	[0]	NA
rihC	612	85	23	2.04
rimI	625	156	95	0.51
rimJ	362	306	51	0.55
rimK	101	46	55	0.14
rimL	174	217	[13]	NA
rimM	6216	994	6215	0.08
rimN	2394	378	157	1.17
rimO	4329	718	108	3.07
rimP	6151	1220	636	0.74
rlmA	1014	189	43	1.81
rlmB	2258	403	101	1.72
rlmE	1629	325	284	0.44
rlmF	928	215	52	1.38
rlmG	1106	118	57	1.5
rlmH	1099	177	233	0.36
rlmI	3062	480	124	1.9
rlmL	1759	312	115	1.17
rlmM	2057	333	133	1.19
rlmN	3887	544	220	1.36
rlpA	1308	726	124	0.81
rluA	585	74	179	0.25
rluB	6949	899	244	2.19
rluC	2439	386	158	1.19
rluD	2383	716	104	1.77
rluE	364	172	27	1.05
rluF	519	172	41	0.97
rmf	256	16122	[23]	NA
rmuC	62	16	13	0.36
rna	1489	470	55	2.1
rnb	4732	2002	213	1.71
rnc	3393	676	258	1.01
rnd	785	89	53	1.14
rne	2729	1061	174	1.21
rng	440	370	86	0.39
rnhA	804	175	43	1.43
rnhB	604	131	112	0.42
rnk	3754	502	94	3.07
rnlA	565	132	58	0.75
rnpA	1940	363	1407	0.11
rnr	1121	605	82	1.05
rnt	1089	204	47	1.77
rob	1593	673	131	0.93
rodZ	1309	576	128	0.79
rof	1158	791	87	1.03
rpe	2199	1654	154	1.1
rph	5342	1017	227	1.81
rpiA	8526	2819	372	1.76
rpiB	84	52	[4]	NA
rpiR	328	124	27	0.94
rplA	143769	21791	8182	1.35
rplB	126480	17791	10230	0.95
rplC	118352	19167	10066	0.9
rplD	131359	18688	11087	0.91
rplE	111791	19113	12510	0.69
rplF	117546	16781	11142	0.81
rplI	139354	18410	6295	1.7
rplJ	138126	23350	14153	0.75
rplK	153601	21385	8545	1.38
rplL	472965	64335	12304	2.96
rplM	119510	22804	7749	1.19
rplN	118153	18836	13396	0.68
rplO	117266	16851	11311	0.8
rplP	131270	20173	8946	1.13
rplQ	154167	23606	10607	1.12
rplR	109512	18122	10710	0.79
rplS	155640	26080	5379	2.23
rplT	114460	22225	7393	1.19
rplU	147570	20068	7005	1.62
rplV	133394	19514	10935	0.94
rplW	103687	17428	9163	0.87
rplX	79197	17387	11876	0.51
rplY	137338	19540	3340	3.16
rpmA	139118	25031	6202	1.73
rpmB	177562	33382	6549	2.09
rpmC	122129	13870	9284	1.01
rpmD	110113	18522	11199	0.76
rpmE	181267	21585	5064	2.75
rpmF	196317	45388	5504	2.74
rpmG	153443	29757	7551	1.56
rpmH	195605	28497	6975	2.16
rpmI	161842	30428	7273	1.71
rpmJ	118492	15771	13215	0.69
rpoA	47625	8447	11949	0.31
rpoB	16156	4059	1502	0.83
rpoC	17553	3715	1662	0.81
rpoD	11809	2284	537	1.69
rpoE	532	212	124	0.33
rpoH	3424	1154	290	0.91
rpoN	459	316	139	0.25
rpoS	2254	10222	246	0.71
rpoZ	29488	7159	898	2.53
rppH	626	233	156	0.31
rpsA	126181	18934	6239	1.56
rpsB	143643	23487	5729	1.93
rpsC	114735	19343	9553	0.92
rpsD	158063	25885	12444	0.98
rpsE	114899	16467	11927	0.74
rpsF	170065	26478	7114	1.84
rpsG	151573	29110	7943	1.47
rpsH	110023	13620	10562	0.8
rpsI	175324	22455	9251	1.46
rpsJ	159240	18951	11053	1.11
rpsK	136478	19238	11889	0.88
rpsL	138745	31150	8609	1.24
rpsM	118618	19239	12246	0.75
rpsN	135510	22095	10516	0.99
rpsO	155015	25378	5549	2.15
rpsP	162221	25778	5468	2.28
rpsQ	118366	22711	11386	0.8
rpsR	153647	22547	5058	2.34
rpsS	120180	19074	10161	0.91
rpsT	169651	32415	7935	1.64
rpsU	197851	39044	5022	3.03
rraA	3341	1630	305	0.84
rraB	10698	3435	319	2.58
rsd	314	719	58	0.42
rseA	1136	1576	146	0.6
rseB	493	291	94	0.41
rseC	244	119	59	0.32
rseP	392	135	218	0.14
rsgA	1289	331	146	0.68
rsmA	3312	500	186	1.37
rsmB	1406	211	91	1.18
rsmC	2214	401	101	1.69
rsmD	745	178	41	1.41
rsmE	1010	251	82	0.95
rsmF	447	85	29	1.19
rsmG	2210	268	105	1.62
rsmH	976	344	183	0.41
rsmI	953	226	46	1.6
rspA	13	13	[1]	NA
rspB	20	24	[0]	NA
rssA	256	142	32	0.61
rssB	170	116	25	0.51
rstA	389	221	30	0.98
rstB	101	53	16	0.48
rsuA	2485	754	116	1.65
rsxA	444	143	87	0.39
rsxB	466	103	70	0.51
rsxC	469	157	55	0.66
rsxD	357	104	53	0.51
rsxE	393	152	46	0.66
rsxG	392	162	56	0.54
rtcA	32	11	9	0.26
rtcB	67	45	7	0.7
rtcR	[8]	6	[3]	NA
rtn	41	41	8	0.42
rumA	503	138	47	0.83
rumB	259	63	44	0.46
rusA	[0]	[0]	[0]	NA
rutA	[0]	4	[0]	NA
rutB	[0]	[3]	[0]	NA
rutC	[0]	[4]	[0]	NA
rutD	[0]	[2]	[0]	NA
rutE	[0]	[4]	[0]	NA
rutF	[9]	23	[0]	NA
rutG	[2]	5	[2]	NA
rutR	201	92	20	0.77
ruvA	657	249	54	0.94
ruvB	452	196	43	0.81
ruvC	462	61	267	0.13
rzoD+rzoR	[8]	[6]	[0]	NA
rzoQ	[0]	[0]	[0]	NA
rzpD	[12]	[5]	[1]	NA
rzpQ	[1]	[2]	[0]	NA
sad	202	152	11	1.41
safA	[0]	[0]	[0]	NA
sanA	128	52	28	0.35
sapA	363	109	35	0.81
sapB	180	48	34	0.41
sapC	181	52	29	0.49
sapD	245	107	37	0.51
sapF	257	95	29	0.68
sbcB	401	159	24	1.31
sbcC	135	59	19	0.55
sbcD	245	90	24	0.77
sbmA	76	30	13	0.46
sbmC	81	226	[6]	NA
sbp	[7]	831	[3]	NA
scpA	[0]	[1]	[1]	NA
scpB	37	23	[1]	NA
scpC	[1]	[1]	[1]	NA
sdaA	2133	121	90	1.83
sdaB	8533	80	560	1.17
sdaC	15068	149	1044	1.11
sdhA	3611	3418	251	1.11
sdhB	4850	4015	251	1.49
sdhC	3179	3647	178	1.37
sdhD	2341	2508	228	0.79
sdiA	434	87	38	0.88
secA	3987	1148	219	1.4
secB	21205	5193	674	2.42
secD	2699	437	483	0.43
secE	10472	1743	1252	0.64
secF	2927	462	466	0.48
secG	12154	2964	3452	0.27
secM	560	226	199	0.22
secY	9848	1778	11006	0.07
selA	644	199	62	0.8
selB	1083	338	74	1.13
selD	2740	881	149	1.41
selU	266	32	17	1.19
seqA	4435	866	274	1.25
serA	5109	19405	203	1.94
serB	790	242	100	0.61
serC	3643	8655	176	1.59
serS	11805	2024	445	2.04
setA	56	15	19	0.23
setB	[7]	[2]	[2]	NA
setC	[5]	[1]	[1]	NA
sfmA	[7]	11	[1]	NA
sfmC	[0]	[0]	[0]	NA
sfmD	[0]	[0]	[1]	NA
sfmF	[6]	[4]	[1]	NA
sfmH	[3]	[0]	[1]	NA
sfsA	349	126	51	0.53
sfsB	171	43	[15]	NA
sgcA	94	42	[6]	NA
sgcB	[10]	[11]	[2]	NA
sgcC	[3]	[3]	[1]	NA
sgcE	29	15	[3]	NA
sgcQ	36	27	[3]	NA
sgcR	[14]	19	[3]	NA
sgcX	[0]	[2]	[1]	NA
sgrR	236	80	20	0.89
sgrT	[0]	[0]	[61]	NA
shiA	163	163	18	0.7
shoB	[17]	[13]	218	0.01
sieB	[29]	19	[2]	NA
sirA	2167	287	110	1.51
sixA	1246	599	115	0.83
skp	20120	10662	822	1.88
slmA	2323	568	219	0.82
slp	69	1270	[4]	NA
slt	270	204	22	0.93
slyA	1287	925	71	1.39
slyB	18522	5758	699	2.04
slyD	38169	7302	1238	2.37
slyX	2618	694	130	1.54
smf	20	10	33	0.05
smg	216	230	137	0.12
smpB	4934	1537	117	3.25
smtA	323	69	104	0.24
sodA	50220	20479	1155	3.35
sodB	33494	15086	756	3.41
sodC	28	483	[10]	NA
sohA	470	348	31	1.17
sohB	1334	538	71	1.44
solA	1014	800	43	1.82
soxR	206	74	[10]	NA
soxS	1395	467	34	3.11
speA	9452	1823	490	1.48
speB	11961	1122	331	2.78
speC	684	249	39	1.34
speD	6346	1745	292	1.67
speE	4911	1960	305	1.24
speF	[0]	[0]	[1]	NA
speG	2235	679	95	1.8
spoT	472	158	294	0.12
sppA	547	170	53	0.79
spr	3931	2535	435	0.7
spy	309	316	[7]	NA
sra	396	15792	[9]	NA
srlA	[12]	[7]	[2]	NA
srlB	83	28	[3]	NA
srlD	139	48	[6]	NA
srlE	[11]	9	[2]	NA
srlR	210	77	22	0.73
srmB	2324	559	116	1.55
ssb	14444	2329	398	2.79
sseA	858	517	43	1.52
sseB	1466	366	92	1.22
ssnA	[0]	[0]	[1]	NA
sspA	12135	2668	658	1.42
sspB	2957	553	632	0.36
sstT	1712	586	139	0.95
ssuA	[5]	7	[0]	NA
ssuB	7	12	[2]	NA
ssuC	[3]	[2]	[1]	NA
ssuD	11	20	[0]	NA
ssuE	[2]	12	[0]	NA
stfP	[3]	[1]	[1]	NA
stfQ	[0]	[0]	[1]	NA
stfR	[0]	2	[1]	NA
sthA	845	492	75	0.87
stpA	28631	7682	672	3.28
sucA	3431	2121	315	0.84
sucB	10970	5678	424	1.99
sucC	5335	6381	281	1.46
sucD	6091	6409	260	1.8
sufA	146	359	[9]	NA
sufB	75	143	10	0.6
sufC	117	226	[9]	NA
sufD	82	152	10	0.62
sufE	76	117	[5]	NA
sufS	63	122	7	0.67
sugE	167	46	80	0.16
suhB	11711	1591	406	2.22
sulA	334	373	19	1.35
surA	3872	1291	272	1.09
surE	439	134	131	0.26
sxy	33	30	[7]	NA
syd	982	268	45	1.67
symE	184	39	[7]	NA
tabA	1052	664	35	2.29
tadA	699	106	74	0.72
tag	285	213	20	1.11
talA	86	1399	[6]	NA
talB	19464	8930	591	2.53
tam	40	291	[3]	NA
tap	[0]	[2]	[0]	NA
tar	[1]	[2]	[1]	NA
tas	882	872	48	1.43
tatA	6336	2926	349	1.4
tatB	1068	293	280	0.29
tatC	1148	189	226	0.39
tatD	254	60	31	0.63
tatE	3465	1286	143	1.87
tauA	[3]	39	[0]	NA
tauB	[0]	8	[1]	NA
tauC	[0]	[2]	[1]	NA
tauD	[7]	19	[2]	NA
tdcA	[6]	[1]	[1]	NA
tdcB	[5]	[1]	[1]	NA
tdcC	83	25	8	0.78
tdcD	30	8	[4]	NA
tdcE	88	15	5	1.37
tdcF	99	24	[10]	NA
tdcG	18	7	7	0.22
tdcR	[0]	[0]	[0]	NA
tdh	4448	263	258	1.33
tdk	1249	404	61	1.58
tehA	111	27	14	0.62
tehB	1103	768	33	2.56
tesA	400	289	25	1.25
tesB	850	278	36	1.8
tfaE	[5]	[7]	[1]	NA
tfaP	[13]	18	[3]	NA
tfaR+tfaQ	[7]	[17]	[2]	NA
tgt	8185	1127	524	1.2
thiB	193	1094	29	0.52
thiC	15	2352	[4]	NA
thiD	31	754	[4]	NA
thiE	[6]	1199	[3]	NA
thiF	[5]	713	[2]	NA
thiG	[15]	1502	[3]	NA
thiH	11	848	[2]	NA
thiI	3830	483	151	1.96
thiK	35	29	32	0.08
thiL	492	153	84	0.45
thiM	39	978	[8]	NA
thiP	34	41	14	0.19
thiQ	95	93	15	0.5
thiS	[3]	560	[4]	NA
thrA	3789	5761	298	0.98
thrB	1981	2287	243	0.63
thrC	4879	5880	268	1.4
thrL	11221	19537	1051	0.82
thrS	12096	2984	740	1.26
thyA	3089	651	162	1.46
tig	69639	13128	1968	2.72
tilS	490	122	39	0.98
tisB	[19]	[1]	96	0.02
tktA	13819	4690	527	2.02
tktB	64	1215	4	1.1
tldD	1635	438	95	1.33
tmcA	53	29	25	0.17
tmk	940	189	82	0.88
tnaA	18	16	[2]	NA
tnaB	[0]	[0]	[0]	NA
tnaC	[1]	55	[5]	NA
tolA	476	133	114	0.32
tolB	6049	2491	650	0.72
tolC	8768	3141	334	2.02
tolQ	1667	392	171	0.75
tolR	864	221	160	0.41
tomB	[22]	49	82	0.02
tonB	647	218	46	1.09
topA	2792	677	200	1.08
topB	419	100	82	0.39
torA	[2]	3	[1]	NA
torC	[0]	[1]	[0]	NA
torD	[0]	[1]	[4]	NA
torI	62	44	[10]	NA
torR	254	101	18	1.11
torS	[3]	4	[2]	NA
torT	13	[4]	[2]	NA
torY	[0]	[1]	[0]	NA
torZ	16	10	[2]	NA
tpiA	11959	7847	398	2.31
tpr	[0]	[0]	[68]	NA
tpx	47473	16961	1028	3.55
tqsA	26	19	[5]	NA
treA	24	243	[1]	NA
treB	66	27	[6]	NA
treC	79	23	[5]	NA
treF	27	238	8	0.27
treR	237	143	14	1.33
trg	[1]	[1]	[2]	NA
trkA	563	153	81	0.54
trkG	60	31	9	0.49
trkH	234	59	65	0.28
trmA	1907	332	144	1.02
trmD	1778	318	5343	0.03
trmH	605	189	140	0.33
trmI	4353	627	250	1.34
trmJ	3417	502	185	1.42
trmL	934	145	44	1.65
trpA	544	2506	21	1.95
trpB	550	2331	23	1.81
trpC	113	840	13	0.66
trpD	74	719	8	0.76
trpE	121	1153	7	1.39
trpL	166	1842	[42]	NA
trpR	924	549	59	1.21
trpS	7805	2698	319	1.88
truA	895	120	132	0.52
truB	1527	214	276	0.43
truC	553	57	63	0.67
truD	1009	273	154	0.5
trxA	34622	9265	1000	2.66
trxB	8599	2980	433	1.53
trxC	1704	569	63	2.08
tsf	95122	17031	3118	2.35
tsgA	587	95	55	0.82
tsr	17	4	[5]	NA
tsx	14911	3927	495	2.32
ttcA	4772	617	128	2.87
ttdA	[0]	[0]	[0]	NA
ttdB	[1]	[1]	[1]	NA
ttdR	[2]	[2]	[1]	NA
ttdT	[0]	[0]	[1]	NA
tufA+tufB	579074	116583	19486	2.29
tus	234	85	10	1.79
tynA	[3]	5	[1]	NA
typA	17233	3215	959	1.38
tyrA	610	561	56	0.83
tyrB	1417	1747	61	1.8
tyrP	391	71	38	0.79
tyrR	1018	345	64	1.23
tyrS	7986	1834	343	1.79
ubiA	1121	276	84	1.03
ubiB	202	72	71	0.22
ubiC	359	139	76	0.37
ubiD	1216	295	182	0.51
ubiE	3618	1229	225	1.24
ubiF	777	329	46	1.3
ubiG	2047	882	69	2.29
ubiH	295	132	96	0.24
ubiX	268	124	37	0.56
ucpA	820	114	64	0.98
udk	3151	468	151	1.6
udp	2761	2011	86	2.48
ugd	26	49	11	0.18
ugpA	[10]	27	[2]	NA
ugpB	52	317	[3]	NA
ugpC	69	125	12	0.44
ugpE	[8]	34	[4]	NA
ugpQ	530	256	28	1.45
uhpA	194	156	57	0.26
uhpB	32	14	16	0.15
uhpC	32	14	10	0.25
uhpT	[2]	4	[1]	NA
uidA	9	5	[0]	NA
uidB	[0]	[0]	[1]	NA
uidC	[0]	[0]	[0]	NA
uidR	302	113	25	0.94
ulaA	[2]	[1]	[1]	NA
ulaB	71	44	[3]	NA
ulaC	27	[10]	[2]	NA
ulaD	62	21	[6]	NA
ulaE	18	[5]	[4]	NA
ulaF	22	8	[4]	NA
ulaG	210	52	[6]	NA
ulaR	411	121	25	1.28
umuC	30	12	[4]	NA
umuD	72	27	[7]	NA
ung	1058	439	45	1.81
uof	275	119	344	0.06
upp	18345	9464	527	2.68
uraA	1679	1223	97	1.33
usg	2191	578	118	1.42
ushA	484	512	31	1.19
uspA	12675	17441	327	2.98
uspB	66	402	[18]	NA
uspC	52	102	[5]	NA
uspD	661	804	37	1.36
uspE	542	941	38	1.09
uspF	189	633	[9]	NA
uspG	980	789	51	1.48
uup	1482	244	122	0.94
uvrA	621	206	43	1.11
uvrB	370	197	49	0.58
uvrC	269	156	57	0.36
uvrD	551	126	76	0.56
uvrY	880	412	153	0.44
uxaA	53	20	7	0.55
uxaB	20	8	[1]	NA
uxaC	162	102	7	1.74
uxuA	595	144	19	2.41
uxuB	364	90	17	1.66
uxuR	472	177	44	0.83
valS	8921	1751	394	1.74
ves	[0]	[1]	[0]	NA
viaA	38	33	12	0.24
visC	556	210	55	0.77
vsr	79	39	[17]	NA
waaA	593	144	93	0.49
waaU	322	99	37	0.68
wbbI	2792	1045	209	1.03
wbbJ	1018	367	169	0.46
wbbK	773	380	127	0.47
wcaA	[0]	[3]	[0]	NA
wcaB	[0]	[1]	[0]	NA
wcaC	[0]	[1]	[1]	NA
wcaD	[0]	[0]	[0]	NA
wcaE	[0]	[2]	[0]	NA
wcaF	[0]	[1]	[0]	NA
wcaI	[0]	[0]	[1]	NA
wcaJ	[0]	[1]	[1]	NA
wcaK	17	10	[1]	NA
wcaL	[6]	5	[2]	NA
wcaM	[5]	7	[2]	NA
wecH	32	15	[5]	NA
wrbA	286	5479	[11]	NA
wza	[0]	[2]	[0]	NA
wzb	[0]	[1]	[0]	NA
wzc	[0]	[1]	[0]	NA
wzxC	[1]	[0]	[1]	NA
wzxE	120	21	67	0.14
wzyE	135	26	38	0.27
wzzE	997	210	192	0.4
xanP	532	432	59	0.7
xanQ	[1]	3	[1]	NA
xapA	[2]	[4]	[1]	NA
xapB	[1]	[1]	[4]	NA
xapR	23	18	[6]	NA
xdhA	[4]	8	[1]	NA
xdhB	[12]	15	[1]	NA
xdhC	[22]	22	[2]	NA
xdhD	11	8	3	0.27
xerC	393	212	82	0.37
xerD	199	73	63	0.24
xisE	[6]	[13]	[3]	NA
