gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
creD	[3]	[2]	[3]	NA
crl	8827	5379	314	2.16
croE	[3]	14	[1]	NA
crp	9767	3903	517	1.45
crr	32738	14155	1320	1.91
csdA	307	72	44	0.54
csdE	813	181	48	1.29
csdL	1467	193	110	1.02
csgA	108	128	[3]	NA
csgB	[0]	[0]	[0]	NA
csgC	[0]	[5]	[1]	NA
csgD	[14]	85	[2]	NA
csgE	[4]	19	[1]	NA
csgF	[5]	53	[1]	NA
csgG	[11]	57	[6]	NA
csiD	[1]	111	[1]	NA
csiE	25	32	[4]	NA
csiR	26	37	[10]	NA
cspA	43957	2012	1592	2.12
cspB	119	34	[16]	NA
cspC	106172	50154	2502	3.26
cspD	743	2643	77	0.75
cspE	186416	29309	6951	2.06
cspF	[44]	[7]	[12]	NA
cspG	162	73	[12]	NA
cspH	[19]	[3]	[3]	NA
cspI	[4]	[2]	[1]	NA
csrA	18982	7647	767	1.9
csrD	71	33	28	0.2
cstA	126	177	16	0.59
cueO	610	1987	21	2.27
cueR	449	441	23	1.53
cusA	3	3	[2]	NA
cusB	[4]	6	[3]	NA
cusC	[0]	5	[0]	NA
cusF	48	44	[2]	NA
cusR	176	109	24	0.57
cusS	62	28	10	0.48
cutA	156	207	35	0.35
cutC	470	194	33	1.08
cvpA	429	106	147	0.22
cvrA	66	55	13	0.39
cyaA	372	263	152	0.19
cyaY	4479	963	138	2.49
cybB	1775	803	67	2.04
cycA	1356	541	105	0.99
cydA	1969	615	179	0.85
cydB	1735	445	181	0.74
cydC	367	136	51	0.56
cydD	467	158	51	0.7
cynR	152	47	11	1.1
cynS	96	62	[5]	NA
cynT	24	14	[2]	NA
cynX	[3]	[1]	[4]	NA
cyoA	15769	3421	1841	0.66
cyoB	14005	2179	1622	0.66
cyoC	14872	2749	1616	0.71
cyoD	16777	4458	1737	0.74
cyoE	4102	870	1495	0.21
cysA	36	2214	[3]	NA
cysB	1291	901	49	2.03
cysC	[8]	957	[3]	NA
cysD	[10]	4115	[2]	NA
cysE	817	524	93	0.67
cysG	429	132	52	0.63
cysH	29	1579	[3]	NA
cysI	43	2569	[4]	NA
cysJ	34	2057	[2]	NA
cysK	2486	24492	97	1.97
cysM	473	1411	24	1.49
cysN	16	3066	[4]	NA
cysP	24	2281	[2]	NA
cysQ	902	533	46	1.5
cysS	4958	870	193	1.98
cysU	[4]	419	[2]	NA
cysW	[4]	308	[2]	NA
cysZ	828	189	41	1.55
cytR	290	89	55	0.41
dacA	4143	1180	207	1.54
dacB	441	133	36	0.94
dacC	740	876	32	1.79
dacD	29	6	[7]	NA
dadA	1586	181	112	1.09
dadX	744	54	79	0.72
dam	340	128	152	0.17
damX	4024	826	355	0.87
dapA	4514	2172	350	0.99
dapB	2156	1990	94	1.76
dapD	15404	8536	366	3.24
dapE	1286	263	90	1.1
dapF	756	294	182	0.32
dbpA	258	60	17	1.14
dcd	1102	819	182	0.47
dcm	298	162	34	0.68
dcp	1114	980	39	2.17
dcrB	5984	1413	249	1.85
dctA	459	107	66	0.53
dctR	[2]	32	[0]	NA
dcuA	1831	574	162	0.87
dcuB	[3]	[0]	[4]	NA
dcuC	[4]	[0]	[2]	NA
dcuD	[0]	[0]	[1]	NA
dcuR	296	167	22	1.02
dcuS	79	21	30	0.2
dcyD	618	795	32	1.48
ddlA	4072	296	165	1.9
ddlB	844	296	136	0.48
ddpA	[4]	40	[0]	NA
ddpB	[0]	[2]	[1]	NA
ddpC	[0]	[3]	[1]	NA
ddpD	[2]	[4]	[1]	NA
ddpF	[1]	5	[1]	NA
ddpX	[0]	19	[0]	NA
deaD	9221	858	481	1.47
dedA	767	214	97	0.61
dedD	937	204	119	0.6
def	3887	673	278	1.08
degP	2139	1601	65	2.55
degQ	528	482	30	1.34
degS	406	133	48	0.64
deoA	349	237	28	0.96
deoB	2087	1012	140	1.14
deoC	1596	636	40	3.08
deoD	13272	2993	348	2.93
deoR	347	192	40	0.66
der	3289	625	189	1.34
dfp	1126	285	134	0.65
dgkA	1701	665	81	1.62
dgoA	[8]	[5]	[1]	NA
dgoD	26	18	[3]	NA
dgoK	10	7	[6]	NA
dgoR	417	170	14	2.34
dgoT	[1]	[0]	[2]	NA
dgsA	124	56	32	0.29
dgt	95	129	13	0.55
dhaK	165	318	30	0.42
dhaL	285	410	36	0.6
dhaM	415	414	33	0.97
dhaR	39	24	10	0.31
diaA	479	239	90	0.41
dicA	653	323	45	1.13
dicB	[10]	[4]	[2]	NA
dicC	78	23	[1]	NA
dinB	47	20	12	0.3
dinD	76	32	[4]	NA
dinF	154	16	34	0.35
dinG	61	15	15	0.32
dinI	2164	655	147	1.13
dinJ	782	890	50	1.21
dinQ	[17]	[21]	636	0
djlA	762	137	63	0.93
djlB	[0]	[0]	[0]	NA
djlC	[3]	[2]	[3]	NA
dkgA	72	600	[6]	NA
dkgB	607	236	23	2.03
dksA	21225	5438	707	2.31
dld	603	1068	23	1.98
dmlA	46	49	[3]	NA
dmlR	53	62	[3]	NA
dmsA	28	21	[3]	NA
dmsB	32	27	[4]	NA
dmsC	31	16	[5]	NA
dmsD	663	210	32	1.6
dnaA	840	290	185	0.35
dnaB	694	210	147	0.36
dnaC	505	135	51	0.76
dnaE	328	79	130	0.19
dnaG	356	98	247	0.11
dnaJ	5688	938	416	1.05
dnaK	44581	10567	1504	2.28
dnaN	1764	529	193	0.7
dnaQ	988	516	64	1.18
dnaT	605	92	45	1.03
dnaXgamma	327	84	106	0.24
dnaXtau	196	85	106	0.14
dosC	10	81	[2]	NA
dosP	[3]	20	[1]	NA
dpiA	229	60	[10]	NA
dpiB	[4]	[2]	6	0.05
dppA	2460	5339	124	1.53
dppB	356	270	56	0.49
dppC	391	231	55	0.55
dppD	501	367	55	0.7
dppF	552	413	45	0.94
dps	2131	13008	54	3.05
