gene	ribosome initiation rate (ribosome/s)	mrna_RPKM
mipA	0.5010154401	1387.80
yeaQ	0.1131115764	90.93
rnd	0.0336502664	74.77
fadD	0.1138420476	72.33
yoaB	0.8884617292	787.05
yoaC	0.2480458853	153.03
yoaH	0.7156882724	608.87
sdaA	0.5566384585	454.14
manX	0.1557303306	897.52
yebO	0.1662211619	782.70
mgrB	0.020100674	131.68
yobH	0.087116962	139.81
kdgR	0.1221635233	274.67
msrC	0.2613322889	239.97
holE	1.1152691045	175.98
yebE	0.7926128729	339.04
yebF	0.0567142069	161.43
yebG	0.2131548119	341.33
purT	0.630472989	313.26
zwf	0.202904886	393.01
yebK	0.3670594596	69.45
pykA	0.3574354184	378.99
waaN	0.060151703	94.78
aspS	0.1580617782	529.64
argS	0.1150212587	828.63
ftnB	0.7186165354	121.90
yecJ	0.6516139717	81.54
azuC	0.3010122931	5014.74
yecA	0.0259799056	720.12
pgsA	0.4568641319	64.58
yecF	0.1013423126	281.28
fliY	0.2304310265	1013.17
fliC	0.2325424844	185.40
yodC	0.0115384067	119.72
yedI	0.0510262708	153.56
hchA	0.1622038081	64.40
zinT	1.0438764932	4067.04
serU	0.0091706954	17617.81
mtfA	0.2571261149	94.42
yeeN	0.8226723499	143.49
yoeG	0.018362509	122.83
yoeH	0.0173023634	462.17
yeeX	0.5275830479	1663.83
sbmC	0.2444358706	88.76
wzzB	0.0656395807	1568.94
ugd	0.5498641879	70.53
gnd	0.2943726632	2281.84
wcaN	0.129669816	1149.17
yegQ	0.1747575753	180.43
cyaR	0.0064564407	4747.09
ogrK	0.6471637148	156.54
fbaB	0.546271949	65.21
rcnR	0.052754257	212.41
rcnA	0.1198115673	76.60
rcnB	0.5022113732	183.92
mrp	0.1053900903	601.55
metG	0.2652045256	366.24
bglX	0.1430784815	221.89
dusC	0.0389416162	75.23
cdd	0.1550142369	81.76
mglB	0.1914329133	1070.69
lysP	0.1002547153	154.38
yeiE	0.164282676	75.03
yeiH	0.055572998	83.83
yeiP	0.1481291619	307.71
mepS	0.9182452059	1288.03
rplY	0.1958642586	15850.85
yejK	0.1629426996	437.49
proL	0.0094665067	36128.33
narP	0.0811756416	316.51
eco	0.3871184767	163.41
ompC	0.3571177778	10817.49
micF	0.0060879834	680.36
gyrA	0.0785235755	1110.78
ubiG	0.1682726685	208.50
nrdA	0.9927089671	246.41
yfaY	0.1081785013	116.74
yfaZ	0.0840013685	234.32
elaB	0.2526429026	142.73
elaA	0.203592549	73.98
lrhA	0.0305044887	293.59
alaA	0.1371974503	90.65
yfbV	0.1341285463	359.69
ackA	0.2623060664	328.07
pta	0.164323069	368.69
yfcE	0.3276542254	706.72
hisJ	0.8681582898	523.70
argT	0.3727945021	370.43
accD	0.0525362938	2749.49
dedA	0.1397965417	165.34
pdxB	0.1918266795	340.99
fabB	0.1606672943	1279.86
smrB	0.0625618212	213.57
sixA	0.0899417651	1128.18
yfcZ	0.0406254752	1598.02
fadL	0.2149862863	167.70
mlaA	0.1011698448	749.57
argW	0.0216786366	1103.60
torI	0.1932013623	77.63
yfdY	0.5515879694	134.77
lpxP	0.0743205887	94.32
ypdK	0.0808775821	207.09
alaC	0.133180592	64.72
glk	0.2078274673	185.62
ypeC	0.1490312503	482.38
nupC	0.3188660171	107.40
zipA	0.0655189877	809.14
cysZ	0.1729994602	93.36
cysK	0.4832985282	3800.49
cysM	0.1161159527	275.71
ucpA	0.083974788	186.12
yfeX	0.1469891308	399.79
yfeY	0.1740119026	420.91
maeB	0.164563703	510.08
ypfG	0.059734099	59.41
ypfM	0.0062980667	1197.77
ypfH	0.082071616	91.90
purC	0.1578040674	1595.85
hda	0.0336278712	111.32
uraA	0.1453656133	60.71
upp	0.1668756853	3199.59
yfgG	0.2126500385	92.17
guaA	0.151213439	561.43
guaB	0.4226444809	909.52
der	0.0662312672	337.15
rlmN	0.0900946409	262.58
ndk	0.2989649525	1964.88
sseA	0.1945389513	205.96
pepB	0.3685102296	283.93
iscR	0.4873700364	590.77
trmJ	0.0844939823	831.38
suhB	0.1445289029	514.27
hcaR	0.2828388643	75.16
glyA	0.6398142814	4949.95
glrK	0.0204316603	73.93
glmY	0.008298065	25070.73
purL	0.1779221757	323.18
yfhH	0.4634393361	60.11
yfhL	0.6689117705	209.29
shoB	0.0018601273	618.30
srmB	0.1931662083	73.78
grcA	0.2200395513	3186.09
trxC	0.1504811867	1017.98
rrsG	0.1683119982	2316.72
bamD	0.1193962581	847.07
raiA	0.5914204921	1282.70
ffh	0.0501013516	909.97
grpE	0.0942013456	1195.41
bamE	0.1845082569	2314.07
smpB	0.3083109872	335.78
ssrA	0.6817710916	315445.47
yqaE	1.078450615	58.03
ygaM	0.228511985	63.75
mprA	0.3699633984	211.51
luxS	0.1502859362	816.59
csrA	0.7376897504	3719.90
alaS	0.0718210822	619.03
recA	0.0862743658	1809.62
pncC	0.0826062878	202.96
gutM	0.0368013168	86.49
ascG	0.1193843313	82.76
mutS	0.1003814144	101.22
rpoS	0.0086342563	3287.20
nlpD	0.0151055316	2475.31
cysH	0.0883163649	699.75
queD	0.4695100607	60.75
queE	0.1030420363	223.32
eno	0.4880453718	3310.35
pyrG	0.1302837162	787.55
mazG	0.0982769411	59.75
syd	0.2214796904	67.87
queF	0.2186086176	75.70
sdaC	0.1945829346	91.32
ygdG	0.0688518671	90.00
mltA	0.0781811083	149.16
amiC	0.0310884229	150.68
argA	0.1977166947	92.92
mutH	0.0414149824	69.67
ygdQ	0.0759396607	183.61
ygdR	0.225808741	602.19
omrA	0.0051284106	199.49
omrB	0.0193776848	139.23
araE	0.0211078527	59.07
yqeF	0.1454034249	80.97
ygeQ	0.0875478192	67.79
glyU	0.3082995461	2334.37
ygeR	0.1100766849	121.40
prfB	0.0108275664	1207.52
ygfZ	0.067520546	530.21
gcvP	0.1803384163	205.20
serA	0.3541295004	2429.15
rpiA	0.2642680833	1194.43
yggE	0.2149025901	410.12
mscS	0.3112333249	375.02
fbaA	0.4347197464	2331.98
tktA	0.1303390638	1082.96
loiP	0.1111579396	226.87
speB	0.2262292931	415.66
metK	0.3079127678	1106.16
galP	0.0861827711	58.68
yggN	0.1017061298	278.22
yghG	0.2537151216	67.80
pppA	0.0123333643	64.58
gss	0.2515723025	73.99
yghU	0.5861401177	112.59
metC	0.5295275561	118.52
yqhD	0.322595254	391.02
ftsP	0.0798538738	73.03
plsC	0.2953614647	116.99
parC	0.0563158535	188.51
ygiV	0.4474913172	142.93
ygiW	0.1036080666	1249.31
tolC	0.5512558342	761.31
zupT	0.0308848103	159.51
